Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     673 (50);     683 (50);   1.356
10-19;   1.916 (49);   1.973 (51);   3.889
20-29;   3.197 (52);   2.924 (48);   6.121
30-39;   2.316 (53);   2.095 (47);   4.411
40-49;   2.714 (55);   2.240 (45);   4.954
50-59;   2.608 (53);   2.297 (47);   4.905
60-69;   1.312 (48);   1.422 (52);   2.734
70-79;     856 (47);     974 (53);   1.830
80-89;     624 (57);     479 (43);   1.103
90+;     239 (71);      96 (29);     335
I alt;  16.455 (52);  15.183 (48);  31.638
