"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2020-W04;00-02;0;0;0,0;0;0
2020-W04;03-05;0;0;0,0;0;0
2020-W04;06-11;0;0;0,0;0;0
2020-W04;12-15;0;0;0,0;0;0
2020-W04;16-19;0;0;0,0;0;0
2020-W04;20-39;0;0;0,0;0;0
2020-W04;40-64;0;0;0,0;0;0
2020-W04;65-79;0;0;0,0;0;0
2020-W04;80+;0;0;0,0;0;0
2020-W05;65-79;0;0;0,0;1;0
2020-W07;40-64;0;0;0,0;1;0
2020-W08;20-39;0;0;0,0;5;0
2020-W08;40-64;0;0;0,0;1;0
2020-W09;00-02;3;0;0,0;6;0
2020-W09;03-05;4;0;0,0;7;0
2020-W09;06-11;12;0;0,0;45;0
2020-W09;12-15;16;0;0,4;44;1
2020-W09;16-19;13;0;0,0;36;0
2020-W09;20-39;5;0;0,0;73;0
2020-W09;40-64;6;0;0,0;110;3
2020-W09;65-79;1;0;0,0;6;0
2020-W09;80+;1;0;0,0;2;0
2020-W10;00-02;12;0;0,0;22;0
2020-W10;03-05;14;0;0,0;26;0
2020-W10;06-11;16;0;0,0;61;0
2020-W10;12-15;14;0;0,0;38;1
2020-W10;16-19;18;1;0,0;50;2
2020-W10;20-39;15;2;0,1;219;25
2020-W10;40-64;17;2;0,3;330;44
2020-W10;65-79;3;0;0,0;29;4
2020-W10;80+;5;1;1,1;13;4
2020-W11;00-02;92;2;1,1;172;4
2020-W11;03-05;39;0;0,0;71;0
2020-W11;06-11;36;2;0,3;140;7
2020-W11;12-15;37;3;0,4;100;8
2020-W11;16-19;69;8;0,4;191;21
2020-W11;20-39;90;17;0,8;1335;258
2020-W11;40-64;95;24;3,2;1824;458
2020-W11;65-79;77;6;4,0;687;49
2020-W11;80+;144;8;7,6;396;22
2020-W12;00-02;159;1;0,0;298;2
2020-W12;03-05;38;0;0,0;69;0
2020-W12;06-11;12;0;0,0;48;1
2020-W12;12-15;15;0;0,0;40;0
2020-W12;16-19;31;0;0,0;87;1
2020-W12;20-39;108;5;1,5;1605;75
2020-W12;40-64;148;12;5,4;2832;230
2020-W12;65-79;165;17;13,5;1470;153
2020-W12;80+;319;32;30,2;878;89
2020-W13;00-02;133;3;1,1;249;5
2020-W13;03-05;21;0;0,0;39;0
2020-W13;06-11;18;0;0,0;68;0
2020-W13;12-15;26;1;0,7;70;3
2020-W13;16-19;51;3;1,4;143;9
2020-W13;20-39;149;12;1,8;2208;174
2020-W13;40-64;214;26;9,0;4094;493
2020-W13;65-79;218;34;26,7;1940;307
2020-W13;80+;426;51;39,2;1173;141
2020-W14;00-02;235;4;1,1;440;7
2020-W14;03-05;96;1;0,5;175;2
2020-W14;06-11;89;3;0,0;343;13
2020-W14;12-15;106;4;0,0;289;12
2020-W14;16-19;185;12;0,7;514;32
2020-W14;20-39;476;37;2,0;7065;549
2020-W14;40-64;686;54;7,3;13116;1037
2020-W14;65-79;444;32;14,4;3952;281
2020-W14;80+;787;76;36,0;2167;210
2020-W15;00-02;289;6;1,1;541;11
2020-W15;03-05;175;3;0,0;320;5
2020-W15;06-11;139;5;0,0;533;21
2020-W15;12-15;139;7;0,4;381;18
2020-W15;16-19;255;17;0,0;709;48
2020-W15;20-39;495;34;1,4;7347;509
2020-W15;40-64;625;37;5,0;11953;708
2020-W15;65-79;439;21;7,9;3911;185
2020-W15;80+;648;46;25,3;1791;128
2020-W16;00-02;330;4;0,5;617;8
2020-W16;03-05;205;1;0,0;375;2
2020-W16;06-11;229;5;0,0;879;18
2020-W16;12-15;149;5;0,4;407;15
2020-W16;16-19;285;10;0,4;793;28
2020-W16;20-39;476;24;1,1;7075;352
2020-W16;40-64;616;27;3,9;11788;507
2020-W16;65-79;449;13;7,1;4006;117
2020-W16;80+;758;46;23,9;2093;126
2020-W17;00-02;840;2;1,1;1573;3
2020-W17;03-05;634;5;0,0;1162;10
2020-W17;06-11;724;8;0,0;2777;31
2020-W17;12-15;489;8;0,4;1338;23
2020-W17;16-19;711;17;0,7;1975;48
2020-W17;20-39;1383;27;0,9;20536;396
2020-W17;40-64;1779;26;2,9;34022;488
2020-W17;65-79;1120;17;6,8;9984;150
2020-W17;80+;1673;50;26,4;4623;138
2020-W18;00-02;960;9;0,5;1797;16
2020-W18;03-05;720;9;0,0;1321;16
2020-W18;06-11;1035;10;0,0;3971;39
2020-W18;12-15;656;12;0,4;1796;32
2020-W18;16-19;928;12;0,4;2578;33
2020-W18;20-39;1792;21;1,2;26604;314
2020-W18;40-64;2279;19;1,5;43585;368
2020-W18;65-79;1472;9;3,6;13120;84
2020-W18;80+;2018;28;15,2;5576;77
2020-W19;00-02;791;8;0,5;1482;15
2020-W19;03-05;534;3;0,0;980;5
2020-W19;06-11;686;7;0,0;2625;28
2020-W19;12-15;535;9;0,4;1462;25
2020-W19;16-19;885;8;0,4;2456;21
2020-W19;20-39;1568;14;0,5;23291;203
2020-W19;40-64;1883;14;1,2;36009;263
2020-W19;65-79;1355;7;2,8;12103;61
2020-W19;80+;2066;14;7,9;5728;38
2020-W20;00-02;900;5;0,0;1686;9
2020-W20;03-05;608;5;0,0;1116;9
2020-W20;06-11;713;4;0,0;2728;17
2020-W20;12-15;661;5;0,0;1808;13
2020-W20;16-19;944;9;0,0;2619;24
2020-W20;20-39;1558;10;0,3;23148;151
2020-W20;40-64;1810;8;1,3;34622;147
2020-W20;65-79;1421;4;1,5;12690;39
2020-W20;80+;2077;9;6,9;5759;24
2020-W21;00-02;889;5;0,0;1666;9
