"Prøvedato";"Region";"infected";"Antal borgere";"Type af tilfælde (reinfektion eller bekræftet tilfælde)";"type_count"
2021-01-01;Hovedstaden;1;1857988;1.Reinfektion;1
2021-01-01;Hovedstaden;572;1857988;2.Bekræftede tilfælde;2
2021-01-01;Midtjylland;0;1336065;1.Reinfektion;1
2021-01-01;Midtjylland;231;1336065;2.Bekræftede tilfælde;2
2021-01-01;Nordjylland;0;593125;1.Reinfektion;1
2021-01-01;Nordjylland;93;593125;2.Bekræftede tilfælde;2
2021-01-01;Sjælland;0;841158;1.Reinfektion;1
2021-01-01;Sjælland;139;841158;2.Bekræftede tilfælde;2
2021-01-01;Syddanmark;0;1228194;1.Reinfektion;1
2021-01-01;Syddanmark;167;1228194;2.Bekræftede tilfælde;2
2021-01-02;Hovedstaden;1;1857988;1.Reinfektion;1
2021-01-02;Hovedstaden;837;1857988;2.Bekræftede tilfælde;2
2021-01-02;Midtjylland;3;1336065;1.Reinfektion;1
2021-01-02;Midtjylland;436;1336065;2.Bekræftede tilfælde;2
2021-01-02;Nordjylland;1;593125;1.Reinfektion;1
2021-01-02;Nordjylland;185;593125;2.Bekræftede tilfælde;2
2021-01-02;Sjælland;0;841158;1.Reinfektion;1
2021-01-02;Sjælland;322;841158;2.Bekræftede tilfælde;2
2021-01-02;Syddanmark;1;1228194;1.Reinfektion;1
2021-01-02;Syddanmark;260;1228194;2.Bekræftede tilfælde;2
2021-01-03;Hovedstaden;0;1857988;1.Reinfektion;1
2021-01-03;Hovedstaden;714;1857988;2.Bekræftede tilfælde;2
2021-01-03;Midtjylland;1;1336065;1.Reinfektion;1
2021-01-03;Midtjylland;330;1336065;2.Bekræftede tilfælde;2
2021-01-03;Nordjylland;0;593125;1.Reinfektion;1
2021-01-03;Nordjylland;178;593125;2.Bekræftede tilfælde;2
2021-01-03;Sjælland;0;841158;1.Reinfektion;1
2021-01-03;Sjælland;221;841158;2.Bekræftede tilfælde;2
2021-01-03;Syddanmark;0;1228194;1.Reinfektion;1
2021-01-03;Syddanmark;226;1228194;2.Bekræftede tilfælde;2
2021-01-04;Hovedstaden;3;1849689;1.Reinfektion;1
2021-01-04;Hovedstaden;1060;1849689;2.Bekræftede tilfælde;2
2021-01-04;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-04;Midtjylland;458;1329540;2.Bekræftede tilfælde;2
2021-01-04;Nordjylland;0;589994;1.Reinfektion;1
2021-01-04;Nordjylland;210;589994;2.Bekræftede tilfælde;2
2021-01-04;Sjælland;0;837221;1.Reinfektion;1
2021-01-04;Sjælland;399;837221;2.Bekræftede tilfælde;2
2021-01-04;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-04;Syddanmark;349;1222145;2.Bekræftede tilfælde;2
2021-01-05;Hovedstaden;3;1849689;1.Reinfektion;1
2021-01-05;Hovedstaden;825;1849689;2.Bekræftede tilfælde;2
2021-01-05;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-05;Midtjylland;315;1329540;2.Bekræftede tilfælde;2
2021-01-05;Nordjylland;0;589994;1.Reinfektion;1
2021-01-05;Nordjylland;154;589994;2.Bekræftede tilfælde;2
2021-01-05;Sjælland;1;837221;1.Reinfektion;1
2021-01-05;Sjælland;350;837221;2.Bekræftede tilfælde;2
2021-01-05;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-05;Syddanmark;279;1222145;2.Bekræftede tilfælde;2
2021-01-06;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-06;Hovedstaden;714;1849689;2.Bekræftede tilfælde;2
2021-01-06;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-06;Midtjylland;279;1329540;2.Bekræftede tilfælde;2
2021-01-06;Nordjylland;1;589994;1.Reinfektion;1
2021-01-06;Nordjylland;176;589994;2.Bekræftede tilfælde;2
2021-01-06;Sjælland;0;837221;1.Reinfektion;1
2021-01-06;Sjælland;272;837221;2.Bekræftede tilfælde;2
2021-01-06;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-06;Syddanmark;213;1222145;2.Bekræftede tilfælde;2
2021-01-07;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-07;Hovedstaden;584;1849689;2.Bekræftede tilfælde;2
2021-01-07;Midtjylland;1;1329540;1.Reinfektion;1
