Country;Week_42;Week_43;Week_44;Week_45;Week_46;Week_47;Week_48;Week_49;Week_50;Week_51;Week_52;Week_53;Week_1;Week_2;Week_3;Week_4;Week_5;Week_6;Week_7;Week_8;Week_9
England;0.0007;0.004;0.009;0.029;0.055;0.091;0.18;0.322;0.518;0.637;0.724;0.779;0.821;0.875;0.906;0.938;0.957;0.974;0.981;0.986;0.987
United Kingdom;0.0005;0.0035;0.01;0.027;0.063;0.102;0.102;0.139;0.329;0.457;0.513;0.706;0.741;0.786;0.86;0.891;;;;;
Ireland;0;0;0;0.019;0;0;0.061;0.022;0.016;0.075;0.163;0.262;0.463;0.577;0.695;0.75;0.901;0.886;0.908;;
Netherlands;0;0;0;0;0;0;0;0.013;0.008;0.005;0.021;0.044;0.096;0.159;0.235;0.247;0.31;0.401;0.643;;
Portugal;0;0;0;0;0;0;0;0.017;0.008;0.012;0.017;0.029;0.068;0.123;0.227;0.335;0.392;0.409;0.457;0.505;
Denmark;0;0;0;0;0.003;0.002;0.004;0.004;0.005;0.009;0.018;0.021;0.038;0.072;0.129;0.195;0.3;0.472;0.655;0.765;0.837
France;0;0;0;0;0;0;0;0;0;0;0;0;0.033;;;0.132;;0.361;0.493;0.595;0.658
Switzerland;0;0;0;0;0;0;0;0;0;0.0004;0.004;0.008;0.026;0.049;0.092;0.165;0.26;0.324;0.405;;
Scotland;0;0;0;0;0;0.095;0.097;0.104;0.117;0.514;0.4;0.358;0.621;0.672;0.625;0.692;0.706;0.939;0.820;1;0.911
Wales;0;0;0;0;0;0.278;0.083;0.107;0.263;0.134;0.159;0.198;0.544;0.615;0.678;0.681;0.77;0.694;0.828;;
Belgium;0;0;0;0;0;0;0;0;0;0;0.136;0;0.071;0.077;0.134;0.234;0.4;0.427;0.508;0.58;0.589
Norway;0;0;0;0;0;0;0;0;0.049;0.089;0.06;0.149;0.189;0.195;0.158;0.198;0.341;0.436;0.608;0.73;0.725
Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.036;0.047;0.072;0.176;0.259;0.4;0.545
