Month;Day;2015;2016;2017;2018;2019
1;D01;161;139;158;160;151
1;D02;188;133;139;157;173
1;D03;166;129;182;178;153
1;D04;133;143;179;170;154
1;D05;158;160;132;170;182
1;D06;150;161;172;165;161
1;D07;166;145;155;134;172
1;D08;172;173;154;147;180
1;D09;158;165;170;171;175
1;D10;142;156;159;188;156
1;D11;162;149;160;143;160
1;D12;178;164;162;175;156
1;D13;149;140;155;156;156
1;D14;178;153;163;156;169
1;D15;165;160;142;181;158
1;D16;148;144;150;173;159
1;D17;131;155;149;165;167
1;D18;144;126;171;153;164
1;D19;158;156;153;154;156
1;D20;149;146;166;175;145
1;D21;141;152;156;155;146
1;D22;154;164;154;167;149
1;D23;174;155;169;156;162
1;D24;157;147;160;186;147
1;D25;135;162;148;165;175
1;D26;139;156;159;148;154
1;D27;160;159;164;164;152
1;D28;149;187;154;133;182
1;D29;153;152;150;150;151
1;D30;168;145;154;136;155
1;D31;159;163;169;173;181
2;D01;158;175;159;197;193
2;D02;178;161;176;172;174
2;D03;158;141;197;160;173
2;D04;151;142;159;169;165
2;D05;147;143;197;150;181
2;D06;175;171;159;169;201
2;D07;156;150;158;146;172
2;D08;153;155;152;168;183
2;D09;158;146;164;177;172
2;D10;165;152;154;199;176
2;D11;155;151;157;177;162
2;D12;151;154;156;183;140
2;D13;160;139;171;189;164
2;D14;167;143;177;171;180
2;D15;150;136;147;177;181
2;D16;158;151;183;188;171
2;D17;152;161;200;179;178
2;D18;146;146;179;178;179
2;D19;167;167;171;189;161
2;D20;189;160;192;177;136
2;D21;164;141;161;164;155
2;D22;155;148;147;204;168
2;D23;172;143;203;181;142
2;D24;177;157;155;174;169
2;D25;150;150;139;171;152
2;D26;170;176;159;183;161
2;D27;161;156;171;169;163
2;D28;165;194;181;187;183
2;D29;..;150;..;..;..
2;D30;..;..;..;..;..
2;D31;..;..;..;..;..
3;D01;182;163;177;203;135
3;D02;166;162;178;170;152
3;D03;173;162;169;201;144
3;D04;160;169;149;210;143
3;D05;188;171;154;208;140
3;D06;161;166;156;192;144
3;D07;188;168;154;228;172
3;D08;174;174;172;177;161
3;D09;171;142;154;178;140
3;D10;159;172;144;183;151
3;D11;195;163;164;171;140
3;D12;169;172;157;195;142
3;D13;178;158;148;204;151
3;D14;153;192;157;161;153
3;D15;159;147;164;167;166
3;D16;162;163;175;183;155
3;D17;165;141;161;162;156
3;D18;168;168;168;181;146
3;D19;145;171;159;179;165
3;D20;153;177;165;197;141
3;D21;139;169;160;182;135
3;D22;154;171;177;190;155
3;D23;152;154;175;169;156
3;D24;162;154;143;177;141
3;D25;160;145;164;192;143
3;D26;156;139;142;156;166
3;D27;164;142;158;179;133
3;D28;146;171;155;191;150
3;D29;153;158;147;156;152
3;D30;138;150;148;176;146
3;D31;152;160;128;165;132
4;D01;146;150;153;163;136
4;D02;157;158;152;162;152
4;D03;140;137;142;163;150
4;D04;147;146;140;169;156
4;D05;164;144;134;186;166
4;D06;117;153;130;158;165
4;D07;165;143;152;148;160
4;D08;164;149;148;152;139
4;D09;152;145;142;165;149
4;D10;159;143;153;172;145
4;D11;169;150;145;180;153
4;D12;155;137;143;150;136
4;D13;144;147;140;169;141
4;D14;159;154;160;178;155
4;D15;143;160;136;150;167
4;D16;163;164;132;166;142
4;D17;149;159;136;145;143
4;D18;144;136;131;139;162
4;D19;150;142;130;164;139
4;D20;145;132;139;159;150
4;D21;113;159;159;159;143
4;D22;141;150;136;120;161
4;D23;134;143;136;157;150
4;D24;147;148;132;162;134
4;D25;134;146;129;143;130
4;D26;120;146;140;124;137
4;D27;141;126;126;140;162
4;D28;138;160;155;153;141
4;D29;139;132;133;129;141
4;D30;146;150;159;172;164
4;D31;..;..;..;..;..
5;D01;156;125;160;148;151
5;D02;127;149;143;147;204
5;D03;149;136;142;141;142
5;D04;147;146;138;149;137
5;D05;119;137;159;128;128
5;D06;145;160;168;125;139
5;D07;141;149;149;161;157
5;D08;155;165;164;183;150
5;D09;138;127;144;132;155
5;D10;133;163;142;146;154
5;D11;152;165;141;139;146
5;D12;142;144;143;127;127
5;D13;136;136;143;137;145
5;D14;108;154;138;150;136
5;D15;138;134;130;136;148
5;D16;118;115;152;146;140
5;D17;127;128;155;156;135
5;D18;139;149;141;134;138
5;D19;144;136;159;143;132
5;D20;138;137;140;147;137
5;D21;152;130;145;135;141
5;D22;115;140;138;135;155
5;D23;153;149;122;159;142
5;D24;133;130;146;145;132
5;D25;117;145;158;122;120
5;D26;129;140;144;142;143
5;D27;125;153;136;115;135
5;D28;155;137;125;153;158
5;D29;160;121;128;131;134
5;D30;143;144;140;141;128
5;D31;148;128;135;140;148
6;D01;149;137;127;132;133
6;D02;147;150;151;139;147
6;D03;146;131;136;141;147
6;D04;133;141;139;137;144
6;D05;138;122;138;132;140
6;D06;130;143;153;136;150
6;D07;116;134;133;140;154
6;D08;121;129;145;167;137
6;D09;146;116;134;144;119
6;D10;150;118;138;153;153
6;D11;139;128;144;134;136
6;D12;151;145;141;152;122
6;D13;163;146;154;127;147
6;D14;147;131;158;137;134
6;D15;125;135;136;147;135
6;D16;151;122;151;123;142
6;D17;118;145;164;121;126
6;D18;128;117;119;103;159
6;D19;140;124;132;125;158
6;D20;131;127;148;170;169
6;D21;120;139;133;161;129
6;D22;130;157;141;129;140
6;D23;133;130;164;140;134
6;D24;131;158;127;130;138
6;D25;114;140;135;125;150
6;D26;138;132;139;137;151
6;D27;137;140;134;119;161
6;D28;114;109;141;143;139
6;D29;131;119;125;137;128
6;D30;143;133;142;139;135
6;D31;..;..;..;..;..
7;D01;133;154;131;115;146
7;D02;114;117;126;156;138
7;D03;149;125;137;135;126
7;D04;136;130;134;163;130
7;D05;136;125;124;151;127
7;D06;143;130;119;127;137
7;D07;143;128;161;133;131
7;D08;129;125;116;142;138
7;D09;137;136;114;138;155
7;D10;126;150;138;120;106
7;D11;136;132;145;163;139
7;D12;137;138;131;129;124
7;D13;145;126;131;151;155
7;D14;134;124;125;139;136
7;D15;131;133;136;131;141
7;D16;97;122;135;154;148
7;D17;141;123;152;144;130
7;D18;138;135;144;143;142
7;D19;131;124;130;146;133
7;D20;122;146;115;142;148
7;D21;147;133;126;137;135
7;D22;147;148;131;128;134
7;D23;132;140;133;137;139
7;D24;137;145;131;142;142
7;D25;121;148;127;157;157
7;D26;145;169;148;172;140
7;D27;141;117;114;181;129
7;D28;134;135;150;157;126
7;D29;144;159;128;145;159
7;D30;124;129;127;190;136
7;D31;129;105;120;167;108
8;D01;126;123;138;159;134
8;D02;149;132;136;145;141
8;D03;139;116;130;140;161
8;D04;146;139;146;147;123
8;D05;135;131;127;136;125
8;D06;126;144;137;137;157
8;D07;151;117;120;147;143
8;D08;131;158;130;165;131
8;D09;101;113;136;142;133
8;D10;151;141;150;155;121
8;D11;164;122;131;140;126
8;D12;124;150;126;143;145
8;D13;124;129;139;139;131
8;D14;132;143;134;163;127
8;D15;134;141;132;135;135
8;D16;124;115;118;168;146
8;D17;140;131;99;150;119
8;D18;116;121;159;132;128
8;D19;127;133;131;130;131
8;D20;131;146;133;139;141
8;D21;110;127;138;130;113
8;D22;149;133;125;143;152
8;D23;153;131;135;155;177
8;D24;142;142;138;141;154
8;D25;128;157;152;139;138
8;D26;122;148;145;143;145
8;D27;123;127;120;143;160
8;D28;125;133;139;124;168
8;D29;126;136;149;131;133
8;D30;135;137;128;147;127
8;D31;129;123;141;130;130
9;D01;120;131;127;139;133
9;D02;141;134;127;121;150
9;D03;117;125;140;141;134
9;D04;117;136;122;147;139
9;D05;120;137;140;159;133
9;D06;135;135;124;138;156
9;D07;126;144;142;127;134
9;D08;137;140;138;110;137
9;D09;121;125;110;153;118
9;D10;123;161;142;157;154
9;D11;123;113;142;130;127
9;D12;162;112;150;134;137
9;D13;121;137;139;133;158
9;D14;153;131;143;136;132
9;D15;144;153;153;139;140
9;D16;136;131;132;120;150
9;D17;147;131;132;127;134
9;D18;112;137;132;161;145
9;D19;126;132;137;142;127
9;D20;124;136;140;146;159
9;D21;126;114;112;138;152
9;D22;129;151;160;147;140
9;D23;129;128;144;133;139
9;D24;141;129;154;137;154
9;D25;146;114;139;131;150
9;D26;146;128;125;127;152
9;D27;146;154;155;136;153
9;D28;130;142;150;146;136
9;D29;130;138;126;146;132
9;D30;131;150;149;127;134
9;D31;..;..;..;..;..
10;D01;139;152;139;148;137
10;D02;139;119;159;154;152
10;D03;148;122;142;158;142
10;D04;142;103;125;144;153
10;D05;138;134;147;163;122
10;D06;133;123;152;130;132
10;D07;123;136;125;136;155
10;D08;117;139;128;116;141
10;D09;130;153;128;145;135
10;D10;149;143;137;144;143
10;D11;137;149;147;137;159
10;D12;128;141;141;148;166
10;D13;125;169;151;161;134
10;D14;116;140;150;141;112
10;D15;146;140;131;143;138
10;D16;149;140;151;151;148
10;D17;133;165;140;123;156
