Date,admitted,ip_admitted
2020-03-21,206,206
2020-03-22,232,232
2020-03-23,254,254
2020-03-24,301,301
2020-03-25,350,350
2020-03-26,386,386
2020-03-27,430,430
2020-03-28,459,459
2020-03-29,499,499
2020-03-30,533,533
2020-03-31,529,529
2020-04-01,535,535
2020-04-02,525,525
2020-04-03,517,517
2020-04-04,507,507
2020-04-05,504,504
2020-04-06,503,503
2020-04-07,472,472
2020-04-08,453,453
2020-04-09,433,433
2020-04-10,401,401
2020-04-11,408,408
2020-04-12,396,396
2020-04-13,388,388
2020-04-14,380,380
2020-04-15,362,362
2020-04-16,353,353
2020-04-17,350,350
2020-04-18,317,317
2020-04-19,319,319
2020-04-20,336,336
2020-04-21,335,335
2020-04-22,324,324
2020-04-23,319,319
2020-04-24,320,320
2020-04-25,290,290
2020-04-26,285,285
2020-04-27,310,310
2020-04-28,284,284
2020-04-29,267,267
2020-04-30,255,255
2020-05-01,249,249
2020-05-02,232,232
2020-05-03,243,243
2020-05-04,252,252
2020-05-05,228,228
2020-05-06,209,209
2020-05-07,199,199
2020-05-08,205,205
2020-05-09,194,194
2020-05-10,196,196
2020-05-11,198,198
2020-05-12,177,177
2020-05-13,164,164
2020-05-14,147,147
2020-05-15,137,137
2020-05-16,140,140
2020-05-17,133,133
2020-05-18,144,144
2020-05-19,141,141
2020-05-20,127,127
2020-05-21,122,122
2020-05-22,119,119
2020-05-23,118,118
2020-05-24,115,115
2020-05-25,116,116
2020-05-26,112,112
2020-05-27,107,107
2020-05-28,110,110
2020-05-29,106,106
2020-05-30,100,100
2020-05-31,98,98
2020-06-01,103,103
2020-06-02,99,99
2020-06-03,100,100
2020-06-04,97,97
2020-06-05,85,85
2020-06-06,81,81
2020-06-07,75,75
2020-06-08,79,79
2020-06-09,73,73
2020-06-10,71,71
2020-06-11,63,63
2020-06-12,63,63
2020-06-13,54,54
2020-06-14,55,55
2020-06-15,58,58
2020-06-16,60,60
2020-06-17,39,39
2020-06-18,38,38
2020-06-19,37,37
2020-06-20,NA,37
2020-06-21,NA,37
2020-06-22,37,37
2020-06-23,32,32
2020-06-24,33,33
2020-06-25,36,36
2020-06-26,31,31
2020-06-27,NA,32.333333333333336
2020-06-28,NA,33.666666666666664
2020-06-29,35,35
2020-06-30,32,32
2020-07-01,29,29
2020-07-02,29,29
2020-07-03,27,27
2020-07-04,NA,25.666666666666668
2020-07-05,NA,24.333333333333332
2020-07-06,23,23
2020-07-07,17,17
2020-07-08,18,18
2020-07-09,18,18
2020-07-10,17,17
2020-07-11,NA,17.333333333333332
2020-07-12,NA,17.666666666666668
2020-07-13,18,18
2020-07-14,17,17
2020-07-15,19,19
2020-07-16,17,17
2020-07-17,20,20
2020-07-18,NA,19.333333333333332
2020-07-19,NA,18.666666666666668
2020-07-20,18,18
2020-07-21,18,18
2020-07-22,16,16
2020-07-23,19,19
2020-07-24,16,16
2020-07-25,NA,18.333333333333332
2020-07-26,NA,20.666666666666664
2020-07-27,23,23
2020-07-28,22,22
2020-07-29,21,21
2020-07-30,18,18
2020-07-31,18,18
2020-08-01,NA,20
2020-08-02,NA,22
2020-08-03,24,24
2020-08-04,24,24
2020-08-05,23,23
2020-08-06,24,24
2020-08-07,25,25
2020-08-08,NA,24.333333333333332
2020-08-09,NA,23.666666666666668
2020-08-10,23,23
2020-08-11,20,20
2020-08-12,16,16
2020-08-13,13,13
2020-08-14,14,14
2020-08-15,14,14
2020-08-16,12,12
2020-08-17,16,16
2020-08-18,18,18
2020-08-19,16,16
2020-08-20,20,20
2020-08-21,22,22
2020-08-22,22,22
2020-08-23,19,19
2020-08-24,20,20
2020-08-25,21,21
2020-08-26,19,19
2020-08-27,19,19
2020-08-28,21,21
2020-08-29,21,21
2020-08-30,21,21
2020-08-31,23,23
2020-09-01,20,20
2020-09-02,15,15
2020-09-03,17,17
2020-09-04,18,18
2020-09-05,16,16
2020-09-06,27,27
2020-09-07,29,29
2020-09-08,28,28
2020-09-09,30,30
2020-09-10,35,35
2020-09-11,44,44
2020-09-12,43,43
2020-09-13,47,47
2020-09-14,50,50
2020-09-15,55,55
2020-09-16,NA,57.5
2020-09-17,60,60
2020-09-18,58,58
2020-09-19,62,62
2020-09-20,59,59
2020-09-21,75,75
2020-09-22,79,79
2020-09-23,78,78
2020-09-24,95,95
2020-09-25,101,101
2020-09-26,97,97
2020-09-27,95,95
2020-09-28,110,110
2020-09-29,107,107
2020-09-30,102,102
2020-10-01,109,109
2020-10-02,106,106
2020-10-03,105,105
2020-10-04,105,105
2020-10-05,120,120
2020-10-06,124,124
2020-10-07,116,116
2020-10-08,115,115
2020-10-09,106,106
2020-10-10,103,103
2020-10-11,102,102
2020-10-12,107,107
2020-10-13,103,103
2020-10-14,104,104
2020-10-15,104,104
2020-10-16,110,110
2020-10-17,110,110
2020-10-18,119,119
2020-10-19,129,129
2020-10-20,128,128
2020-10-21,122,122
2020-10-22,124,124
2020-10-23,125,125
2020-10-24,120,120
2020-10-25,127,127
2020-10-26,145,145
2020-10-27,137,137
2020-10-28,136,136
2020-10-29,139,139
2020-10-30,144,144
2020-10-31,147,147
2020-11-01,156,156
2020-11-02,174,174
2020-11-03,169,169
