Date;Age;Deaths
2020-01-01;0-4; 0
2020-01-01;5-9; 0
2020-01-01;10-14; 0
2020-01-01;15-19; 0
2020-01-01;20-24; 0
2020-01-01;25-29; 0
2020-01-01;30-34; 0
2020-01-01;35-39; 0
2020-01-01;40-44; 1
2020-01-01;45-49; 1
2020-01-01;50-54; 2
2020-01-01;55-59; 8
2020-01-01;60-64;10
2020-01-01;65-69;11
2020-01-01;70-74;15
2020-01-01;75-79;21
2020-01-01;80-84;24
2020-01-01;85-89;41
2020-01-01;90-94;19
2020-01-01;95-99;10
2020-01-01;100+; 0
2020-01-02;0-4; 1
2020-01-02;5-9; 0
2020-01-02;10-14; 0
2020-01-02;15-19; 0
2020-01-02;20-24; 0
2020-01-02;25-29; 0
2020-01-02;30-34; 0
2020-01-02;35-39; 1
2020-01-02;40-44; 1
2020-01-02;45-49; 0
2020-01-02;50-54; 1
2020-01-02;55-59; 6
2020-01-02;60-64;11
2020-01-02;65-69;12
2020-01-02;70-74;21
2020-01-02;75-79;23
2020-01-02;80-84;23
2020-01-02;85-89;33
2020-01-02;90-94;15
2020-01-02;95-99; 6
2020-01-02;100+; 5
2020-01-03;0-4; 1
2020-01-03;5-9; 1
2020-01-03;10-14; 0
2020-01-03;15-19; 0
2020-01-03;20-24; 0
2020-01-03;25-29; 2
2020-01-03;30-34; 0
2020-01-03;35-39; 1
2020-01-03;40-44; 0
2020-01-03;45-49; 1
2020-01-03;50-54; 3
2020-01-03;55-59; 4
2020-01-03;60-64; 8
2020-01-03;65-69;16
2020-01-03;70-74;16
2020-01-03;75-79;22
2020-01-03;80-84;24
2020-01-03;85-89;31
2020-01-03;90-94;19
2020-01-03;95-99; 2
2020-01-03;100+; 1
2020-01-04;0-4; 0
2020-01-04;5-9; 0
2020-01-04;10-14; 0
2020-01-04;15-19; 0
2020-01-04;20-24; 0
2020-01-04;25-29; 1
2020-01-04;30-34; 0
2020-01-04;35-39; 0
2020-01-04;40-44; 1
2020-01-04;45-49; 3
2020-01-04;50-54; 4
2020-01-04;55-59; 5
2020-01-04;60-64;11
2020-01-04;65-69;19
2020-01-04;70-74;19
2020-01-04;75-79;20
2020-01-04;80-84;22
2020-01-04;85-89;26
2020-01-04;90-94;21
2020-01-04;95-99; 7
2020-01-04;100+; 3
2020-01-05;0-4; 1
2020-01-05;5-9; 0
2020-01-05;10-14; 0
2020-01-05;15-19; 0
2020-01-05;20-24; 3
2020-01-05;25-29; 1
2020-01-05;30-34; 0
2020-01-05;35-39; 1
2020-01-05;40-44; 0
2020-01-05;45-49; 1
2020-01-05;50-54; 3
2020-01-05;55-59; 8
2020-01-05;60-64; 9
2020-01-05;65-69;18
2020-01-05;70-74;20
2020-01-05;75-79;25
2020-01-05;80-84;28
2020-01-05;85-89;26
2020-01-05;90-94;20
2020-01-05;95-99; 6
2020-01-05;100+; 1
2020-01-06;0-4; 0
2020-01-06;5-9; 0
2020-01-06;10-14; 0
2020-01-06;15-19; 0
2020-01-06;20-24; 0
2020-01-06;25-29; 1
2020-01-06;30-34; 0
2020-01-06;35-39; 0
2020-01-06;40-44; 0
2020-01-06;45-49; 4
2020-01-06;50-54; 2
2020-01-06;55-59; 5
2020-01-06;60-64; 9
2020-01-06;65-69;14
2020-01-06;70-74;23
2020-01-06;75-79;22
2020-01-06;80-84;21
2020-01-06;85-89;24
2020-01-06;90-94;22
2020-01-06;95-99;10
2020-01-06;100+; 4
2020-01-07;0-4; 0
2020-01-07;5-9; 0
2020-01-07;10-14; 0
2020-01-07;15-19; 0
2020-01-07;20-24; 0
2020-01-07;25-29; 0
2020-01-07;30-34; 1
2020-01-07;35-39; 0
2020-01-07;40-44; 3
2020-01-07;45-49; 3
2020-01-07;50-54; 3
2020-01-07;55-59; 6
2020-01-07;60-64; 6
2020-01-07;65-69; 8
2020-01-07;70-74;19
2020-01-07;75-79;24
2020-01-07;80-84;24
2020-01-07;85-89;26
2020-01-07;90-94;19
2020-01-07;95-99; 8
2020-01-07;100+; 4
2020-01-08;0-4; 0
2020-01-08;5-9; 0
2020-01-08;10-14; 0
2020-01-08;15-19; 0
2020-01-08;20-24; 0
2020-01-08;25-29; 0
2020-01-08;30-34; 0
2020-01-08;35-39; 2
2020-01-08;40-44; 3
2020-01-08;45-49; 0
2020-01-08;50-54; 7
2020-01-08;55-59; 1
2020-01-08;60-64;11
2020-01-08;65-69;12
2020-01-08;70-74;18
2020-01-08;75-79;19
2020-01-08;80-84;31
2020-01-08;85-89;29
2020-01-08;90-94;18
2020-01-08;95-99;10
2020-01-08;100+; 2
2020-01-09;0-4; 1
2020-01-09;5-9; 0
2020-01-09;10-14; 0
2020-01-09;15-19; 0
2020-01-09;20-24; 0
2020-01-09;25-29; 0
2020-01-09;30-34; 0
2020-01-09;35-39; 0
2020-01-09;40-44; 1
2020-01-09;45-49; 4
2020-01-09;50-54; 5
2020-01-09;55-59; 3
2020-01-09;60-64;10
2020-01-09;65-69;11
2020-01-09;70-74;25
2020-01-09;75-79;19
2020-01-09;80-84;27
2020-01-09;85-89;27
2020-01-09;90-94;24
2020-01-09;95-99;14
2020-01-09;100+; 1
2020-01-10;0-4; 0
2020-01-10;5-9; 0
2020-01-10;10-14; 0
2020-01-10;15-19; 0
2020-01-10;20-24; 0
2020-01-10;25-29; 0
2020-01-10;30-34; 0
2020-01-10;35-39; 2
2020-01-10;40-44; 2
2020-01-10;45-49; 3
2020-01-10;50-54; 4
2020-01-10;55-59; 8
2020-01-10;60-64;11
2020-01-10;65-69;10
2020-01-10;70-74;12
2020-01-10;75-79;20
2020-01-10;80-84;38
2020-01-10;85-89;25
2020-01-10;90-94;22
2020-01-10;95-99; 8
2020-01-10;100+; 1
2020-01-11;0-4; 0
2020-01-11;5-9; 0
2020-01-11;10-14; 0
2020-01-11;15-19; 0
2020-01-11;20-24; 0
2020-01-11;25-29; 0
2020-01-11;30-34; 1
2020-01-11;35-39; 1
2020-01-11;40-44; 2
2020-01-11;45-49; 1
2020-01-11;50-54; 5
2020-01-11;55-59; 4
2020-01-11;60-64; 9
2020-01-11;65-69;11
2020-01-11;70-74;27
2020-01-11;75-79;15
2020-01-11;80-84;27
2020-01-11;85-89;28
2020-01-11;90-94;20
2020-01-11;95-99; 6
2020-01-11;100+; 6
2020-01-12;0-4; 0
2020-01-12;5-9; 0
2020-01-12;10-14; 0
2020-01-12;15-19; 0
2020-01-12;20-24; 0
2020-01-12;25-29; 2
2020-01-12;30-34; 2
2020-01-12;35-39; 2
2020-01-12;40-44; 1
2020-01-12;45-49; 2
2020-01-12;50-54; 7
2020-01-12;55-59; 2
2020-01-12;60-64; 8
2020-01-12;65-69;10
2020-01-12;70-74;18
2020-01-12;75-79;25
2020-01-12;80-84;16
2020-01-12;85-89;38
2020-01-12;90-94;27
2020-01-12;95-99;10
2020-01-12;100+; 1
2020-01-13;0-4; 1
2020-01-13;5-9; 0
2020-01-13;10-14; 0
2020-01-13;15-19; 0
2020-01-13;20-24; 0
2020-01-13;25-29; 1
2020-01-13;30-34; 0
2020-01-13;35-39; 2
2020-01-13;40-44; 0
2020-01-13;45-49; 4
2020-01-13;50-54; 4
2020-01-13;55-59; 1
2020-01-13;60-64; 6
2020-01-13;65-69;18
2020-01-13;70-74;12
2020-01-13;75-79;24
2020-01-13;80-84;21
2020-01-13;85-89;23
2020-01-13;90-94;32
2020-01-13;95-99; 7
2020-01-13;100+; 2
2020-01-14;0-4; 0
2020-01-14;5-9; 0
2020-01-14;10-14; 0
2020-01-14;15-19; 0
2020-01-14;20-24; 0
2020-01-14;25-29; 1
2020-01-14;30-34; 1
2020-01-14;35-39; 1
2020-01-14;40-44; 3
2020-01-14;45-49; 2
2020-01-14;50-54; 1
2020-01-14;55-59; 2
2020-01-14;60-64; 7
2020-01-14;65-69;13
2020-01-14;70-74;14
2020-01-14;75-79;28
2020-01-14;80-84;25
2020-01-14;85-89;37
2020-01-14;90-94;18
2020-01-14;95-99; 9
2020-01-14;100+; 3
2020-01-15;0-4; 0
2020-01-15;5-9; 0
2020-01-15;10-14; 0
2020-01-15;15-19; 0
2020-01-15;20-24; 0
2020-01-15;25-29; 2
2020-01-15;30-34; 2
2020-01-15;35-39; 0
2020-01-15;40-44; 1
2020-01-15;45-49; 3
2020-01-15;50-54; 3
2020-01-15;55-59; 4
2020-01-15;60-64; 7
2020-01-15;65-69;12
2020-01-15;70-74;20
2020-01-15;75-79;24
2020-01-15;80-84;21
2020-01-15;85-89;23
2020-01-15;90-94;21
2020-01-15;95-99; 7
2020-01-15;100+; 1
2020-01-16;0-4; 0
2020-01-16;5-9; 0
2020-01-16;10-14; 1
2020-01-16;15-19; 0
2020-01-16;20-24; 0
2020-01-16;25-29; 0
2020-01-16;30-34; 1
2020-01-16;35-39; 3
2020-01-16;40-44; 1
2020-01-16;45-49; 2
2020-01-16;50-54; 4
