"IndberetningDato";"Totalt antal tests";"Antal testede personer";"Antal bekræftede tilfælde";"Antal overstået infektion";"Antal døde";"Antal nye bekræftede tilfælde";"Antal nye døde";"Antal nye overstået infektion";"Antal indlagte i dag med COVID";"Antal indlagt i dag og i respirator";"Antal indlagt i dag på intensiv";"Antal nye indlæggelser";"Ændring i antal indlæggelser";"Ændring i antal i respirator";"Ændring i antal på intensiv";"Førstegangstestede";"Antal prøver siden sidst";"Daily_Infected_Diff"
2020-04-02;0;0;0;0;0;0;0;0;527;124;146;0;0;0;0;0;0;0
2020-04-03;0;0;0;0;0;0;0;0;511;121;139;50;-16;-3;-7;0;0;0
2020-04-04;0;0;0;0;0;0;0;0;498;115;137;57;-13;-6;-2;0;0;0
2020-04-05;0;0;0;0;0;0;0;0;490;111;138;39;-8;-4;1;0;0;0
2020-04-06;0;0;0;0;0;0;0;0;488;110;133;38;-2;-1;-5;0;0;0
2020-04-07;0;0;0;0;0;0;0;0;466;103;127;51;-22;-7;-6;0;0;0
2020-04-08;0;0;0;0;0;0;0;0;446;103;127;44;-20;0;0;0;0;0
2020-04-09;0;0;0;0;0;0;0;0;427;100;120;42;-19;-3;-7;0;0;0
2020-04-10;0;0;0;0;0;0;0;0;398;95;113;30;-29;-5;-7;0;0;0
2020-04-11;0;0;0;0;0;0;0;0;402;90;106;45;4;-5;-7;0;0;0
2020-04-12;0;0;0;0;0;0;0;0;391;85;104;29;-11;-5;-2;0;0;0
2020-04-13;0;0;0;0;0;0;0;0;381;87;100;24;-10;2;-4;0;0;0
2020-04-14;0;0;0;0;0;0;0;0;374;80;93;30;-7;-7;-7;0;0;0
2020-04-15;0;0;0;0;0;0;0;0;355;75;89;40;-19;-5;-4;0;0;0
2020-04-16;0;0;0;0;0;0;0;0;341;72;92;33;-14;-3;3;0;0;0
2020-04-17;0;0;0;0;0;0;0;0;337;74;93;26;-4;2;1;0;0;0
2020-04-18;0;0;0;0;0;0;0;0;304;76;87;23;-33;2;-6;0;0;0
2020-04-19;0;0;0;0;0;0;0;0;303;73;84;21;-1;-3;-3;0;0;0
2020-04-20;0;0;0;0;0;0;0;0;321;72;84;38;18;-1;0;0;0;0
2020-04-21;0;0;0;0;0;0;0;0;315;72;81;35;-6;0;-3;0;0;0
2020-04-22;0;0;0;0;0;0;0;0;309;68;80;29;-6;-4;-1;0;0;0
2020-04-23;0;0;0;0;0;0;0;0;303;61;74;33;-6;-7;-6;0;0;0
2020-04-24;0;0;0;0;0;0;0;0;303;58;69;30;0;-3;-5;0;0;0
2020-04-25;0;0;0;0;0;0;0;0;276;56;70;28;-27;-2;1;0;0;0
