"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;673;139421;0,48
147;65;24667;0,26
151;89;12047;0,74
153;84;7844;1,07
155;11;3765;0,29
157;27;16033;0,17
159;112;16442;0,68
161;33;5493;0,60
163;33;7475;0,44
165;53;7174;0,74
167;43;11215;0,38
169;133;13005;1,02
173;24;12870;0,19
175;41;9188;0,45
183;65;6290;1,03
185;46;10234;0,45
187;41;4117;1,00
190;29;9630;0,30
201;24;6866;0,35
210;46;9207;0,50
217;67;13739;0,49
219;60;13667;0,44
223;31;5677;0,55
230;29;12914;0,22
240;27;12586;0,21
250;21;9989;0,21
253;51;11823;0,43
259;51;13810;0,37
260;8;7124;0,11
265;63;23232;0,27
269;9;6040;0,15
270;21;8664;0,24
306;39;6803;0,57
316;74;18642;0,40
320;20;8391;0,24
326;33;10838;0,30
329;38;8329;0,46
330;105;18523;0,57
336;17;5020;0,34
340;20;7417;0,27
350;37;7017;0,53
360;18;8344;0,22
370;69;21465;0,32
376;33;13727;0,24
390;11;9750;0,11
400;23;17532;0,13
410;26;10764;0,24
411;0;14;0,00
420;12;9799;0,12
430;48;14624;0,33
440;36;6088;0,59
450;16;8562;0,19
461;249;57876;0,43
479;28;16848;0,17
480;27;8091;0,33
482;1;1762;0,06
492;0;1125;0,00
510;74;15142;0,49
530;34;7117;0,48
540;27;18669;0,14
550;17;8849;0,19
561;202;28370;0,71
563;0;572;0,00
573;16;11953;0,13
575;25;10993;0,23
580;61;18069;0,34
607;29;13329;0,22
615;83;21859;0,38
621;134;31563;0,42
630;229;30511;0,75
657;59;20651;0,29
661;30;14125;0,21
665;3;4160;0,07
671;6;4518;0,13
706;10;9122;0,11
707;12;7551;0,16
710;18;11554;0,16
727;8;5250;0,15
730;147;23268;0,63
740;55;22426;0,25
741;0;557;0,00
746;52;15698;0,33
751;224;74410;0,30
756;27;8958;0,30
760;19;13515;0,14
766;28;11059;0,25
773;22;4758;0,46
779;14;9500;0,15
787;32;10926;0,29
791;44;22524;0,20
810;8;9118;0,09
813;19;13980;0,14
820;32;7330;0,44
825;0;157;0,00
840;23;7642;0,30
846;30;10887;0,28
849;23;8319;0,28
851;159;52639;0,30
860;26;15387;0,17
