"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;19/03/2021
Hovedstaden;0-9;224;0;0;0;19/03/2021
Midtjylland;0-9;112;0;0;1;19/03/2021
Nordjylland;0-9;26;0;0;0;19/03/2021
Sjælland;0-9;58;0;0;0;19/03/2021
Syddanmark;0-9;166;0;1;1;19/03/2021
;10-19;3;0;0;0;19/03/2021
Hovedstaden;10-19;291;0;0;1;19/03/2021
Midtjylland;10-19;156;0;0;0;19/03/2021
Nordjylland;10-19;76;0;0;0;19/03/2021
Sjælland;10-19;135;0;0;1;19/03/2021
Syddanmark;10-19;253;0;0;0;19/03/2021
;20-29;20;0;0;0;19/03/2021
Hovedstaden;20-29;389;0;1;3;19/03/2021
Midtjylland;20-29;172;0;0;1;19/03/2021
Nordjylland;20-29;72;0;0;0;19/03/2021
Sjælland;20-29;86;0;0;0;19/03/2021
Syddanmark;20-29;221;0;3;3;19/03/2021
;30-39;24;0;0;0;19/03/2021
Hovedstaden;30-39;297;0;1;2;19/03/2021
Midtjylland;30-39;119;0;0;1;19/03/2021
Nordjylland;30-39;44;0;0;0;19/03/2021
Sjælland;30-39;87;0;1;1;19/03/2021
Syddanmark;30-39;201;0;5;5;19/03/2021
;40-49;30;0;0;1;19/03/2021
Hovedstaden;40-49;289;0;0;5;19/03/2021
Midtjylland;40-49;99;0;0;1;19/03/2021
Nordjylland;40-49;39;0;0;0;19/03/2021
Sjælland;40-49;110;0;1;2;19/03/2021
Syddanmark;40-49;200;0;1;1;19/03/2021
;50-59;15;0;2;3;19/03/2021
Hovedstaden;50-59;251;0;5;10;19/03/2021
Midtjylland;50-59;104;0;0;2;19/03/2021
Nordjylland;50-59;54;0;0;0;19/03/2021
Sjælland;50-59;101;0;0;3;19/03/2021
Syddanmark;50-59;144;0;2;4;19/03/2021
;60-69;2;0;0;0;19/03/2021
Hovedstaden;60-69;117;0;2;3;19/03/2021
Midtjylland;60-69;50;0;1;1;19/03/2021
Nordjylland;60-69;37;0;0;0;19/03/2021
Sjælland;60-69;57;0;0;0;19/03/2021
Syddanmark;60-69;66;0;2;2;19/03/2021
Hovedstaden;70-79;67;0;6;8;19/03/2021
Midtjylland;70-79;22;0;0;3;19/03/2021
Nordjylland;70-79;23;0;0;0;19/03/2021
Sjælland;70-79;43;0;5;9;19/03/2021
Syddanmark;70-79;32;0;5;7;19/03/2021
Hovedstaden;80-89;32;0;5;8;19/03/2021
Midtjylland;80-89;5;0;0;0;19/03/2021
Nordjylland;80-89;3;1;0;0;19/03/2021
Sjælland;80-89;10;0;1;2;19/03/2021
Syddanmark;80-89;8;0;2;3;19/03/2021
Hovedstaden;90+;2;0;2;2;19/03/2021
Sjælland;90+;1;0;1;1;19/03/2021
