"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;81;0
Hovedstaden;0-9;8304;1
Midtjylland;0-9;2944;0
Nordjylland;0-9;931;0
Sjælland;0-9;1925;0
Syddanmark;0-9;2670;0
;10-19;89;0
Hovedstaden;10-19;15856;0
Midtjylland;10-19;6548;0
Nordjylland;10-19;2348;0
Sjælland;10-19;5187;0
Syddanmark;10-19;5733;0
;20-29;500;0
Hovedstaden;20-29;22464;0
Midtjylland;20-29;7898;0
Nordjylland;20-29;2908;0
Sjælland;20-29;4149;0
Syddanmark;20-29;5599;0
;30-39;558;0
Hovedstaden;30-39;16436;4
Midtjylland;30-39;5125;0
Nordjylland;30-39;1862;0
Sjælland;30-39;3953;2
Syddanmark;30-39;4234;0
;40-49;512;0
Hovedstaden;40-49;15870;4
Midtjylland;40-49;5582;1
Nordjylland;40-49;2056;0
Sjælland;40-49;5201;1
Syddanmark;40-49;4916;1
;50-59;329;1
Hovedstaden;50-59;14691;28
Midtjylland;50-59;5682;9
Nordjylland;50-59;2335;3
Sjælland;50-59;5358;9
Syddanmark;50-59;4887;4
;60-69;118;0
Hovedstaden;60-69;7725;111
Midtjylland;60-69;3151;28
Nordjylland;60-69;1505;10
Sjælland;60-69;2945;36
Syddanmark;60-69;2713;16
;70-79;27;0
Hovedstaden;70-79;4811;327
Midtjylland;70-79;1824;86
Nordjylland;70-79;953;60
Sjælland;70-79;1907;108
Syddanmark;70-79;1655;56
;80-89;10;1
Hovedstaden;80-89;2816;516
Midtjylland;80-89;883;149
Nordjylland;80-89;436;62
Sjælland;80-89;959;154
Syddanmark;80-89;733;90
;90+;9;1
Hovedstaden;90+;993;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;166;45
