"Region";"Dato";"Døde";"Kummuleret antal døde"
;2020-02-26;0;0
;2020-02-27;0;0
;2020-02-28;0;0
;2020-03-01;0;0
;2020-03-02;0;0
;2020-03-03;0;0
;2020-03-04;0;0
;2020-03-05;0;0
;2020-03-06;0;0
;2020-03-07;0;0
;2020-03-08;0;0
;2020-03-09;0;0
;2020-03-10;0;0
Nordjylland;2020-03-11;1;1
;2020-03-12;0;1
;2020-03-13;0;1
Hovedstaden;2020-03-14;1;2
Midtjylland;2020-03-15;1;3
Hovedstaden;2020-03-15;1;4
Hovedstaden;2020-03-16;1;5
Hovedstaden;2020-03-17;1;6
Sjælland;2020-03-18;1;7
Hovedstaden;2020-03-18;3;10
Midtjylland;2020-03-19;2;12
Hovedstaden;2020-03-19;3;15
Sjælland;2020-03-20;1;16
Hovedstaden;2020-03-20;2;18
Syddanmark;2020-03-20;1;19
Hovedstaden;2020-03-21;3;22
Midtjylland;2020-03-22;1;23
Hovedstaden;2020-03-22;2;25
Hovedstaden;2020-03-23;4;29
Midtjylland;2020-03-23;1;30
Sjælland;2020-03-23;1;31
Hovedstaden;2020-03-24;1;32
Sjælland;2020-03-24;4;36
Nordjylland;2020-03-24;1;37
Syddanmark;2020-03-25;1;38
Sjælland;2020-03-25;2;40
Hovedstaden;2020-03-25;2;42
Midtjylland;2020-03-25;1;43
Hovedstaden;2020-03-26;8;51
Syddanmark;2020-03-26;1;52
Sjælland;2020-03-26;3;55
Syddanmark;2020-03-27;2;57
Sjælland;2020-03-27;2;59
Nordjylland;2020-03-27;1;60
Hovedstaden;2020-03-27;7;67
Midtjylland;2020-03-28;2;69
Syddanmark;2020-03-28;1;70
Nordjylland;2020-03-28;1;71
Sjælland;2020-03-28;1;72
Hovedstaden;2020-03-28;4;76
Syddanmark;2020-03-29;3;79
Midtjylland;2020-03-29;2;81
Nordjylland;2020-03-29;1;82
Hovedstaden;2020-03-29;2;84
Hovedstaden;2020-03-30;6;90
Sjælland;2020-03-30;4;94
Midtjylland;2020-03-30;1;95
Nordjylland;2020-03-31;2;97
Syddanmark;2020-03-31;1;98
Sjælland;2020-03-31;3;101
Hovedstaden;2020-03-31;8;109
Midtjylland;2020-03-31;1;110
Hovedstaden;2020-04-01;13;123
Syddanmark;2020-04-01;1;124
Sjælland;2020-04-01;5;129
Nordjylland;2020-04-01;1;130
Midtjylland;2020-04-01;2;132
Midtjylland;2020-04-02;4;136
Nordjylland;2020-04-02;1;137
Hovedstaden;2020-04-02;9;146
Sjælland;2020-04-02;4;150
Sjælland;2020-04-03;4;154
Hovedstaden;2020-04-03;14;168
Syddanmark;2020-04-03;1;169
Midtjylland;2020-04-03;1;170
Midtjylland;2020-04-04;5;175
Sjælland;2020-04-04;2;177
Nordjylland;2020-04-04;1;178
Hovedstaden;2020-04-04;7;185
Sjælland;2020-04-05;2;187
Hovedstaden;2020-04-05;6;193
Nordjylland;2020-04-05;1;194
Midtjylland;2020-04-05;2;196
Syddanmark;2020-04-05;1;197
Syddanmark;2020-04-06;4;201
Sjælland;2020-04-06;2;203
Hovedstaden;2020-04-06;11;214
Hovedstaden;2020-04-07;11;225
Nordjylland;2020-04-07;1;226
Midtjylland;2020-04-08;2;228
Sjælland;2020-04-08;4;232
Nordjylland;2020-04-08;1;233
Hovedstaden;2020-04-08;8;241
Midtjylland;2020-04-09;3;244
Hovedstaden;2020-04-09;8;252
Sjælland;2020-04-09;1;253
Nordjylland;2020-04-09;1;254
Midtjylland;2020-04-10;2;256
