Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     267 (49);     275 (51);     542
10-19;     606 (53);     533 (47);   1.139
20-29;   1.461 (58);   1.056 (42);   2.517
30-39;   1.308 (56);   1.035 (44);   2.343
40-49;   1.536 (58);   1.134 (42);   2.670
50-59;   1.563 (57);   1.184 (43);   2.747
60-69;     792 (48);     859 (52);   1.651
70-79;     553 (46);     639 (54);   1.192
80-89;     492 (57);     373 (43);     865
90+;     198 (72);      76 (28);     274
I alt;   8.776 (55);   7.164 (45);  15.940
