"Country","Response_measure","date_start","date_end"
"Austria","AdaptationOfWorkplace",2020-03-16,2020-04-13
"Austria","BanOnAllEvents",2020-11-03,NA
"Austria","ClosDaycare",2020-03-16,2020-05-04
"Austria","ClosDaycarePartial",2020-11-17,2020-12-07
"Austria","ClosHigh",2020-03-16,2020-09-30
"Austria","ClosHighPartial",2020-11-03,NA
"Austria","ClosPrim",2020-03-16,2020-05-18
"Austria","ClosPrim",2020-12-26,2021-02-07
"Austria","ClosPrimPartial",2020-11-17,2020-12-07
"Austria","ClosPubAny",2020-03-16,2020-04-13
"Austria","ClosPubAny",2020-05-02,2020-05-14
"Austria","ClosPubAny",2020-11-16,2020-12-06
"Austria","ClosPubAny",2020-12-28,2021-02-06
"Austria","ClosPubAnyPartial",2020-04-14,2020-05-01
"Austria","ClosPubAnyPartial",2020-05-15,2020-11-15
"Austria","ClosPubAnyPartial",2020-12-07,2020-12-27
"Austria","ClosPubAnyPartial",2021-02-07,NA
"Austria","ClosSec",2020-03-16,2020-05-03
"Austria","ClosSec",2020-11-03,2021-02-07
"Austria","ClosSecPartial",2020-05-04,2020-06-03
"Austria","ClosSecPartial",2021-02-08,NA
"Austria","EntertainmentVenues",2020-03-16,2020-04-30
"Austria","EntertainmentVenues",2020-11-03,2021-02-07
"Austria","EntertainmentVenuesPartial",2021-02-08,NA
"Austria","GymsSportsCentres",2020-11-03,NA
"Austria","HotelsOtherAccommodation",2020-03-31,2020-05-29
"Austria","HotelsOtherAccommodation",2020-11-03,NA
"Austria","IndoorOver100",2020-03-10,2020-07-01
"Austria","IndoorOver1000",2020-07-02,2020-07-31
"Austria","IndoorOver1000",2020-09-21,2020-11-02
"Austria","MasksMandatoryAllSpaces",2020-09-14,NA
"Austria","MasksMandatoryClosedSpaces",2020-04-06,2020-06-14
"Austria","MasksMandatoryClosedSpacesPartial",2020-06-15,2020-09-13
"Austria","MasksVoluntaryClosedSpacesPartial",2020-03-31,2020-04-05
"Austria","MassGather50",2020-04-30,2020-05-29
"Austria","MassGather50",2020-11-03,NA
"Austria","MassGatherAll",2020-03-10,2020-07-31
"Austria","MassGatherAll",2020-09-21,NA
"Austria","NonEssentialShops",2020-03-16,2020-04-13
"Austria","NonEssentialShops",2020-11-17,2020-12-06
"Austria","NonEssentialShops",2020-12-26,2021-02-07
"Austria","NonEssentialShopsPartial",2020-04-14,2020-05-01
"Austria","NonEssentialShopsPartial",2021-02-08,NA
"Austria","OutdoorOver1000",2020-07-02,2020-07-31
"Austria","OutdoorOver1000",2020-09-21,2020-11-02
"Austria","OutdoorOver50",2020-04-30,2020-05-29
"Austria","OutdoorOver500",2020-03-10,2020-04-29
"Austria","OutdoorOver500",2020-05-30,2020-07-01
"Austria","PlaceOfWorship",2020-03-16,2020-05-14
"Austria","PlaceOfWorship",2020-11-16,2020-12-06
"Austria","PlaceOfWorship",2020-12-28,2021-02-06
"Austria","PlaceOfWorshipPartial",2020-05-15,2020-11-15
"Austria","PlaceOfWorshipPartial",2020-12-07,2020-12-27
"Austria","PlaceOfWorshipPartial",2021-02-07,NA
"Austria","PrivateGatheringRestrictions",2020-03-16,2020-04-30
"Austria","PrivateGatheringRestrictions",2020-10-23,2020-11-16
"Austria","RestaurantsCafes",2020-03-16,2020-05-15
"Austria","RestaurantsCafes",2020-11-03,NA
"Austria","SocialCircle",2020-11-17,NA
"Austria","StayHomeGen",2020-03-10,2020-03-15
"Austria","StayHomeOrder",2020-03-16,2020-04-30
"Austria","StayHomeOrder",2020-11-17,NA
"Austria","StayHomeOrderPartial",2020-11-03,2020-11-16
"Austria","Teleworking",2020-03-10,NA
"Belgium","BanOnAllEvents",2020-11-02,NA
"Belgium","ClosDaycare",2020-05-01,2020-06-02
"Belgium","ClosDaycare",2020-11-12,2020-11-15
"Belgium","ClosHigh",2020-03-13,NA
"Belgium","ClosPrim",2020-03-13,2020-05-17
"Belgium","ClosPrim",2020-11-12,2020-11-16
"Belgium","ClosPrimPartial",2020-05-18,2020-06-08
"Belgium","ClosPubAny",2020-03-13,2020-05-03
"Belgium","ClosPubAny",2020-11-02,2020-11-30
"Belgium","ClosPubAnyPartial",2020-05-04,2020-11-01
"Belgium","ClosPubAnyPartial",2020-12-01,NA
"Belgium","ClosSec",2020-03-13,2020-05-17
"Belgium","ClosSec",2020-11-12,2020-11-15
"Belgium","ClosSecPartial",2020-05-18,2020-08-28
"Belgium","EntertainmentVenues",2020-03-13,2020-05-17
"Belgium","EntertainmentVenues",2020-11-02,NA
"Belgium","EntertainmentVenuesPartial",2020-05-18,2020-11-01
"Belgium","GymsSportsCentres",2020-03-13,2020-05-03
"Belgium","GymsSportsCentres",2020-11-02,NA
"Belgium","GymsSportsCentresPartial",2020-05-04,2020-07-01
"Belgium","IndoorOver1000",2020-03-10,2020-03-17
