Response_measure;Group;Score
ClosPubAny;PublicSpaces;
ClosPubAnyPartial;PublicSpaces;
EntertainmentVenues;Entertainment;
EntertainmentVenuesPartial;Entertainment;
HotelsOtherAccommodation;Entertainment;
HotelsOtherAccommodationPartial;Entertainment;
RestaurantsCafes;Entertainment;
RestaurantsCafesPartial;Entertainment;
BanOnAllEvents;Events;
BanOnAllEventsPartial;Events;
IndoorOver100;Gathering;
IndoorOver1000;Gathering;
IndoorOver50;Gathering;
IndoorOver500;Gathering;
MassGather50;Gathering;
MassGather50Partial;Gathering;
MassGatherAll;Gathering;
MassGatherAllPartial;Gathering;
OutdoorOver100;Gathering;
OutdoorOver1000;Gathering;
OutdoorOver50;Gathering;
OutdoorOver500;Gathering;
PrivateGatheringRestrictions;Gathering;
PrivateGatheringRestrictionsPartial;Gathering;
SocialCircle;Gathering;
SocialCirclePartial;Gathering;
RegionalStayHomeOrder;Stayhome;
RegionalStayHomeOrderPartial;Stayhome;
StayHomeGen;Stayhome;
StayHomeGenPartial;Stayhome;
StayHomeOrder;Stayhome;
StayHomeOrderPartial;Stayhome;
StayHomeRiskG;Stayhome;
StayHomeRiskGPartial;Stayhome;
MasksMandatoryAllSpaces;Masks;
MasksMandatoryAllSpacesPartial;Masks;
MasksMandatoryClosedSpaces;Masks;
MasksMandatoryClosedSpacesPartial;Masks;
MasksVoluntaryAllSpaces;Masks;
MasksVoluntaryAllSpacesPartial;Masks;
MasksVoluntaryClosedSpaces;Masks;
MasksVoluntaryClosedSpacesPartial;Masks;
NonEssentialShops;Retail;
NonEssentialShopsPartial;Retail;
ClosDaycare;School;
ClosDaycarePartial;School;
ClosHigh;School;
ClosHighPartial;School;
ClosPrim;School;
ClosPrimPartial;School;
ClosSec;School;
ClosSecPartial;School;
GymsSportsCentres;Sports;
GymsSportsCentresPartial;Sports;
ClosureOfPublicTransport;Transport;
ClosureOfPublicTransportPartial;Transport;
AdaptationOfWorkplace;Workplace;
AdaptationOfWorkplacePartial;Workplace;
Teleworking;Workplace;
TeleworkingPartial;Workplace;
WorkplaceClosures;Workplace;
WorkplaceClosuresPartial;Workplace;
PlaceOfWorship;Worship;
PlaceOfWorshipPartial;Worship;
