Date;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGpos_PCRneg;AGnegPCRpos;AGnegPCRneg;ra_ag_pos;ra_ag_test;ra_ag_pos_pos
2021-02-01;  5742;   8;   4; 50,00000;  4;50,000000;   2;  2;   2;  294;NA;NA;NA
2021-02-02;  5373;   9;   5; 55,55556;  4;44,444444;   5;  0;   5;  305;NA;NA;NA
2021-02-03;  5723;  11;   6; 54,54545;  5;45,454545;   6;  0;   6;  344;NA;NA;NA
2021-02-04;  5191;   8;   3; 37,50000;  5;62,500000;   3;  0;   5;  328;  10,28571;  4744,429;   4,714286
2021-02-05;  4940;   7;   5; 71,42857;  2;28,571429;   4;  1;   6;  280;  11,14286;  5086,286;   5,285714
2021-02-06;  2875;  13;   6; 46,15385;  7;53,846154;   6;  0;   3;  264;  10,71429;  5320,571;   5,142857
2021-02-07;  3367;  16;   7; 43,75000;  9;56,250000;   7;  0;   6;  324;  11,14286;  5662,714;   4,857143
2021-02-08;  8135;  14;   7; 50,00000;  7;50,000000;   6;  1;   5;  439;  12,00000;  6418,286;   5,285714
2021-02-09;  7013;   6;   4; 66,66667;  2;33,333333;   4;  0;   5;  389;  12,57143;  7196,571;   5,142857
2021-02-10;  8118;  14;   5; 35,71429;  9;64,285714;   4;  1;   1;  496;  12,85714;  7548,857;   5,285714
2021-02-11; 10480;  14;   7; 50,00000;  7;50,000000;   6;  1;   3;  537;  13,71429;  7831,571;   5,285714
2021-02-12; 10388;  11;   4; 36,36364;  7;63,636364;   3;  1;   4;  477;  19,42857;  9451,857;   6,857143
2021-02-13;  5341;  15;   8; 53,33333;  7;46,666667;   7;  1;   6;  339;  28,14286; 11196,571;  11,000000
2021-02-14;  5346;  22;  10; 45,45455; 12;54,545455;   7;  3;   9;  433;  39,71429; 14220,143;  16,714286
2021-02-15; 19477;  54;  24; 44,44444; 30;55,555556;  17;  7;  25; 1154;  45,71429; 17481,857;  20,571429
2021-02-16; 19226;  67;  44; 65,67164; 23;34,328358;  33; 10;  19; 1337;  57,57143; 21427,429;  26,142857
2021-02-17; 29283;  95;  53; 55,78947; 42;44,210526;  44;  9;  20; 2014;  64,14286; 24060,000;  29,857143
2021-02-18; 33312;  56;  40; 71,42857; 16;28,571429;  33;  4;  30; 1801;  75,57143; 26510,143;  37,285714
2021-02-19; 38007;  94;  54; 57,44681; 40;42,553191;  42; 12;  37; 1828;  82,85714; 27968,571;  42,571429
2021-02-20; 23769;  61;  41; 67,21311; 20;32,786885;  33;  8;  36; 1621;  89,00000; 30008,571;  46,142857
2021-02-21; 22497; 102;  66; 64,70588; 36;35,294118;  59;  4;  41; 1693;  89,42857; 30656,571;  46,000000
2021-02-22; 29686; 105;  75; 71,42857; 30;28,571429;  54; 19;  26; 1896;  95,14286; 30536,571;  47,571429
2021-02-23; 33506; 110;  70; 63,63636; 40;36,363636;  58; 10;  34; 2047;  99,14286; 30997,571;  49,285714
2021-02-24; 33819;  98;  57; 58,16327; 41;41,836735;  43; 12;  33; 2124; 104,85714; 31192,857;  52,857143
2021-02-25; 32472;  96;  53; 55,20833; 43;44,791667;  44;  9;  20; 1636; 106,85714; 31891,714;  53,714286
2021-02-26; 41234; 122;  70; 57,37705; 52;42,622951;  54; 16;  41; 1830; 106,57143; 33491,286;  53,285714
2021-02-27; 25136; 101;  68; 67,32673; 33;32,673267;  58;  9;  17; 1559; 107,42857; 34942,143;  53,714286
2021-02-28; 27389; 116;  83; 71,55172; 33;28,448276;  65; 18;  29; 1973; 109,00000; 37306,000;  52,857143
2021-03-01; 40883; 103;  72; 69,90291; 31;30,097087;  51; 19;  18; 2210; 121,42857; 41691,429;  53,428571
2021-03-02; 43662; 116;  88; 75,86207; 28;24,137931;  61; 25;  25; 2086; 128,85714; 46090,000;  52,000000
2021-03-03; 50366; 109;  74; 67,88991; 35;32,110092;  37; 37;  43; 3344; 134,00000; 48561,000;  51,000000
2021-03-04; 63170; 183; 147; 80,32787; 36;19,672131;  48; 95;  30; 3614; 147,00000; 51085,286;  50,000000
2021-03-05; 72024; 174; 133; 76,43678; 41;23,563218;  44; 88;  55; 4116; 166,14286; 55635,286;  54,000000
2021-03-06; 42433; 137; 102; 74,45255; 35;25,547445;  51; 51;  59; 3058; 177,28571; 59476,571;  54,142857
2021-03-07; 45059; 207; 167; 80,67633; 40;19,323671;  58;105;  62; 3521; 195,85714; 61727,571;  60,000000
2021-03-08; 72733; 237; 201; 84,81013; 36;15,189873;  79;122;  79; 3934; 195,00000; 62075,571;  60,428571
2021-03-09; 70551; 194; 169; 87,11340; 25;12,886598;  62;106;  65; 3415; 195,28571; 61492,429;  59,142857
2021-03-10; 66123; 239; 199; 83,26360; 40;16,736402;  78;121;  66; 3854; 197,85714; 64314,286;  59,857143
2021-03-11; 65606; 177; 148; 83,61582; 29;16,384181;  51; 97;  43; 3538; 194,00000; 69605,857;  58,714286
2021-03-12; 67942; 176; 131; 74,43182; 45;25,568182;  35; 96;  31; 2979; 198,42857; 76961,286;  62,714286
2021-03-13; 62186; 155; 119; 76,77419; 36;23,225806;  56; 60;  64; 3351; 210,57143; 85491,571;  69,142857
2021-03-14; 82100; 180; 146; 81,11111; 34;18,888889;  50; 95;  83; 4147; 205,42857; 92748,143;  70,000000
2021-03-15;124221; 268; 226; 84,32836; 42;15,671642; 107;114; 105; 5680; 213,14286;103134,857;  79,857143
2021-03-16;130263; 279; 224; 80,28674; 55;19,713262; 107;117; 107; 5333; 210,28571;107886,571;  85,857143
2021-03-17;116919; 203; 156; 76,84729; 47;23,152709;  84; 66; 105; 5795; 208,28571;108069,143;  89,428571
2021-03-18;138313; 231; 177; 76,62338; 54;23,376623; 120; 55; 103; 6223; 213,00000;110720,286;  99,428571
2021-03-19;101204; 156; 125; 80,12821; 31;19,871795;  77; 45;  71; 4217; 209,28571;114151,571; 101,428571
2021-03-20; 63464; 141; 116; 82,26950; 25;17,730496;  81; 33;  94; 3623; 198,57143;117508,857; 102,285714
2021-03-21;100658; 213; 174; 81,69014; 39;18,309859; 120; 53; 126; 5421; 198,85714;120186,429; 106,142857
2021-03-22;148240; 242; 194; 80,16529; 48;19,834711; 121; 69; 135; 6697; 200,57143;123464,286; 106,714286
2021-03-23;153764; 204; 174; 85,29412; 30;14,705882; 113; 59; 136; 6503; 205,00000;129839,714; 109,714286
2021-03-24;135662; 205; 160; 78,04878; 45;21,951220; 111; 46; 140; 6400; 208,71429;131126,429; 112,857143
2021-03-25;161258; 243; 178; 73,25103; 65;26,748971; 124; 51; 143; 7162; 201,42857;126873,143; 109,571429
2021-03-26;145832; 187; 144; 77,00535; 43;22,994652;  98; 43; 125; 6161; 204,85714;122404,286; 114,142857
2021-03-27; 72471; 167; 136; 81,43713; 31;18,562874; 103; 32;  91; 4330; 211,57143;118753,714; 118,285714
2021-03-28; 70885; 162; 132; 81,48148; 30;18,518519;  97; 33; 106; 4674; 204,28571;114616,429; 115,142857
2021-03-29;116958; 266; 226; 84,96241; 40;15,037594; 153; 72; 149; 6725; 199,42857;107715,000; 114,571429
2021-03-30;128210; 251; 202; 80,47809; 49;19,521912; 142; 57; 126; 6299; 202,00000;102047,429; 116,142857
2021-03-31;106701; 154; 129; 83,76623; 25;16,233766;  89; 39;  65; 4680; 205,85714;104868,143; 115,571429
2021-04-01;112948; 209; 179; 85,64593; 30;14,354067; 120; 55; 127; 6197; 206,57143;110475,429; 115,000000
2021-04-02;106159; 205; 172; 83,90244; 33;16,097561; 109; 58;  84; 6573; 210,00000;124799,143; 112,428571
2021-04-03; 92216; 194; 165; 85,05155; 29;14,948454;  99; 60;  78; 5864; 215,14286;140964,429; 112,857143
2021-04-04;110136; 167; 148; 88,62275; 19;11,377246;  93; 52; 107; 6533; 231,71429;156281,143; 118,428571
2021-04-05;217224; 290; 252; 86,89655; 38;13,103448; 135;111; 116;11788; 240,28571;177028,286; 122,142857
2021-04-06;241367; 287; 252; 87,80488; 35;12,195122; 145;102; 122;11229; 241,57143;191757,714; 122,714286
2021-04-07;213918; 270; 232; 85,92593; 38;14,074074; 128;102; 145; 9928; 236,42857;193324,857; 121,000000
2021-04-08;258178; 269; 224; 83,27138; 45;16,728625; 146; 73; 158;11980; 243,28571;203335,571; 123,714286
2021-04-09;209265; 214; 180; 84,11215; 34;15,887850; 113; 65;  83; 9763; 246,42857;216058,714; 126,000000
2021-04-10;103186; 158; 133; 84,17722; 25;15,822785;  87; 45;  94; 5268; 242,42857;217269,857; 122,857143
2021-04-11;180211; 215; 191; 88,83721; 24;11,162791; 112; 77; 104; 8778; 239,71429;220142,143; 123,142857
2021-04-12;306286; 312; 272; 87,17949; 40;12,820513; 151;118; 170;13510; 247,14286;223044,571; 124,714286
2021-04-13;249845; 259; 225; 86,87259; 34;13,127413; 123;101; 151;10588; 252,00000;224847,429; 124,285714
2021-04-14;234024; 251; 209; 83,26693; 42;16,733068; 130; 78; 154;10364; 252,28571;222329,143; 125,142857
2021-04-15;278495; 321; 266; 82,86604; 55;17,133956; 157;103; 144;13363; 260,28571;220136,429; 131,285714
2021-04-16;221885; 248; 199; 80,24194; 49;19,758065; 110; 87; 135;10593; 261,57143;221024,857; 131,285714
2021-04-17; 85558; 160; 131; 81,87500; 29;18,125000;  93; 38;  97; 4663; 267,14286;225762,714; 134,714286
2021-04-18;164862; 271; 247; 91,14391; 24; 8,856089; 155; 89; 152; 7942; 272,14286;235274,714; 135,571429
2021-04-19;312505; 321; 276; 85,98131; 45;14,018692; 151;122; 166;12090; 264,42857;248708,714; 129,428571
2021-04-20;283010; 298; 262; 87,91946; 36;12,080537; 147;110; 144;11773; 263,14286;264032,286; 129,428571
2021-04-21;300608; 286; 257; 89,86014; 29;10,139860; 136;119; 150;14044; 268,85714;277985,714; 129,000000
2021-04-22;372533; 267; 239; 89,51311; 28;10,486891; 114;123; 123;16167; 261,28571;286388,286; 122,857143
2021-04-23;329150; 239; 211; 88,28452; 28;11,715481; 110; 99; 113;13701; 271,42857;299889,857; 127,000000
2021-04-24;183232; 200; 168; 84,00000; 32;16,000000;  90; 77; 118; 8810; 275,85714;305881,000; 130,857143
2021-04-25;223680; 218; 196; 89,90826; 22;10,091743; 112; 83; 159;10431; 280,57143;309706,143; 136,285714
2021-04-26;407016; 392; 366; 93,36735; 26; 6,632653; 180;182; 205;16226; 297,85714;321152,429; 149,285714
2021-04-27;324948; 329; 304; 92,40122; 25; 7,598784; 174;127; 216;14990; 301,42857;310017,714; 151,142857
2021-04-28;327384; 319; 288; 90,28213; 31; 9,717868; 174;112; 194;15853; 307,42857;313299,000; 157,142857
2021-04-29;452657; 388; 345; 88,91753; 43;11,082474; 205;135; 223;20198; 315,00000;317963,571; 165,142857
2021-04-30;251207; 264; 231; 87,50000; 33;12,500000; 123;104; 154;12014; 311,57143;317794,143; 170,714286
2021-05-01;206201; 242; 215; 88,84298; 27;11,157025; 132; 80; 171;10764; 318,14286;317386,714; 180,571429
2021-05-02;256332; 271; 245; 90,40590; 26; 9,594096; 168; 71; 266;13119; 322,14286;322823,857; 184,571429
2021-05-03;405830; 368; 339; 92,11957; 29; 7,880435; 219;113; 307;18789; 317,42857;329131,857; 184,285714
2021-05-04;322096; 375; 348; 92,80000; 27; 7,200000; 243; 99; 299;16469; 335,42857;357698,000; 194,000000
2021-05-05;365444; 347; 317; 91,35447; 30; 8,645533; 202;108; 271;19995; 339,00000;366652,571; 198,000000
2021-05-06;496813; 355; 326; 91,83099; 29; 8,169014; 203;119; 265;24189; 344,57143;373123,429; 198,285714
2021-05-07;451170; 390; 356; 91,28205; 34; 8,717949; 191;156; 223;21724; 361,00000;392807,143; 207,714286
2021-05-08;268883; 267; 248; 92,88390; 19; 7,116105; 160; 83; 186;15446; 378,71429;409216,714; 216,571429
2021-05-09;301628; 310; 278; 89,67742; 32;10,322581; 170;105; 300;17829; 404,85714;424226,286; 231,714286
2021-05-10;543616; 483; 453; 93,78882; 30; 6,211180; 285;162; 432;30390; 411,28571;400005,000; 232,571429
2021-05-11;436963; 499; 453; 90,78156; 46; 9,218437; 305;141; 337;26610; 413,57143;387114,286; 236,571429
2021-05-12;470511; 530; 492; 92,83019; 38; 7,169811; 308;175; 283;27920; 425,57143;390391,000; 240,428571
2021-05-13;327264; 400; 363; 90,75000; 37; 9,250000; 209;147; 189;17197; 441,85714;395853,286; 253,571429
2021-05-14;360935; 406; 371; 91,37931; 35; 8,620690; 219;148; 244;18771; 445,00000;396572,429; 253,285714
2021-05-15;291820; 351; 305; 86,89459; 46;13,105413; 187;115; 233;18252; 436,57143;396616,714; 246,285714
2021-05-16;339864; 424; 383; 90,33019; 41; 9,669811; 262;115; 276;19941; 418,85714;391401,857; 237,428571
2021-05-17;548650; 505; 473; 93,66337; 32; 6,336634; 283;178; 414;27279; 433,28571;421547,714; 247,571429
2021-05-18;437273; 440; 410; 93,18182; 30; 6,818182; 256;146; 336;22904; 435,85714;443903,000; 247,285714
2021-05-19;434007; 406; 365; 89,90148; 41;10,098522; 246;111; 290;25076; 431,00000;443950,714; 247,428571
2021-05-20;538285; 501; 455; 90,81836; 46; 9,181637; 280;170; 279;26775; 408,28571;434968,143; 234,000000
2021-05-21;517422; 424; 392; 92,45283; 32; 7,547170; 217;167; 246;24316; 386,28571;409056,000; 221,714286
2021-05-22;292154; 317; 297; 93,69085; 20; 6,309148; 188;106; 189;14808; 396,57143;424276,286; 228,428571
2021-05-23;276986; 265; 251; 94,71698; 14; 5,283019; 168; 80; 231;17026; 402,00000;418749,000; 229,571429
2021-05-24;367265; 351; 318; 90,59829; 33; 9,401709; 197;113; 356;21091; 401,42857;417067,429; 227,142857
2021-05-25;543815; 512; 477; 93,16406; 35; 6,835938; 303;169; 456;27770; 404,00000;420273,143; 228,571429
2021-05-26;395316; 444; 415; 93,46847; 29; 6,531532; 254;157; 358;23189; 405,14286;413688,857; 228,714286
2021-05-27;526514; 497; 460; 92,55533; 37; 7,444668; 263;192; 264;24550; 419,28571;415137,714; 238,428571
2021-05-28;539862; 442; 406; 91,85520; 36; 8,144796; 227;173; 303;22521; 444,00000;437827,000; 252,857143
2021-05-29;246064; 325; 291; 89,53846; 34;10,461538; 189; 98; 230;13353; 430,28571;418142,000; 245,857143
2021-05-30;287128; 364; 336; 92,30769; 28; 7,692308; 236; 94; 286;15843; 425,57143;416253,714; 243,714286
2021-05-31;526090; 524; 489; 93,32061; 35; 6,679389; 298;179; 399;24846; 413,28571;412245,857; 240,142857
2021-06-01;406020; 416; 381; 91,58654; 35; 8,413462; 254;122; 313;21755; 408,00000;403333,857; 237,428571
2021-06-02;382098; 411; 378; 91,97080; 33; 8,029197; 239;132; 240;22049; 400,71429;401731,429; 232,428571
2021-06-03;498459; 411; 372; 90,51095; 39; 9,489051; 238;130; 183;22076; 391,00000;399289,000; 225,000000
2021-06-04;477478; 405; 370; 91,35802; 35; 8,641975; 208;153; 190;18931; 367,00000;392546,857; 208,428571
2021-06-05;234847; 274; 244; 89,05109; 30;10,948905; 154; 87; 137;11602; 349,28571;387699,286; 193,428571
2021-06-06;270031; 296; 276; 93,24324; 20; 6,756757; 184; 88; 143;13368; 332,00000;381649,143; 179,857143
2021-06-07;478895; 356; 324; 91,01124; 32; 8,988764; 182;137; 174;18579; 310,00000;374612,286; 161,571429
2021-06-08;372087; 292; 265; 90,75342; 27; 9,246575; 149;114; 148;16137; 289,00000;369521,571; 147,000000
2021-06-09;339747; 290; 266; 91,72414; 24; 8,275862; 144;119;  94;15060; 270,14286;368405,429; 133,571429
2021-06-10;449201; 257; 233; 90,66148; 24; 9,338521; 110;117;  84;14481; 250,28571;363999,714; 118,000000
2021-06-11;441843; 258; 220; 85,27132; 38;14,728682; 106;113;  78;13378; 232,28571;355627,571; 106,714286
2021-06-12;227034; 142; 129; 90,84507; 13; 9,154930;  60; 69;  34; 8164; 218,00000;350772,429;  97,428571
2021-06-13;239191; 157; 146; 92,99363; 11; 7,006369;  75; 69;  61; 9208; 205,00000;346683,429;  87,714286
2021-06-14;420290; 230; 211; 91,73913; 19; 8,260870; 103;106;  89;13249; 189,71429;336704,857;  81,142857
2021-06-15;338101; 192; 178; 92,70833; 14; 7,291667;  84; 92;  88;11658; 176,57143;326378,857;  75,142857
2021-06-16;311124; 199; 177; 88,94472; 22;11,055276;  76;100;  71;11097; 173,14286;321920,857;  74,428571
2021-06-17;379351; 150; 131; 87,33333; 19;12,666667;  64; 66;  51;10855; 171,42857;321761,571;  72,428571
2021-06-18;369561; 166; 155; 93,37349; 11; 6,626506;  64; 90;  49;10611; 163,85714;320281,000;  68,285714
2021-06-19;195828; 118; 105; 88,98305; 13;11,016949;  55; 47;  47; 6652; 159,14286;312766,000;  64,571429
2021-06-20;238076; 145; 135; 93,10345; 10; 6,896552;  61; 73;  53; 7958; 138,85714;280990,714;  56,857143
2021-06-21;409926; 177; 165; 93,22034; 12; 6,779661;  74; 88;  75;12423; 139,57143;276335,714;  59,000000
2021-06-22;285496; 159; 148; 93,08176; 11; 6,918239;  58; 89;  57;10988; 135,28571;270537,857;  56,857143
2021-06-23; 88697;  57;  55; 96,49123;  2; 3,508772;  22; 32;  21; 4437; 132,71429;269401,571;  56,000000
2021-06-24;346766; 155; 149; 96,12903;  6; 3,870968;  79; 68;  70;13462; 126,71429;260804,000;  54,428571
2021-06-25;328976; 136; 115; 84,55882; 21;15,441176;  49; 63;  49;11892; 124,57143;236372,286;  57,285714
2021-06-26;187874; 100;  91; 91,00000;  9; 9,000000;  49; 41;  66; 8318; 128,28571;223654,571;  66,000000
2021-06-27;177893; 103;  97; 94,17476;  6; 5,825243;  50; 47;  75; 8610; 149,71429;241389,571;  83,428571
2021-06-28;238904; 162; 151; 93,20988; 11; 6,790123;  94; 56; 172;12344; 152,42857;225491,143;  88,142857
2021-06-29;196472; 185; 176; 95,13514;  9; 4,864865; 119; 56; 209;14265; 163,57143;214762,714;  99,714286
2021-06-30;212842; 207; 196; 94,68599; 11; 5,314010; 144; 51; 142;17082; 176,14286;214051,286; 110,000000
2021-07-01;235477; 174; 162; 93,10345; 12; 6,896552; 112; 50; 104;16348; 184,57143;210161,714; 117,571429
2021-07-02;253877; 214; 193; 90,18692; 21; 9,813084; 130; 59; 134;16199; 192,00000;204309,143; 122,714286
2021-07-03;182894; 188; 167; 88,82979; 21;11,170213; 121; 43; 132;13537; 199,71429;201723,286; 130,714286
2021-07-04;150666; 162; 148; 91,35802; 14; 8,641975; 103; 44; 149;12836; 209,57143;198360,143; 138,428571
2021-07-05;197936; 214; 191; 89,25234; 23;10,747664; 130; 58; 222;15310; 217,85714;188871,000; 146,428571
2021-07-06;178371; 239; 217; 90,79498; 22; 9,205021; 175; 37; 261;15340; 229,42857;182706,857; 157,142857
2021-07-07;189300; 276; 249; 90,21739; 27; 9,782609; 198; 47; 189;17646; 245,14286;180354,286; 172,142857
2021-07-08;169053; 232; 208; 89,65517; 24;10,344828; 168; 38; 184;15718; 274,42857;178186,857; 201,428571
2021-07-09;210728; 295; 270; 91,52542; 25; 8,474576; 205; 61; 232;16484; 309,28571;172776,143; 238,285714
2021-07-10;166426; 298; 269; 90,26846; 29; 9,731544; 226; 36; 321;13174; 346,00000;167668,286; 269,000000
2021-07-11;135494; 367; 338; 92,09809; 29; 7,901907; 308; 28; 302;12444; 370,57143;159648,286; 293,571429
2021-07-12;160061; 458; 427; 93,23144; 31; 6,768559; 388; 35; 359;14243; 398,57143;156579,429; 319,571429
2021-07-13;142616; 496; 448; 90,32258; 48; 9,677419; 390; 48; 390;14215; 414,57143;150837,571; 334,714286
2021-07-14;133160; 448; 413; 92,18750; 35; 7,812500; 370; 36; 273;13984; 421,00000;146544,143; 340,571429
2021-07-15;147571; 428; 390; 91,12150; 38; 8,878505; 350; 37; 191;14404; 412,71429;146147,000; 329,285714
2021-07-16;170535; 407; 357; 87,71499; 50;12,285012; 311; 38; 159;14407; 402,00000;144906,429; 315,857143
2021-07-17;136372; 343; 306; 89,21283; 37;10,787172; 267; 33; 151;11802; 378,85714;144522,571; 296,428571
2021-07-18;132714; 309; 274; 88,67314; 35;11,326861; 229; 38; 166;11817; 357,42857;144280,857; 273,857143
2021-07-19;151377; 383; 349; 91,12272; 34; 8,877285; 294; 44; 247;12160; 336,85714;142231,571; 253,428571
2021-07-20;139929; 334; 301; 90,11976; 33; 9,880240; 254; 36; 177;10481; 326,85714;139014,286; 245,142857
2021-07-21;131468; 298; 256; 85,90604; 42;14,093960; 212; 43; 182;10350; 321,00000;135806,714; 238,000000
2021-07-22;133226; 284; 239; 84,15493; 45;15,845070; 207; 24; 150; 9805; 327,28571;132807,714; 247,285714
2021-07-23;148014; 337; 291; 86,35015; 46;13,649852; 253; 30; 165;10235; 334,71429;129350,857; 254,428571
2021-07-24;113919; 302; 264; 87,41722; 38;12,582781; 217; 36; 168; 8301; 347,00000;125025,000; 265,428571
2021-07-25;111721; 353; 327; 92,63456; 26; 7,365439; 294; 27; 207; 9951; 360,57143;121838,714; 282,142857
2021-07-26;127179; 435; 395; 90,80460; 40; 9,195402; 344; 38; 312;10334; 374,00000;119502,286; 295,428571
2021-07-27;109648; 420; 375; 89,28571; 45;10,714286; 331; 36; 240; 9025; 377,00000;117905,429; 299,000000
2021-07-28;109164; 393; 361; 91,85751; 32; 8,142494; 329; 23; 205; 8982; 378,71429;117544,571; 300,428571
2021-07-29;116871; 378; 337; 89,15344; 41;10,846561; 300; 33; 177; 8666; 379,57143;114928,143; 297,857143
2021-07-30;136836; 358; 321; 89,66480; 37;10,335196; 278; 36; 158; 8813; 370,71429;110184,571; 288,000000
2021-07-31;111393; 314; 272; 86,62420; 42;13,375796; 227; 32; 181; 7424; 361,00000;105898,286; 281,000000
2021-08-01; 93406; 359; 315; 87,74373; 44;12,256267; 276; 34; 193; 7375; 358,85714;101084,857; 274,142857
2021-08-02; 93974; 373; 315; 84,45040; 58;15,549598; 275; 36; 237; 7208; 361,71429; 96372,000; 274,285714
2021-08-03; 79644; 352; 317; 90,05682; 35; 9,943182; 282; 24; 185; 6661; 372,28571; 92491,857; 282,571429
2021-08-04; 75470; 378; 330; 87,30159; 48;12,698413; 281; 32; 208; 6923; 377,00000; 89839,429; 288,285714
2021-08-05; 83881; 398; 339; 85,17588; 59;14,824121; 301; 33; 155; 6893; 390,28571; 90164,714; 298,714286
2021-08-06;109675; 432; 377; 87,26852; 55;12,731481; 336; 34; 158; 7578; 396,85714; 88098,571; 305,428571
2021-08-07; 92826; 347; 299; 86,16715; 48;13,832853; 267; 28; 163; 6514; 399,85714; 88213,714; 305,571429
2021-08-08; 95683; 452; 394; 87,16814; 58;12,831858; 349; 33; 225; 6543; 398,00000; 87932,571; 305,714286
2021-08-09; 79511; 419; 361; 86,15752; 58;13,842482; 322; 31; 177; 6491; 398,57143; 88989,143; 307,714286
2021-08-10; 80450; 373; 327; 87,66756; 46;12,332440; 283; 37; 213; 6093; 393,28571; 89215,571; 302,428571
2021-08-11; 73502; 365; 315; 86,30137; 50;13,698630; 282; 29; 176; 6393; 385,42857; 86509,429; 295,142857
2021-08-12; 91277; 402; 348; 86,56716; 54;13,432836; 315; 29; 168; 7367; 372,14286; 81774,571; 284,857143
