Week;Variable;0-2;3-6;7-12;13-19;20-39;40-64;65-79;80+
37;Tested;3000;3000;6000;8000;7000;5500;3000;2500
38;Tested;3000;3000;5500;9000;7500;6000;3500;3000
39;Tested;3000;3000;4500;8000;7500;6000;3500;3000
40;Tested;2500;2500;4000;7000;6500;5000;3000;3000
41;Tested;2200;3000;4000;6000;6000;5000;3000;3000
42;Tested;2000;2000;2500;4500;5000;4000;3000;2500
43;Tested;2200;2500;4000;7000;7000;6000;4000;3000
44;Tested;3500;5000;7000;10500;8000;7500;4500;4000
45;Tested;4000;5000;7500;10000;8000;8000;5000;4500
46;Tested;3500;5500;8000;10000;8000;8000;6000;5000
47;Tested;3500;5500;8000;11000;8000;8000;5500;5500
48;Tested;3000;5500;8000;11000;8000;8000;5000;5500
49;Tested;3500;5500;8000;13000;9000;8000;5000;5000
50;Tested;4500;7000;11500;15000;13000;11500;6000;5000
51;Tested;6500;11500;13000;16000;18000;14000;7500;7000
52;Tested;4000;8000;9000;11000;12500;12000;6000;5500
53;Tested;2000;4000;5000;10000;11500;9000;5000;6000
1;Tested;2000;4000;4000;9500;11000;11000;6500;6500
2;Tested;2500;4000;4000;7000;10500;14000;7000;6500
3;Tested;2500;4500;4000;8000;13000;18000;7500;6500
4;Tested;2500;4000;4000;8500;13500;18500;7500;6000
5;Tested;2000;4000;5000;9000;14000;19000;7500;5500
37;Positive;20;20;50;80;60;50;20;20
38;Positive;20;30;50;90;80;60;20;30
39;Positive;20;40;70;110;90;70;20;40
40;Positive;20;40;60;90;70;60;20;20
41;Positive;20;20;40;80;70;60;20;30
42;Positive;20;30;40;80;80;60;30;40
43;Positive;40;50;90;190;140;100;60;40
44;Positive;50;70;140;230;180;130;70;50
45;Positive;80;100;160;200;170;130;70;50
46;Positive;70;80;150;210;170;140;70;60
47;Positive;70;90;170;260;180;150;80;90
48;Positive;50;90;170;280;190;160;80;90
49;Positive;60;120;240;440;290;220;100;100
50;Positive;140;190;400;630;520;380;160;180
51;Positive;190;290;450;620;540;420;220;260
52;Positive;180;260;320;340;350;300;180;260
53;Positive;120;180;200;290;310;260;190;310
1;Positive;120;130;160;220;250;200;120;260
2;Positive;80;100;100;110;140;130;80;200
3;Positive;60;80;80;80;110;110;60;120
4;Positive;50;60;50;60;80;80;50;80
5;Positive;50;50;40;60;80;70;50;60
