Year;Week;Alpha;Delta
2020;46;0,30;0,00
2020;47;0,20;0,00
2020;48;0,30;0,00
2020;49;0,40;0,00
2020;50;0,40;0,00
2020;51;0,70;0,00
2020;52;1,80;0,00
2020;53;2,00;0,00
2021;1;3,80;0,00
2021;2;7,00;0,00
2021;3;12,80;0,00
2021;4;19,50;0,00
2021;5;29,70;0,00
2021;6;47,10;0,00
2021;7;65,80;0,00
2021;8;76,10;0,00
2021;9;85,20;0,00
2021;10;92,50;0,00
2021;11;90,50;0,00
2021;12;92,70;0,00
2021;13;95,00;0,10
2021;14;96,50;0,10
2021;15;97,00;0,10
2021;16;98,00;0,40
2021;17;99,00;0,40
2021;18;99,70;0,30
2021;19;99,50;0,50
2021;20;99,80;0,20
2021;21;99,70;0,30
2021;22;99,20;0,80
2021;23;97,30;2,70
2021;24;93,20;6,80
2021;25;70,00;30,00
2021;26;35,30;64,70
2021;27;18,00;82,00
2021;28;6,50;93,50
2021;29;3,40;96,60
2021;30;1,10;98,90
2021;31;0,80;99,20
2021;32;0,40;99,60
2021;33;0,20;99,80
2021;34;0,10;99,90
2021;35;0,00;100,00
2021;36;0,10;99,90
2021;37;0,10;99,90
2021;38;0,00;100,00
2021;39;0,00;100,00
2021;40;0,00;100,00
2021;41;0,00;100,00
2021;42;0,00;100,00
2021;43;0,00;100,00
2021;44;0,00;100,00
2021;45;0,00;100,00
2021;46;0,00;100,00
;;;
;;;
;;;
;;;
;;;
