Date;name;daily;ra
2020-02-15;Positive;0,00000000000000e+00;NA
2020-02-15;Tested;0,00000000000000e+00;NA
2020-02-15;Percent;NA;NA
2020-02-15;Index;NA;NA
2020-02-15;Admitted;NA;NA
2020-02-15;Deaths;NA;NA
2020-02-16;Positive;0,00000000000000e+00;NA
2020-02-16;Tested;0,00000000000000e+00;NA
2020-02-16;Percent;NA;NA
2020-02-16;Index;NA;NA
2020-02-16;Admitted;NA;NA
2020-02-16;Deaths;NA;NA
2020-02-17;Positive;0,00000000000000e+00;NA
2020-02-17;Tested;1,00000000000000e+00;NA
2020-02-17;Percent;0,00000000000000e+00;NA
2020-02-17;Index;0,00000000000000e+00;NA
2020-02-17;Admitted;NA;NA
2020-02-17;Deaths;NA;NA
2020-02-18;Positive;0,00000000000000e+00;0,00000000000000e+00
2020-02-18;Tested;2,00000000000000e+00;8,57142857142857e-01
2020-02-18;Percent;0,00000000000000e+00;NA
2020-02-18;Index;0,00000000000000e+00;NA
2020-02-18;Admitted;NA;NA
2020-02-18;Deaths;NA;NA
2020-02-19;Positive;0,00000000000000e+00;0,00000000000000e+00
2020-02-19;Tested;2,00000000000000e+00;1,00000000000000e+00
2020-02-19;Percent;0,00000000000000e+00;NA
2020-02-19;Index;0,00000000000000e+00;NA
2020-02-19;Admitted;NA;NA
2020-02-19;Deaths;NA;NA
2020-02-20;Positive;0,00000000000000e+00;0,00000000000000e+00
2020-02-20;Tested;1,00000000000000e+00;1,00000000000000e+00
2020-02-20;Percent;0,00000000000000e+00;NA
2020-02-20;Index;0,00000000000000e+00;NA
2020-02-20;Admitted;NA;NA
2020-02-20;Deaths;NA;NA
2020-02-21;Positive;0,00000000000000e+00;0,00000000000000e+00
2020-02-21;Tested;0,00000000000000e+00;8,57142857142857e-01
2020-02-21;Percent;NA;NA
2020-02-21;Index;NA;NA
2020-02-21;Admitted;NA;NA
2020-02-21;Deaths;NA;NA
2020-02-22;Positive;0,00000000000000e+00;0,00000000000000e+00
2020-02-22;Tested;1,00000000000000e+00;2,00000000000000e+00
2020-02-22;Percent;0,00000000000000e+00;NA
2020-02-22;Index;0,00000000000000e+00;NA
2020-02-22;Admitted;NA;NA
2020-02-22;Deaths;NA;NA
2020-02-23;Positive;0,00000000000000e+00;1,42857142857143e-01
2020-02-23;Tested;0,00000000000000e+00;6,00000000000000e+00
2020-02-23;Percent;NA;NA
2020-02-23;Index;NA;NA
2020-02-23;Admitted;NA;NA
2020-02-23;Deaths;NA;NA
2020-02-24;Positive;0,00000000000000e+00;2,85714285714286e-01
2020-02-24;Tested;0,00000000000000e+00;2,14285714285714e+01
2020-02-24;Percent;NA;NA
2020-02-24;Index;NA;NA
2020-02-24;Admitted;NA;NA
2020-02-24;Deaths;NA;NA
2020-02-25;Positive;0,00000000000000e+00;4,28571428571429e-01
2020-02-25;Tested;1,00000000000000e+01;3,02857142857143e+01
2020-02-25;Percent;0,00000000000000e+00;NA
2020-02-25;Index;0,00000000000000e+00;NA
2020-02-25;Admitted;NA;NA
2020-02-25;Deaths;NA;NA
2020-02-26;Positive;1,00000000000000e+00;4,28571428571429e-01
2020-02-26;Tested;3,00000000000000e+01;4,05714285714286e+01
2020-02-26;Percent;3,33333333333333e+00;NA
2020-02-26;Index;9,24730371557394e-02;NA
2020-02-26;Admitted;NA;NA
2020-02-26;Deaths;NA;NA
2020-02-27;Positive;1,00000000000000e+00;5,71428571428571e-01
2020-02-27;Tested;1,09000000000000e+02;4,74285714285714e+01
2020-02-27;Percent;9,17431192660551e-01;NA
2020-02-27;Index;3,74801613161979e-02;NA
2020-02-27;Admitted;NA;NA
2020-02-27;Deaths;NA;NA
2020-02-28;Positive;1,00000000000000e+00;1,14285714285714e+00
2020-02-28;Tested;6,20000000000000e+01;5,88571428571429e+01
