Date;pct
22-11-2021;0
23-11-2021;0
24-11-2021;0
25-11-2021;0.1
26-11-2021;0.2
27-11-2021;0.1
28-11-2021;0.3
29-11-2021;0.2
30-11-2021;0.5
01-12-2021;1.6
02-12-2021;1.3
03-12-2021;1.4
04-12-2021;1.9
05-12-2021;3.5
06-12-2021;5.1
07-12-2021;7.7
08-12-2021;10.7
09-12-2021;11.7
10-12-2021;13.2
11-12-2021;17.3
12-12-2021;23.3
13-12-2021;29.6
14-12-2021;39.7
15-12-2021;47.2
16-12-2021;47.7
17-12-2021;53.7
18-12-2021;57.1
19-12-2021;63.0
20-12-2021;64.1
21-12-2021;76.4
22-12-2021;78.9
23-12-2021;79.4
24-12-2021;83.8
25-12-2021;78.8
26-12-2021;86.6
27-12-2021;89.3
28-12-2021;90.1
29-12-2021;92.3
30-12-2021;90.6
31-12-2021;91.9
01-01-2022;94.4
