Dato;Antal_nyindlagte
2020-02-25; 0
2020-02-26; 0
2020-02-27; 0
2020-02-28; 0
2020-02-29; 0
2020-03-01; 1
2020-03-02; 0
2020-03-03; 1
2020-03-04; 0
2020-03-05; 1
2020-03-06; 4
2020-03-07; 0
2020-03-08; 3
2020-03-09; 9
2020-03-10;15
2020-03-11;10
2020-03-12;18
2020-03-13;25
2020-03-14;24
2020-03-15;33
2020-03-16;45
2020-03-17;47
2020-03-18;46
2020-03-19;51
2020-03-20;63
2020-03-21;33
2020-03-22;40
2020-03-23;82
2020-03-24;76
2020-03-25;91
2020-03-26;83
2020-03-27;86
2020-03-28;84
2020-03-29;50
2020-03-30;71
2020-03-31;51
2020-04-01;58
2020-04-02;51
2020-04-03;56
2020-04-04;37
2020-04-05;32
2020-04-06;45
2020-04-07;41
2020-04-08;24
2020-04-09;32
2020-04-10;28
2020-04-11;26
2020-04-12;23
2020-04-13;26
2020-04-14;35
2020-04-15;26
2020-04-16;29
2020-04-17;22
2020-04-18;21
2020-04-19;31
2020-04-20;28
2020-04-21;33
2020-04-22;23
2020-04-23;26
2020-04-24;19
2020-04-25;25
2020-04-26;22
2020-04-27;19
2020-04-28;12
2020-04-29;14
2020-04-30;12
2020-05-01;14
2020-05-02;20
2020-05-03;13
2020-05-04;10
2020-05-05;10
2020-05-06; 2
2020-05-07; 1
