Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     146 (51);     142 (49);     288
10-19;     302 (55);     247 (45);     549
20-29;   1.017 (62);     622 (38);   1.639
30-39;   1.031 (61);     662 (39);   1.693
40-49;   1.239 (60);     822 (40);   2.061
50-59;   1.279 (60);     855 (40);   2.134
60-69;     680 (50);     684 (50);   1.364
70-79;     451 (45);     545 (55);     996
80-89;     452 (57);     342 (43);     794
90+;     182 (72);      71 (28);     253
I alt;   6.779 (58);   4.992 (42);  11.771
