Dato;Hovedstaden;Syddanmark;Midtjylland;Nordjylland;Total
2020-03-01; 1; 0; 0; 0; 1
2020-03-02; 0; 0; 0; 0; 0
2020-03-03; 1; 0; 0; 0; 1
2020-03-04; 0; 0; 0; 0; 0
2020-03-05; 1; 0; 0; 0; 1
2020-03-06; 3; 0; 0; 0; 3
2020-03-07; 0; 0; 0; 0; 0
2020-03-08; 3; 0; 0; 0; 3
2020-03-09; 3; 0; 0; 0; 3
2020-03-10; 6; 1; 3; 0;10
2020-03-11; 4; 2; 0; 0; 6
2020-03-12; 3; 1; 7; 1;12
2020-03-13;13; 3; 7; 1;24
2020-03-14; 9; 3; 3; 3;18
2020-03-15;18; 3; 4; 3;28
2020-03-16;23; 5; 3; 2;33
2020-03-17;25; 5; 6; 3;39
2020-03-18;21; 5; 4; 4;34
2020-03-19;29; 6; 4; 5;44
2020-03-20;33;10; 4; 2;49
2020-03-21;14; 4; 3; 2;23
2020-03-22;22; 3; 6; 3;34
2020-03-23;43;10;15; 5;73
2020-03-24;31;13;12; 6;62
2020-03-25;42;13;15; 6;76
2020-03-26;42;11;11; 7;71
2020-03-27;38;18;12; 5;73
2020-03-28;31;16;10; 5;62
2020-03-29;25; 8; 4; 4;41
2020-03-30;39; 4;12; 1;56
2020-03-31;28; 4; 9; 2;43
2020-04-01;29;12; 6; 4;51
2020-04-02;39; 7;10; 5;61
2020-04-03;33; 8;11;12;64
2020-04-04;27; 0; 7; 3;37
2020-04-05;23; 4; 2; 1;30
2020-04-06;28; 8; 4; 1;41
2020-04-07;36; 6; 6; 0;48
2020-04-08;14; 5; 3; 1;23
2020-04-09;18; 1; 8; 0;27
2020-04-10;16; 1; 6; 3;26
2020-04-11;17; 5; 3; 1;26
2020-04-12;13; 3; 4; 2;22
2020-04-13;18; 1; 4; 0;23
2020-04-14;23; 3;10; 1;37
2020-04-15;12; 1; 5; 1;19
2020-04-16;17; 1; 9; 0;27
2020-04-17;13; 2; 2; 0;17
2020-04-18;15; 1; 2; 0;18
2020-04-19;20; 0; 4; 0;24
2020-04-20;16; 2; 4; 0;22
2020-04-21;18; 2; 5; 0;25
2020-04-22;14; 3; 2; 0;19
2020-04-23;16; 1; 4; 0;21
2020-04-24; 9; 1; 2; 1;13
2020-04-25;18; 0; 1; 1;20
2020-04-26;20; 1; 3; 0;24
2020-04-27; 8; 0; 2; 0;10
2020-04-28;12; 1; 0; 0;13
2020-04-29; 9; 0; 1; 1;11
2020-04-30;10; 0; 1; 0;11
2020-05-01; 9; 1; 1; 0;11
2020-05-02;14; 0; 5; 0;19
2020-05-03;13; 0; 0; 0;13
2020-05-04; 8; 0; 3; 0;11
2020-05-05; 8; 0; 0; 0; 8
2020-05-06; 4; 0; 0; 0; 4
2020-05-07;11; 0; 0; 0;11
2020-05-08; 6; 1; 0; 0; 7
2020-05-09; 4; 0; 3; 0; 7
2020-05-10; 7; 1; 0; 0; 8
2020-05-11; 6; 1; 0; 0; 7
2020-05-12; 6; 0; 2; 0; 8
2020-05-13; 4; 0; 0; 0; 4
2020-05-14; 9; 2; 0; 0;11
2020-05-15; 5; 4; 0; 1;10
2020-05-16; 1; 2; 1; 0; 4
2020-05-17; 2; 0; 2; 0; 4
2020-05-18; 9; 2; 1; 0;12
2020-05-19; 4; 0; 1; 0; 5
2020-05-20; 2; 0; 2; 0; 4
2020-05-21; 3; 0; 0; 0; 3
2020-05-22; 9; 0; 2; 0;11
2020-05-23; 5; 0; 1; 0; 6
2020-05-24; 1; 0; 0; 0; 1
2020-05-25; 4; 2; 0; 0; 6
2020-05-26; 7; 3; 0; 1;11
2020-05-27; 5; 0; 0; 0; 5
2020-05-28; 5; 0; 0; 0; 5
2020-05-29; 8; 0; 0; 0; 8
2020-05-30; 5; 0; 1; 0; 6
2020-05-31; 3; 1; 0; 0; 4
2020-06-01; 3; 1; 1; 0; 5
2020-06-02; 4; 0; 0; 0; 4
2020-06-03; 1; 0; 0; 0; 1
2020-06-04; 2; 1; 0; 0; 3
2020-06-05; 7; 1; 0; 0; 8
2020-06-06; 2; 0; 0; 0; 2
2020-06-07; 3; 1; 0; 0; 4
2020-06-08; 3; 0; 0; 0; 3
2020-06-09; 0; 0; 0; 0; 0
2020-06-10; 0; 0; 0; 1; 1
2020-06-11; 0; 0; 0; 1; 1
2020-06-12; 3; 0; 0; 1; 4
2020-06-13; 3; 0; 0; 0; 3
2020-06-14; 1; 0; 0; 0; 1
2020-06-15; 1; 0; 0; 0; 1
2020-06-16; 2; 0; 0; 1; 3
2020-06-17; 2; 1; 0; 1; 4
2020-06-18; 1; 0; 0; 1; 2
2020-06-19; 2; 0; 0; 0; 2
2020-06-20; 1; 0; 0; 2; 3
2020-06-21; 2; 0; 1; 1; 4
2020-06-22; 2; 0; 0; 2; 4
2020-06-23; 1; 0; 2; 1; 4
2020-06-24; 3; 0; 0; 1; 4
2020-06-25; 3; 0; 0; 1; 4
2020-06-26; 1; 0; 0; 0; 1
2020-06-27; 1; 0; 1; 1; 3
2020-06-28; 1; 0; 0; 4; 5
2020-06-29; 0; 0; 0; 2; 2
2020-06-30; 0; 0; 0; 0; 0
2020-07-01; 1; 0; 0; 0; 1
