Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Total
2020-03-01; 1; 0; 0; 0; 0; 1
2020-03-02; 0; 0; 0; 0; 0; 0
2020-03-03; 1; 0; 0; 0; 0; 1
2020-03-04; 0; 0; 0; 0; 0; 0
2020-03-05; 1; 0; 0; 0; 0; 1
2020-03-06; 3; 1; 0; 0; 0; 4
2020-03-07; 0; 0; 0; 0; 0; 0
2020-03-08; 3; 0; 0; 0; 0; 3
2020-03-09; 3; 6; 0; 0; 0; 9
2020-03-10; 6; 5; 1; 3; 0;15
2020-03-11; 4; 4; 2; 0; 0;10
2020-03-12; 3; 6; 1; 7; 1;18
2020-03-13;13; 2; 3; 7; 1;26
2020-03-14; 9; 6; 3; 3; 3;24
2020-03-15;18; 5; 3; 4; 3;33
2020-03-16;23;12; 5; 3; 2;45
2020-03-17;25; 8; 5; 6; 3;47
2020-03-18;21;13; 5; 4; 4;47
2020-03-19;29; 6; 6; 4; 5;50
2020-03-20;33;14;10; 4; 2;63
2020-03-21;14;10; 4; 3; 2;33
2020-03-22;22; 7; 3; 6; 3;41
2020-03-23;43;11;10;15; 5;84
2020-03-24;32; 9;13;12; 6;72
2020-03-25;42;19;13;15; 6;95
2020-03-26;42;12;11;11; 7;83
2020-03-27;38;16;18;12; 5;89
2020-03-28;31;20;16;10; 5;82
2020-03-29;25; 9; 9; 4; 4;51
2020-03-30;39;13; 4;12; 1;69
2020-03-31;28; 8; 4; 9; 2;51
2020-04-01;29; 7;12; 6; 4;58
2020-04-02;39;13; 7;10; 5;74
2020-04-03;33; 8; 8;11;12;72
2020-04-04;27; 7; 0; 7; 3;44
2020-04-05;23; 5; 4; 2; 1;35
2020-04-06;28;10; 7; 4; 1;50
2020-04-07;36; 8; 6; 6; 0;56
2020-04-08;14; 5; 5; 3; 1;28
2020-04-09;18; 7; 1; 8; 0;34
2020-04-10;16; 7; 1; 6; 3;33
2020-04-11;17; 5; 5; 3; 1;31
2020-04-12;13; 5; 3; 4; 2;27
2020-04-13;18; 7; 1; 4; 0;30
2020-04-14;23; 8; 3;10; 1;45
2020-04-15;12;11; 1; 5; 1;30
2020-04-16;17; 6; 1; 9; 0;33
2020-04-17;13;10; 2; 2; 0;27
2020-04-18;15; 9; 1; 2; 0;27
2020-04-19;20; 9; 0; 4; 0;33
2020-04-20;16;11; 2; 4; 0;33
2020-04-21;18;13; 2; 5; 0;38
2020-04-22;14; 9; 3; 2; 0;28
2020-04-23;16;11; 1; 4; 0;32
2020-04-24; 9;10; 1; 2; 1;23
2020-04-25;18; 7; 0; 1; 1;27
2020-04-26;20; 2; 1; 3; 0;26
2020-04-27; 8;11; 0; 2; 0;21
2020-04-28;12; 2; 1; 0; 0;15
2020-04-29; 9; 4; 0; 1; 1;15
2020-04-30;10; 4; 0; 1; 0;15
2020-05-01; 9; 5; 1; 1; 0;16
2020-05-02;14; 5; 0; 5; 0;24
2020-05-03;13; 3; 0; 0; 0;16
2020-05-04; 8; 3; 0; 3; 0;14
2020-05-05; 8; 8; 0; 0; 0;16
2020-05-06; 4; 2; 0; 0; 0; 6
2020-05-07;11; 4; 0; 0; 0;15
2020-05-08; 6; 2; 1; 0; 0; 9
2020-05-09; 4; 3; 0; 3; 0;10
2020-05-10; 7; 2; 1; 0; 0;10
2020-05-11; 6; 1; 1; 0; 0; 8
2020-05-12; 6; 0; 0; 2; 0; 8
2020-05-13; 4; 2; 0; 0; 0; 6
2020-05-14; 9; 2; 2; 0; 0;13
2020-05-15; 5; 7; 4; 0; 1;17
2020-05-16; 1; 1; 2; 1; 0; 5
2020-05-17; 2; 0; 0; 2; 0; 4
2020-05-18; 9; 2; 2; 1; 0;14
2020-05-19; 4; 2; 0; 1; 0; 7
2020-05-20; 2; 3; 0; 2; 0; 7
2020-05-21; 3; 3; 0; 0; 0; 6
2020-05-22; 9; 2; 0; 2; 0;13
2020-05-23; 5; 3; 0; 1; 0; 9
2020-05-24; 1; 1; 0; 0; 0; 2
2020-05-25; 4; 0; 2; 0; 0; 6
2020-05-26; 7; 0; 3; 0; 1;11
2020-05-27; 5; 2; 0; 0; 0; 7
2020-05-28; 5; 0; 0; 0; 0; 5
2020-05-29; 8; 1; 0; 0; 0; 9
2020-05-30; 5; 1; 0; 1; 0; 7
2020-05-31; 3; 0; 1; 0; 0; 4
2020-06-01; 3; 0; 1; 1; 0; 5
2020-06-02; 4; 2; 0; 0; 0; 6
2020-06-03; 1; 2; 0; 0; 0; 3
2020-06-04; 2; 2; 1; 0; 0; 5
2020-06-05; 7; 1; 1; 0; 0; 9
2020-06-06; 2; 0; 0; 0; 0; 2
2020-06-07; 3; 0; 1; 0; 0; 4
2020-06-08; 3; 1; 0; 0; 0; 4
2020-06-09; 0; 1; 0; 0; 0; 1
