Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4929;8;4;50;4;50;2;2;2;293
2021-02-02;4735;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;4964;10;6;60;4;40;6;0;6;343
2021-02-04;4576;6;3;50;3;50;3;0;5;322
2021-02-05;4441;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2631;10;6;60;4;40;6;0;3;262
2021-02-07;3063;14;7;50;7;50;7;0;6;326
2021-02-08;7125;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6206;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7214;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9306;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9328;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4902;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4853;20;10;50;10;50;7;3;9;435
2021-02-15;17427;48;24;50;24;50;17;7;25;1155
2021-02-16;17211;60;44;73,3333333333333;16;26,6666666666667;33;10;19;1340
2021-02-17;26521;86;53;61,6279069767442;33;38,3720930232558;44;9;20;2014
2021-02-18;30465;52;40;76,9230769230769;12;23,0769230769231;33;4;30;1803
2021-02-19;34601;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;21933;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20531;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;26236;101;75;74,2574257425743;26;25,7425742574258;54;19;27;1899
2021-02-23;30081;100;70;70;30;30;58;10;34;2049
2021-02-24;30235;92;57;61,9565217391304;35;38,0434782608696;43;12;33;2122
2021-02-25;28848;88;53;60,2272727272727;35;39,7727272727273;44;9;20;1635
2021-02-26;36913;113;70;61,9469026548673;43;38,0530973451327;54;16;41;1827
2021-02-27;22858;92;68;73,9130434782609;24;26,0869565217391;58;9;17;1560
2021-02-28;24729;112;83;74,1071428571429;29;25,8928571428572;65;18;29;1974
2021-03-01;36122;95;72;75,7894736842105;23;24,2105263157895;51;19;17;2207
2021-03-02;39051;111;88;79,2792792792793;23;20,7207207207207;61;25;25;2085
2021-03-03;44916;106;74;69,811320754717;32;30,188679245283;37;37;43;3343
2021-03-04;57172;178;147;82,5842696629213;31;17,4157303370787;48;95;31;3612
2021-03-05;65624;169;133;78,698224852071;36;21,301775147929;44;88;55;4113
2021-03-06;39020;132;102;77,2727272727273;30;22,7272727272727;51;51;59;3055
2021-03-07;40986;205;167;81,4634146341463;38;18,5365853658537;58;105;61;3522
2021-03-08;65402;234;201;85,8974358974359;33;14,1025641025641;79;122;79;3933
2021-03-09;63806;190;169;88,9473684210526;21;11,0526315789474;62;106;65;3417
2021-03-10;59122;236;199;84,3220338983051;37;15,6779661016949;78;121;66;3852
2021-03-11;60131;170;148;87,0588235294118;22;12,9411764705882;51;97;43;3537
2021-03-12;61377;171;131;76,6081871345029;40;23,3918128654971;35;96;31;2976
2021-03-13;56819;153;119;77,7777777777778;34;22,2222222222222;56;60;64;3355
2021-03-14;74223;178;146;82,0224719101124;32;17,9775280898876;50;95;83;4151
2021-03-15;112779;264;226;85,6060606060606;38;14,3939393939394;107;114;105;5681
2021-03-16;118812;268;225;83,955223880597;43;16,044776119403;107;118;107;5333
2021-03-17;105388;197;156;79,1878172588833;41;20,8121827411168;84;66;105;5794
2021-03-18;126381;223;178;79,8206278026906;45;20,1793721973094;120;56;103;6225
2021-03-19;93071;148;125;84,4594594594595;23;15,5405405405405;77;45;71;4217
2021-03-20;58110;136;116;85,2941176470588;20;14,7058823529412;81;33;94;3628
2021-03-21;91321;210;174;82,8571428571429;36;17,1428571428571;120;53;126;5425
2021-03-22;135385;237;194;81,8565400843882;43;18,1434599156118;121;69;135;6697
2021-03-23;140446;201;174;86,5671641791045;27;13,4328358208955;113;59;137;6502
2021-03-24;122385;199;160;80,4020100502513;39;19,5979899497487;111;46;140;6399
2021-03-25;147093;235;178;75,7446808510638;57;24,2553191489362;124;51;143;7162
2021-03-26;133188;179;145;81,0055865921788;34;18,9944134078212;98;44;125;6160
2021-03-27;66438;161;136;84,472049689441;25;15,527950310559;103;32;91;4332
2021-03-28;64451;159;132;83,0188679245283;27;16,9811320754717;97;33;106;4677
2021-03-29;106400;257;226;87,9377431906615;31;12,0622568093385;153;72;149;6731
2021-03-30;115382;243;202;83,1275720164609;41;16,8724279835391;142;57;126;6305
2021-03-31;94480;146;129;88,3561643835617;17;11,6438356164384;89;39;65;4682
2021-04-01;103129;205;179;87,3170731707317;26;12,6829268292683;120;55;127;6198
2021-04-02;96584;200;172;86;28;14;109;58;84;6576
2021-04-03;83415;191;165;86,3874345549738;26;13,6125654450262;99;60;78;5867
2021-04-04;98866;167;149;89,2215568862276;18;10,7784431137725;93;53;107;6539
2021-04-05;195170;285;252;88,421052631579;33;11,5789473684211;135;111;116;11799
2021-04-06;213187;286;253;88,4615384615385;33;11,5384615384615;145;103;122;11233
2021-04-07;189989;265;232;87,5471698113208;33;12,4528301886792;128;102;145;9931
2021-04-08;233524;266;223;83,8345864661654;43;16,1654135338346;145;73;158;11979
2021-04-09;189709;208;180;86,5384615384616;28;13,4615384615385;113;65;83;9767
2021-04-10;92306;155;133;85,8064516129032;22;14,1935483870968;87;45;94;5273
2021-04-11;161866;212;191;90,0943396226415;21;9,90566037735849;112;77;104;8786
2021-04-12;275027;306;272;88,8888888888889;34;11,1111111111111;151;118;170;13516
2021-04-13;224331;255;225;88,2352941176471;30;11,7647058823529;123;101;151;10593
2021-04-14;209623;249;209;83,9357429718876;40;16,0642570281125;130;78;154;10369
2021-04-15;253207;320;267;83,4375;53;16,5625;157;104;144;13373
2021-04-16;201808;248;200;80,6451612903226;48;19,3548387096774;110;88;135;10601
2021-04-17;76726;157;131;83,4394904458599;26;16,5605095541401;93;38;97;4665
2021-04-18;148197;265;247;93,2075471698113;18;6,79245283018868;155;89;152;7942
