Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.913 (48);  12.761 (52);  24.674
10-19;  27.427 (49);  28.708 (51);  56.135
20-29;  35.563 (49);  37.516 (51);  73.079
30-39;  23.151 (50);  23.506 (50);  46.657
40-49;  24.360 (52);  22.054 (48);  46.414
50-59;  21.426 (51);  20.920 (49);  42.346
60-69;  10.548 (48);  11.255 (52);  21.803
70-79;   6.157 (49);   6.350 (51);  12.507
80-89;   3.572 (58);   2.637 (42);   6.209
90+;   1.341 (70);     571 (30);   1.912
I alt; 165.458 (50); 166.278 (50); 331.736
