Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 36;1440082;168078;4252731;4155592;1335877;147342;4062154;3972523;1907;174;1100;1070;40;2;8;8;82;8;58;57
Uge 35;1459773;232457;4169960;3998821;1356631;208315;3987743;3827495;2660;271;1476;1420;56;5;16;14;126;13;46;44
Uge 34;1489400;340378;4032852;3770511;1386028;311717;3861437;3613359;3996;469;1699;1583;82;5;12;11;127;11;59;59
Uge 33;1527026;512449;3823415;3478333;1422246;476912;3665389;3339211;4460;665;1661;1437;101;2;11;9;150;13;58;57
Uge 32;1573589;803117;3486731;3242660;1468063;755139;3348787;3118513;4152;1075;1569;1242;102;3;14;11;118;29;37;34
Uge 31;1647282;1000024;3216447;2991645;1538956;943166;3094181;2881462;3615;1352;1324;1036;85;7;6;3;71;14;36;34
Uge 30;1762404;1128185;2974376;2697158;1648605;1065857;2865342;2602181;3053;1945;1199;856;75;10;12;10;68;20;23;22
Uge 29;1937711;1269635;2657887;2390524;1815331;1201093;2564857;2309648;2493;1946;805;586;45;8;4;3;66;11;18;17
Uge 28;2164858;1348607;2352165;2135844;2032329;1277860;2273123;2065676;3116;2805;856;597;56;18;15;13;68;15;17;17
Uge 27;2441644;1310222;2113910;1862282;2296907;1244755;2044827;1803494;2344;1791;444;350;49;10;6;6;41;11;8;6
Uge 26;2611178;1402831;1852714;1654292;2461403;1337068;1794769;1603963;1505;975;175;131;20;8;4;3;28;5;4;3
Uge 25;2833228;1380310;1653456;1493428;2677419;1319229;1603435;1448645;888;337;68;49;10;1;1;1;28;9;7;5
Uge 24;3136761;1225764;1504620;1366622;2972020;1175562;1459532;1325594;1259;292;83;57;15;5;2;2;59;8;10;8
Uge 23;3471292;1023968;1371960;1257436;3298247;985089;1330854;1220276;2341;357;90;66;30;3;6;5;95;20;9;9
Uge 22;3732247;880143;1255075;1175621;3554435;848313;1217995;1141743;4988;516;126;106;31;4;6;6;83;19;12;12
Uge 21;3992139;688900;1186483;1055605;3809066;664767;1152180;1025653;5239;432;138;105;40;4;4;4;39;9;10;10
