Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;188,4;77,2;11,8;5,2;299,5;108,4;19,3;19,8;437,5;148,8;48,8;38,6;429,4;139,7;92,1;0;293,3;114,9;165,8;0;215,4;94,5;0;0;149,4;85,4;0;0;115,4;157,7;0;0;86,8;1098,9;0;0;53;0;0;0;25;0;0;0;22,4;0;0;0;36,4;0;0;0;67,3;0;0;0;140,4;0;0;0;118,3;0;0;0
16-19;251,3;42,9;13,8;11,8;330,4;179,7;22,3;21;507,4;164,3;38,1;33,2;601,8;153,2;50,5;45,5;653,6;194,2;63,7;46,9;529,8;167,7;65,6;41,4;340,4;185,1;85,1;54,4;253,7;170,3;104,4;87,7;237,7;218,7;459,1;172,1;158,9;176,2;344;182,6;86,7;112,5;46,1;0;37,6;27,9;0;0;51,7;50,9;0;0;92,5;153,8;0;0;262,4;517,6;0;0;223,9;883,8;0;0
20-29;184,1;108;28,5;29,6;226,7;103,5;35,7;35,6;321,8;107;39,9;40,3;420;122;64,6;64,2;537,1;180,1;108,3;90;488,9;202,5;166,6;142,3;451,9;320,5;239;205,8;329,4;303,3;259,1;224,9;400;493,2;364,7;277,2;228,6;409;169,1;163,2;135,6;275,1;58,4;55,2;52,7;108,2;15,6;11,3;65,7;128,4;25,3;8,5;125,9;225,5;25,5;20,9;242,2;146,8;26,9;13,3;250,1;107,7;51,2;38,4
30-39;172,9;112,9;35,6;36,1;221,2;98,7;48,2;51,4;285,7;131,1;56,7;67,6;337,9;104,5;74,4;92,2;316;91,2;96,9;102,2;266,1;92,5;95,8;94,1;192,6;112,3;116,3;114,6;135,6;111,9;69,1;71,5;158,2;214,8;140,4;139,4;110,1;175,3;80,4;78,3;66,4;83,2;42,4;40;41,7;56,6;20,3;14,6;43,5;10,8;16,9;3,3;63,1;42,2;19,9;7,2;107,3;93,5;24,5;26,4;118,4;49;31,4;30,6
40-49;150,8;157,2;34,7;34,7;230,9;212;55,1;55,8;345,6;171,7;77,8;77,4;306,1;196,5;59,5;57,6;290,5;151,4;65,1;56,6;275,1;121;51,1;48,8;190;83;49,7;49,9;100,2;60,4;50,2;53,3;88,5;65,4;66,4;47,5;63,5;55,2;42,3;39,5;34,7;37,5;14,5;14,9;25,9;26,5;3,2;2,2;30,2;44,8;9,8;9,5;53,1;83,6;14,9;15,3;111,8;179,4;24,8;22,9;123,2;93,3;30,3;28,2
50-59;134,7;172,5;25,2;25;160,7;85,3;41,3;40,9;218,3;252;40,1;40;233;178;40,3;39,9;223,6;189,8;35,1;34,1;202,9;165,5;28,9;28,5;133,5;93,7;24,2;23,5;80,6;46,1;19,8;19,6;99;51,1;31,3;28,4;54,5;41,3;28;23,2;27,6;19,9;20,7;10,2;18,4;12,2;8;7;40,7;14,8;10,4;10,9;43,9;35,6;7,2;7,7;67,3;95,3;21,7;23,5;85,6;139,3;28,8;23,2
60-69;90,2;114,4;21,3;21,3;97,9;0;26,2;26,3;133,1;112,6;28;27,9;108,8;198,8;30,9;31;109,8;39,5;24,1;23,9;70,3;54,8;19,5;19,5;79,3;116,7;18,2;18,2;38,5;37,5;11,4;11,3;39,9;23,8;11;10,6;47,6;13,2;9;9,1;13,8;12,2;4,8;4,8;8,7;4,8;3,4;3;16;8,2;5,4;6,6;32,5;15,4;9,8;6,9;45,7;27,7;12,4;8,3;34;41,6;12,1;11,5
70-79;42,6;124,2;20,8;20,8;47,3;58,2;22,4;22,4;72,5;108,6;28,3;28,3;66,4;46,9;20,3;20,3;20,2;0;17,9;17,9;24,9;30,9;14,1;14,1;9,8;53,3;10,3;10,3;19,2;0;8,2;8,2;23,5;0;7,4;7,4;13,7;0;5,6;5,7;8,9;0;3,2;3,2;13;7;1,8;1,8;8,3;10;1,8;1,8;15,5;9,8;3,1;3,1;28,7;14,3;4,6;4,8;28,8;17;4;3,4
80+;26,7;0;23,7;23,7;106,1;142,3;24,1;23,8;69,8;69,6;23,5;23,5;25,9;0;22,6;22,6;60;109,1;17,6;17,3;8,5;0;12,9;12,9;8,4;0;10,1;10,1;16,5;0;10,4;10,4;16,3;0;6,7;6,7;16;0;3,2;3,2;0;26,7;1;1;0;0;1,6;1,6;29,9;0;3,2;2,9;21,7;0;3,9;3,9;6,9;13,7;7,2;7,2;19,6;0;6,9;7
12+;168,3;104,7;26,1;25,9;229,1;118,3;35,8;35,9;324,6;139,3;42,4;42,3;359,6;130;43,7;41,6;356,1;134,2;45,4;38,6;304,3;135,9;41,3;34,7;237;173,3;40,7;32,1;170,1;153,9;30,4;24,6;190,1;209,3;37;28,6;123,4;137,5;21,3;19,1;72,1;70,1;9,7;8,1;37,1;24,5;4,2;3,3;45,6;24,2;5,6;4,3;76,9;35,2;7;5,6;148,5;59,1;10,5;9,5;145,9;63,3;12;10,3
