Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 39;1415585;91479;4359667;4324505;1303127;76763;4151433;4120773;1713;90;1173;1163;50143;3339;148898;147786;58974;3827;165432;164176;25;0;9;8;36;4;43;43
Uge 38;1423625;109812;4333764;4288905;1314063;93370;4130660;4090956;1432;77;964;951;51143;4270;147429;145934;59520;4847;162006;160286;16;0;6;6;33;2;54;54
Uge 37;1433426;133379;4300722;4231759;1326702;114930;4103449;4041088;1293;74;781;769;54135;5884;160370;157872;62569;6736;176754;173938;17;0;11;10;38;5;44;44
Uge 36;1446380;168176;4253354;4126187;1342124;147439;4062655;3945293;1907;173;1101;1066;69727;9323;192314;186402;80709;10672;213600;206932;40;2;8;8;85;9;59;58
Uge 35;1465905;232523;4170672;3969525;1362695;208379;3988330;3799894;2661;272;1475;1407;94691;16409;213810;201943;112726;19238;242579;228892;56;5;16;14;125;13;47;45
Uge 34;1495647;340402;4033576;3721141;1392201;311724;3862055;3566721;3997;471;1699;1565;128559;30003;246595;223123;156445;35933;283184;255531;82;5;12;11;128;11;59;59
Uge 33;1533356;512464;3824120;3439017;1428496;476905;3665990;3302207;4462;665;1661;1407;119166;43178;210705;181640;146811;52761;246427;211429;101;2;11;9;150;13;58;56
Uge 32;1579991;803162;3487423;3201595;1474385;755146;3349391;3079592;4152;1075;1569;1210;98306;62217;168529;147980;117339;74043;193784;169472;102;3;14;11;119;29;37;34
Uge 31;1653754;1000089;3217082;2951856;1545340;943183;3094746;2843723;3617;1353;1324;992;101531;87691;155165;134667;117483;102845;175817;151753;85;7;6;3;72;14;36;34
Uge 30;1768990;1128287;2974988;2641275;1655092;1065916;2865889;2548844;3053;1946;1200;803;111586;111138;139181;112293;129547;131294;157670;126441;75;10;12;10;68;21;23;22
Uge 29;1944363;1269768;2658416;2336573;1821872;1201187;2565326;2258119;2493;1946;805;550;142618;142501;121347;91458;166863;168549;136333;102316;45;8;4;3;66;12;18;16
Uge 28;2171583;1348754;2352633;2093944;2038924;1277973;2273544;2025448;3121;2804;856;582;200116;176785;109793;86332;239325;215958;126482;99201;56;18;15;13;68;15;17;17
Uge 27;2448454;1310363;2114329;1826067;2303571;1244874;2045204;1768846;2346;1791;444;333;258313;166174;96451;73167;311153;201264;109772;82962;49;10;6;6;41;11;8;6
Uge 26;2618101;1402974;1853076;1626587;2468167;1337194;1795092;1577249;1506;975;175;128;273363;157833;73547;58856;332002;190408;83421;66643;20;8;4;3;28;5;4;3
Uge 25;2840229;1380415;1653799;1473906;2684254;1319317;1603743;1429567;888;337;68;45;257424;123241;56224;46820;313226;145854;62442;51843;10;1;1;1;28;9;7;5
Uge 24;3143823;1225848;1504944;1346139;2978913;1175635;1459822;1305771;1260;292;83;55;297878;115640;52577;44236;372735;139733;58934;49347;15;5;2;2;59;8;10;8
