Aldersgruppe;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt
12-15;2;0;0;0;2;0;0;0;2;0;0;0;3;0;0;0;7;0;0;0;9;1;1;1;8;0;0;0;9;0;0;0;3;0;0;0;3;0;0;0;4;0;0;0;1;1;0;0;5;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0
16-19;1;0;4;4;1;0;1;1;1;0;0;0;3;0;1;1;4;0;1;1;15;0;2;2;15;0;0;0;13;1;3;3;7;0;0;0;9;0;1;1;4;3;0;0;8;2;2;1;7;1;1;1;3;2;0;0;1;0;0;0;2;0;0;0
20-29;7;0;2;1;1;0;0;0;6;0;0;0;13;0;2;2;19;2;2;1;19;1;3;3;23;0;0;0;45;1;2;0;41;4;4;1;31;6;4;3;22;3;1;0;36;9;6;6;23;5;0;0;10;3;1;1;2;0;0;0;5;2;0;0
30-39;4;0;0;0;3;0;0;0;5;0;4;3;6;2;1;1;8;1;2;2;11;1;1;1;15;1;3;1;14;1;2;2;17;2;1;1;15;1;1;1;10;2;1;1;7;4;0;0;7;1;1;1;5;1;1;1;2;0;0;0;3;0;0;0
40-49;2;0;3;3;4;0;0;0;1;0;3;3;3;0;0;0;3;1;3;3;11;0;1;1;16;0;5;5;5;0;2;1;8;0;0;0;4;3;2;1;1;0;0;0;1;1;3;2;0;2;0;0;1;1;1;0;0;0;0;0;0;0;1;1
50-59;0;0;0;0;1;0;1;1;0;0;0;0;5;0;2;2;5;1;5;4;1;2;1;0;4;0;1;1;5;0;4;4;0;1;1;1;3;0;1;1;2;0;0;0;1;1;1;1;3;1;0;0;0;0;0;0;1;0;0;0;1;2;1;1
60-69;1;0;0;0;1;0;2;2;0;0;2;2;0;0;0;0;1;0;0;0;1;0;2;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;2;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;2;1;0;0
70-79;0;0;0;0;0;0;1;1;1;0;1;1;0;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;1;1;2;1;1;1;0;0;0;0
80+;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;2;2;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
12+;17;0;9;8;13;0;6;6;16;0;11;10;33;2;8;8;48;5;16;14;67;5;12;11;82;2;11;9;91;3;14;11;77;7;6;3;65;10;12;10;44;8;4;3;54;18;15;13;47;10;6;6;20;8;4;3;10;1;1;1;15;5;2;2
