Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 43;1398343;67828;4404782;4386950;1282281;56013;4185005;4170023;5200;176;6421;6406;98151;5072;409422;408088;117170;5896;467463;465908;109;2;40;40;114;3;175;175
Uge 42;1404385;69620;4397493;4375713;1288720;57469;4179977;4161466;3750;141;4713;4698;78538;4328;309819;308506;90966;4921;343703;342221;75;1;37;37;90;8;143;143
Uge 41;1409317;74464;4387939;4360801;1294053;61671;4172791;4149456;2501;83;2394;2385;81619;4716;217325;215449;96334;5432;244315;242193;37;1;14;14;73;3;84;83
Uge 40;1414745;80686;4376519;4337879;1300468;67201;4164311;4130824;2215;90;1691;1678;57527;3486;159944;158459;67668;4002;179117;177436;32;0;18;16;52;2;54;54
Uge 39;1420732;91640;4360397;4305682;1308317;76929;4152147;4104250;1716;90;1173;1159;50241;3350;149056;147274;59105;3840;165668;163641;25;0;9;8;38;4;42;42
Uge 38;1428463;109990;4334506;4260867;1318941;93552;4131382;4065956;1432;77;964;951;51128;4277;147437;145091;59503;4854;162016;159342;16;0;6;6;33;2;54;54
Uge 37;1438360;133532;4301473;4192814;1331669;115089;4104179;4005653;1294;74;781;763;54132;5894;160376;156579;62565;6747;176765;172471;17;0;11;10;38;5;44;43
Uge 36;1451429;168305;4254098;4061458;1347203;147575;4063379;3885452;1907;173;1101;1056;69718;9325;192331;183340;80708;10675;213615;203469;40;2;8;8;85;9;59;57
Uge 35;1471066;232645;4171436;3867265;1367885;208509;3989070;3704406;2664;272;1475;1374;94693;16415;213815;196067;112728;19245;242581;222124;56;5;16;13;125;13;48;45
Uge 34;1500855;340537;4034300;3541011;1397440;311864;3862757;3398203;3997;471;1698;1493;128538;30004;246617;209796;156423;35933;283211;239879;82;5;12;11;128;11;59;59
Uge 33;1538607;512601;3824830;3255913;1433774;477042;3666682;3130057;4460;664;1662;1334;119160;43185;210717;167594;146806;52768;246442;194531;101;2;11;9;150;13;58;55
Uge 32;1585294;803316;3488102;3014981;1479714;755299;3350055;2903150;4151;1076;1570;1117;98305;62220;168543;135008;117349;74047;193798;154147;102;3;14;11;119;29;37;34
Uge 31;1659121;1000239;3217716;2711181;1550731;943333;3095366;2615358;3619;1353;1324;887;101541;87695;155168;117216;117497;102848;175821;131599;85;7;6;3;73;14;36;34
Uge 30;1774471;1128468;2975565;2405699;1660595;1066094;2866453;2324036;3056;1946;1200;700;111575;111151;139188;94363;129541;131306;157678;105865;75;10;12;9;68;21;23;21
Uge 29;1949890;1269975;2658939;2155955;1827419;1201396;2565835;2084887;2488;1947;805;482;142621;142500;121350;79227;166868;168550;136337;88563;45;8;4;3;66;12;18;14
Uge 28;2177158;1348997;2353093;1885891;2044517;1278217;2273991;1826203;3121;2804;857;543;200109;176793;109793;72404;239318;215966;126482;83248;56;18;15;13;67;16;17;15
