Aldersgruppe;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt
12-15;762,9;212,6;48;48,6;547,8;221,9;32;31,8;329;78,9;18,5;18,1;314,4;86,2;10;10,7;224,4;89,2;9,7;8;229,9;70,9;5,1;4,4;192;44,1;2,7;2,7;226,4;75,4;12;7,6;382,2;126,5;23,3;20,4;517;149,8;49,9;25,7;553,9;141,8;77;35,5;392,5;141,3;163,2;135,1;288,5;101,4;253,1;0;182,1;100,7;0;0;138,1;119;0;0;113,8;141,6;0;0
16-19;779,3;283,2;135,4;134,9;487,5;150,7;64,7;64,1;264,8;260,7;38,5;38,3;228,2;88,2;33;33,3;228,1;78,5;13,2;13,4;168,1;118,4;15,7;15,9;176,1;43,3;6,7;5,9;310,9;60,4;18,4;17;352,9;240,6;26;26,3;569,6;257,6;35,6;33,5;709,1;233;51,5;47,6;782,4;259,2;67,9;55,1;754;286;82,5;52;602;339,6;117,5;92,5;438,6;231,3;137,4;132,1;423,2;288,7;566,3;211,3
20-29;576,5;322;154,8;155,4;404,7;221,3;95,5;94,9;238,7;145,7;56,5;56,9;192,7;103,3;35,8;36,3;144,3;82,9;26,2;26,5;128,7;62,5;17,2;16,5;126,4;60,1;21,1;20,9;184,4;126,1;30,8;32,5;232,3;114,2;38,8;40,5;332,4;111;43,1;48,8;420,4;126;72,1;79,8;528,5;174,7;117,4;116,9;466;192,8;182,3;178,9;423,3;304,7;255,6;210,7;315,4;311,1;262,4;197,6;382;537,4;335,7;280,5
30-39;510;360,4;168,3;168,6;442,4;257,9;128,5;129,2;227,7;90,2;66,4;66,6;208,2;181,9;48,8;48,3;157;136,6;38;37,8;130,1;93,2;33;33,5;120,5;90,7;26,8;27;193,9;129,4;36,6;37,3;246,9;113,1;50,5;53,4;311,5;146,7;64,2;84,6;359,3;113,2;79,4;112,2;325,4;95,4;101,8;101,9;280,3;94,5;91,6;98,2;191,3;107,5;107,5;113,4;130,4;103,2;67,9;71,8;155,6;173,2;127,6;126,4
40-49;552,4;456,3;214,8;214,7;407,7;315,9;168,1;168,4;278,1;253,3;88,8;89,1;205,2;207,4;63,5;63,6;170,8;174,1;44,7;44,8;139,3;85,5;34,3;34,6;113,4;54,9;26,1;26,2;158,5;182,6;36,1;36,3;244,3;232,7;57,5;57,2;355,7;233,4;76,4;75,6;325,8;241,2;57,9;58,3;314;184,7;63,6;56,5;297,1;143,3;49,3;53,6;210,5;89,2;49,1;51,1;113,7;61;49,5;50,5;97;68,1;60,3;42,8
50-59;396,3;233,6;162,1;162,1;247,4;328,2;118,3;118,4;138;120,9;57,2;57,1;120,2;68,3;43,7;43,2;154,7;64;29,9;29,7;97,8;77;22,2;22,1;89,4;69,6;18,2;18;135,1;185,6;26,2;25,6;168,5;80,4;39,7;39,7;236,4;226,9;41,8;41,7;219,6;180,4;40,4;39,9;218,3;199,1;33,6;33,2;210,2;170,2;29,4;29,5;136,1;104,5;25;27,1;80,7;56,1;19;18,2;99,6;47,2;31,6;37,8
60-69;255,2;274,6;141,3;141,4;153;270,6;102,7;102,7;117,6;102,2;53,1;53,2;96,3;190,7;34,9;34,8;75,1;311,8;23,7;23,8;67,8;160,6;16,2;16,3;50,3;109,6;17,1;17,1;99,4;138,4;21,1;21,2;85,1;0;27,7;27,7;122,1;110,4;28;27,8;107,6;221,8;31,2;31,2;108,9;48,7;24,1;23,7;64,3;68;20,5;20,4;77,8;134,6;16,3;16,1;32;40,5;11,9;11,9;45,2;31,5;9,8;9,6
70-79;147,7;225,7;140,9;140,9;134,7;219,3;117;117,1;30,4;0;50,5;50,4;30,3;96,6;32,2;32,2;36;274,5;21,8;21,8;41,7;165,2;23,4;23,4;35,3;77,1;15,2;15,2;23,3;144,5;21,2;21,2;46,1;67,1;21;21;68;126;27;27,1;67,1;0;19,9;19,8;22,1;0;18,5;18,3;27,2;35,2;12,8;12,7;10,7;0;11;11;21;0;7;7;20,5;0;6,6;6,5
80+;134,8;129,4;94,8;94,8;111,4;251,6;80,3;80,3;110,7;120,5;33,6;33,7;22;348,4;29,4;29,5;43,6;223;18,8;18,9;32,2;0;28,2;28,3;21,2;0;18,1;18,1;31,4;0;25,2;25,2;114;180,7;25,5;24,8;91,9;87,5;24;24;30,3;0;23,6;23,6;69,8;135,6;17,2;17,2;0;0;13,4;13,5;9,7;0;8,9;9;9,6;0;11,6;11,6;18,8;0;7,1;7,1
12+;539,1;314,3;153,4;153,6;396,2;245,4;112,8;112,9;230,4;134,6;57,4;57,5;196;134;40,6;40,6;158,2;117;28,3;28,2;135,5;82,3;23,3;23,4;123,2;64,3;19;19;180,7;117,2;27,1;27,2;244,9;130;37;37,1;341,9;151;44;43,9;386;139;45,3;42,6;386;142,5;46,9;38,5;334,4;143,4;42,8;33,9;257,9;182,5;41,9;30,1;183,5;162,1;31,4;23,1;206,4;219,4;37,7;29,7
