Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;2;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;3;1;0;0;2;0;0;0;4;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0
16-19;0;0;1;1;1;0;3;3;3;0;1;1;1;0;1;1;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;1;1;6;0;1;0;3;1;1;1;2;1;0;0;1;0;0;0;3;0;1;1
20-29;23;2;6;6;19;0;4;4;18;1;1;1;8;0;1;1;10;0;4;4;9;1;1;1;3;0;3;3;4;0;2;2;19;2;2;2;18;2;3;2;18;1;1;1;35;0;0;0;25;8;1;1;21;3;0;0;20;3;1;1;19;8;1;1
30-39;34;0;9;8;23;1;9;9;17;4;7;7;18;0;4;3;13;0;1;1;5;1;2;2;7;1;0;0;9;2;2;1;15;1;2;1;31;2;2;1;40;3;2;2;32;5;2;2;30;7;1;0;13;3;1;1;16;6;1;1;18;3;0;0
40-49;24;2;10;10;18;1;13;13;16;1;11;11;14;0;8;8;9;0;3;3;6;0;1;1;4;0;1;1;6;1;3;3;21;3;5;5;23;2;3;3;19;3;3;3;27;2;8;7;21;9;5;3;11;4;9;7;14;6;4;3;13;1;3;0
50-59;23;1;23;22;14;0;16;16;9;0;10;10;11;1;9;9;8;1;4;4;7;0;4;4;5;0;3;3;11;0;1;1;9;1;8;8;16;3;5;5;10;2;5;5;18;2;6;6;10;2;5;5;10;1;2;2;6;5;5;4;3;0;0;0
60-64;6;0;17;17;9;0;10;10;6;0;6;6;4;0;2;2;2;0;2;2;2;0;3;3;2;0;4;4;3;1;4;4;4;0;3;3;6;0;3;3;8;1;3;3;7;2;6;5;7;1;2;2;2;1;3;3;1;0;0;0;3;0;1;0
65-69;5;1;15;15;4;0;16;16;1;0;13;13;2;1;8;8;1;0;7;7;3;0;4;4;2;1;2;2;1;0;3;3;4;1;5;5;5;1;2;2;2;0;5;5;2;1;8;8;2;0;3;3;1;1;2;2;2;0;2;2;2;0;2;2
70-79;11;0;63;63;8;1;63;63;8;0;35;35;3;0;32;32;3;0;10;10;4;0;15;15;4;0;17;17;0;1;11;11;3;1;14;14;5;1;12;12;10;0;22;22;4;0;16;16;1;0;10;10;3;0;6;6;2;0;5;5;1;0;2;2
80+;7;2;61;61;9;0;46;46;4;2;59;59;9;1;19;19;1;1;22;22;1;1;11;11;2;0;24;24;0;0;18;18;3;0;20;19;9;2;18;17;6;0;17;17;3;1;11;11;4;0;9;9;0;0;13;13;0;0;5;5;1;0;8;8
12+;135;8;206;203;108;3;180;180;83;8;143;143;70;3;84;83;51;2;54;54;37;4;42;42;30;2;54;54;34;5;44;43;79;9;59;57;120;13;48;45;121;11;59;59;136;13;58;55;107;29;37;34;65;14;36;34;62;21;23;21;64;12;18;14
