Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;3,1;0;0,6;0;4,5;0;0;0;1,5;0;0;0;0;0;0;0;2,8;0;0;0;0;0;0,6;0,7;0;0;0;0;0;0;0;0;1,2;0;0;0;4,6;0;0;0;3,1;1,2;0;0;1,9;0;0;0;3,2;0,8;0;0;1,3;0;0;0;0;1,5;0;0;0,4;0;0;0
16-19;0;0;0,5;0,5;3,1;0;1,4;1,4;9,3;0;0,5;0,5;3,1;0;0,5;0,5;6,1;0;0,5;0,5;0;19,7;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;12,9;0;0,5;0,6;14,7;0;0,5;0;7;3,5;0,6;0,8;4,4;2,1;0;0;2,1;0;0;0;5,7;0;1,4;12,1
20-29;15,1;12,5;1,1;1,1;12,3;0;0,7;0,8;11,6;6,1;0,2;0,2;5,1;0;0,2;0,2;6,3;0;0,8;0,8;5,6;4,9;0,2;0,2;1,8;0;0,6;0,6;2,4;0;0,4;0,4;11,2;5,7;0,4;0,4;10,3;4,1;0,6;0,5;9,9;1,3;0,2;0,3;18,4;0;0;0;12,5;3,5;0,3;0,6;9,9;1;0;0;8,4;0,9;0,6;1,3;6,6;2,3;1;1,4
30-39;26,2;0;1,7;1,6;17,4;7,2;1,8;1,8;12,7;27,9;1,4;1,4;13,3;0;0,8;0,6;9,5;0;0,2;0,2;3,6;5,1;0,4;0,4;5;4,1;0;0;6,3;6,5;0,4;0,2;10,2;2,4;0,4;0,2;20,4;3,3;0,4;0,3;25,1;3;0,5;0,9;18,9;3;0,6;1,5;16,5;2,5;0,5;0;6,5;0,9;0,8;1,1;6,7;1,8;1;1,2;5,9;1,1;0;0
40-49;32,4;32,2;1,6;1,6;24;16,3;2,1;2,1;21,2;15,8;1,8;1,8;18,4;0;1,3;1,3;11,7;0;0,5;0,5;7,7;0;0,2;0,2;5,1;0;0,2;0,2;7,5;9,1;0,5;0,5;25,9;22,8;0,8;0,8;27,8;11,9;0,5;0,5;22,2;13,2;0,5;0,5;30,6;5,7;1,4;1,4;22,9;13;0,9;0,7;11,5;3,3;1,9;2,5;13,9;2,9;1;1,8;11,9;0,3;1,2;0
50-59;44,4;25,8;3,3;3,1;26,8;0;2,3;2,3;17,1;0;1,4;1,4;20,8;24,2;1,3;1,3;15;22,8;0,6;0,6;13;0;0,6;0,6;9,2;0;0,4;0,4;20;0;0,1;0,1;16,2;15,4;1,1;1,1;28,3;40,2;0,7;0,7;17,4;22,7;0,7;0,7;30,6;18;0,9;0,9;16,6;12,4;0,7;0,7;16,3;4,6;0,3;0,3;9,5;14,9;0,7;0,7;4,6;0;0;0
60-64;36,4;0;5,4;5,4;54,2;0;3,2;3,2;35,9;0;1,9;1,9;23,8;0;0,6;0,6;11,8;0;0,6;0,6;11,8;0;0,9;0,9;11,7;0;1,3;1,3;17,3;59,1;1,3;1,3;22,8;0;0,9;1;33,7;0;0,9;1;44,2;43,7;0,9;1;38;69,3;1,9;1,6;37,3;25,2;0,6;0,6;10,5;21;1;1;5,1;0;0;0;14,9;0;0,3;0
65-69;41,8;141;5;5;33,2;0;5,4;5,4;8,3;0;4,4;4,4;16,4;133,7;2,7;2,7;8,2;0;2,3;2,4;24,3;0;1,3;1,3;16,1;106,5;0,7;0,7;8;0;1;1;31,5;89,8;1,7;1,7;39;80,6;0,7;0,7;15,3;0;1,7;1,7;15,1;61,3;2,7;2,7;14,9;0;1;1;7,3;38,4;0,7;0,7;14,4;0;0,7;0,7;14;0;0,7;0,7
70-79;68,2;0;11,5;11,5;49,2;112,7;11,5;11,5;48,9;0;6,4;6,4;18,3;0;5,9;5,9;18,1;0;1,8;1,8;24;0;2,7;2,7;23,8;0;3,1;3,1;0;77;2;2;17,5;72,2;2,6;2,6;28,8;67;2,2;2,2;56,6;0;4;4;22,3;0;2,9;2,9;5,5;0;1,8;1,8;16,3;0;1,1;1,1;10,7;0;0,9;0,9;5,2;0;0,4;0,4
80+;79,1;269,9;23,1;23,1;100,8;0;17,4;17,4;44,4;252,5;22,3;22,3;99,4;120,9;7,2;7,2;11;116,6;8,3;8,3;10,9;111,9;4,1;4,1;21,4;0;9;9;0;0;6,8;6,8;31,3;0;7,5;7,1;93;181,3;6,7;6,4;61,1;0;6,3;6,4;30,2;78,7;4,1;4,1;39,8;0;3,4;3,4;0;0;4,8;4,8;0;0;1,9;1,9;9,5;0;3;3
