Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;1350;1;0;0;1018;0;0;0;711;0;0;0;512;0;0;0;352;0;0;0;183;0;0;0;188;0;0;0;124;0;0;0;107;0;0;0;92;0;0;0;182;0;0;0;234;0;0;0;396;0;0;0;465;0;0;0;415;0;0;0;265;0;0;0
6-11;5737;0;0;0;4879;0;0;0;3458;0;0;0;1642;0;0;0;1136;0;0;0;990;0;0;0;885;0;0;0;659;0;0;0;513;0;0;0;449;0;0;0;594;0;0;0;847;1;0;0;1291;0;0;0;1246;1;0;0;809;0;0;0;579;0;0;0
12-15;1001;162;328;311;927;95;239;234;642;47;142;140;509;19;86;85;374;20;56;54;228;8;32;30;222;10;17;17;162;13;16;12;171;14;8;6;148;12;4;3;183;29;16;6;330;75;25;9;493;126;37;3;590;155;30;1;483;173;17;1;444;102;6;0
16-19;392;53;665;663;335;35;438;436;234;17;345;344;249;11;289;287;157;6;138;136;86;11;82;81;75;4;70;70;76;4;28;28;57;7;33;33;61;3;14;12;111;5;38;34;131;24;53;51;221;33;71;61;291;41;99;77;336;73;122;72;341;138;130;41
20-29;1297;161;1955;1944;1126;124;1664;1653;901;57;1037;1033;885;51;830;828;630;36;509;502;374;25;301;300;306;19;190;190;231;17;138;137;209;15;90;84;209;17;109;104;312;44;157;152;405;55;192;168;602;86;200;157;796;165;291;185;1055;395;355;194;991;571;403;188
30-39;1306;155;2327;2309;1025;98;1827;1821;821;65;1165;1155;673;50;862;857;590;37;657;654;309;14;338;335;284;31;247;240;217;27;191;185;182;23;164;160;173;28;131;124;285;53;175;157;375;69;228;186;497;146;261;188;607;187;263;148;589;270;206;105;561;323;115;89
40-49;806;115;3345;3339;681;54;2687;2681;492;37;1708;1704;414;28;1323;1319;307;20;1035;1034;211;17;546;546;157;15;390;389;132;14;274;273;109;8;210;210;90;6;159;158;128;24;218;215;202;39;346;333;303;53;454;415;287;86;335;289;287;128;344;232;283;176;238;151
50-59;390;39;2516;2511;338;16;2013;2010;225;20;1421;1418;207;9;1142;1141;129;13;835;835;73;5;404;403;64;3;308;304;83;3;211;209;53;4;156;155;49;4;128;126;75;12;184;179;95;6;278;276;136;20;292;288;129;20;281;273;131;32;232;223;129;37;201;190
60-64;105;6;948;948;56;3;716;716;62;1;569;569;46;2;467;467;31;4;346;346;25;0;175;175;17;4;107;107;14;5;72;72;12;2;50;50;11;2;66;66;21;3;80;80;16;0;97;97;23;2;94;93;25;7;95;94;27;3;88;87;16;4;62;60
65-69;41;3;819;819;34;3;633;633;19;2;479;479;26;3;404;404;13;1;286;286;9;2;152;152;11;0;108;107;8;2;74;74;7;2;51;51;4;1;39;39;9;1;50;50;10;0;73;73;15;2;78;77;9;3;96;96;8;0;59;57;5;1;63;63
70-79;57;1;1355;1355;31;5;1120;1120;24;2;855;854;24;2;769;769;22;2;639;639;5;0;276;275;5;1;176;176;6;3;119;119;7;2;128;128;6;1;83;83;4;2;116;116;8;1;115;115;12;2;148;148;12;0;109;108;4;0;101;100;5;1;70;69
80+;23;2;427;427;17;3;358;358;13;1;292;292;12;1;250;250;10;2;212;212;10;1;89;89;2;3;78;78;4;2;50;50;3;0;75;75;2;0;48;48;3;0;67;67;11;2;68;66;9;1;64;64;3;0;63;63;7;2;46;46;0;0;36;36
12+;5418;697;14685;14626;4570;436;11695;11662;3433;249;8013;7988;3045;176;6422;6407;2263;141;4713;4698;1330;83;2395;2386;1143;90;1691;1678;933;90;1173;1159;810;77;965;952;753;74;781;763;1131;173;1101;1056;1583;271;1475;1374;2311;471;1699;1494;2749;664;1662;1334;2927;1076;1570;1117;2775;1353;1324;887
Alle;12505;698;14685;14626;10467;436;11695;11662;7602;249;8013;7988;5199;176;6422;6407;3751;141;4713;4698;2503;83;2395;2386;2216;90;1691;1678;1716;90;1173;1159;1430;77;965;952;1294;74;781;763;1907;173;1101;1056;2664;272;1475;1374;3998;471;1699;1494;4460;665;1662;1334;4151;1076;1570;1117;3619;1353;1324;887
