Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;22;0;0;0;10;0;0;0;12;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;5;0;0;0;4;0;0;0;5;0;0;0;12;0;0;0;11;0;0;0;6;0;0;0
6-11;15;0;0;0;6;0;0;0;8;0;0;0;2;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0
12-15;2;0;0;0;3;0;0;0;3;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;3;1;0;0;2;0;0;0;4;1;0;0;2;0;0;0
16-19;2;0;0;0;2;0;3;3;0;0;1;1;1;0;3;3;3;0;1;1;1;0;1;1;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;1;1;6;0;1;0;3;1;1;1;2;1;0;0
20-29;29;1;8;8;20;1;5;5;23;2;6;6;19;0;4;4;18;1;1;1;8;0;1;1;10;0;4;4;9;1;1;1;3;0;3;3;4;0;2;2;19;2;2;2;18;2;3;2;18;1;1;1;35;0;0;0;25;8;1;1;20;4;0;0
30-39;32;1;14;14;30;1;9;9;36;0;9;8;23;1;9;9;17;4;7;7;18;0;4;3;13;0;1;1;5;1;2;2;6;1;0;0;9;2;2;1;15;1;2;1;31;2;2;1;40;3;2;2;32;5;2;2;30;7;1;0;13;3;1;1
40-49;29;2;20;20;22;4;19;19;24;2;10;10;18;1;13;13;16;1;11;11;14;0;8;8;9;0;3;3;6;0;1;1;4;0;1;1;6;1;3;3;21;3;5;5;23;2;3;3;19;3;3;3;27;2;8;7;21;9;5;3;11;4;9;7
50-59;32;2;28;28;17;3;28;28;23;1;23;22;14;0;16;16;9;0;10;10;11;1;9;9;8;1;4;4;7;0;4;4;5;0;3;3;11;0;1;1;9;1;8;8;16;3;5;5;10;2;5;5;18;2;6;6;10;2;5;5;10;1;2;2
60-64;8;0;24;24;9;1;14;14;6;0;18;18;9;0;10;10;6;0;6;6;4;0;2;2;2;0;2;2;2;0;3;3;2;0;4;4;3;1;4;4;4;0;3;3;6;0;3;3;8;1;3;3;7;2;6;5;7;1;2;2;2;1;3;3
65-69;7;1;28;28;6;1;28;28;6;1;15;15;4;0;16;16;1;0;13;13;2;1;8;8;1;0;7;7;3;0;4;4;2;1;2;2;1;0;3;3;4;1;5;5;5;1;2;2;2;0;5;5;2;1;8;8;2;0;3;3;1;1;2;2
70-79;14;1;88;88;9;2;99;99;11;0;63;63;8;1;63;63;8;0;35;35;3;0;32;32;3;0;10;10;4;0;15;15;4;0;17;17;0;1;11;11;3;1;14;14;5;1;12;12;10;0;22;22;4;0;16;16;1;0;10;10;3;0;6;6
80+;14;1;110;110;9;2;85;85;7;2;60;60;9;0;46;46;4;2;59;59;9;1;19;19;1;1;22;22;1;1;11;11;2;0;24;24;0;0;18;18;3;0;20;19;9;2;18;17;6;0;17;17;3;1;11;11;4;0;9;9;0;0;13;13
