Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;354;10000;0;0;267,3;0;0;0;187,2;0;0;0;135,1;0;0;0;93,2;0;0;0;48,6;0;0;0;50,1;0;0;0;33,1;0;0;0;28,6;0;0;0;24,7;0;0;0;48,9;0;0;0;63,1;0;0;0;107;0;0;0;126,1;0;0;0;112,8;0;0;0;72,3;0;0;0
6-11;1729,1;0;0;0;1460,3;0;0;0;1029,1;0;0;0;486,5;0;0;0;335,5;0;0;0;291,5;0;0;0;259,6;0;0;0;192,5;0;0;0;149;0;0;0;129,7;0;0;0;170,9;0;0;0;242,9;5555,6;0;0;369,2;0;0;0;355,5;8333,3;0;0;230,4;0;0;0;164,8;0;0;0
12-15;1704,2;1104,6;179,4;173,3;1462;875,3;132,1;132;971,8;521,7;79,2;79,9;749,6;213,2;48,6;49,2;539,4;222,4;32;31,8;323,9;79;18,5;18,1;309,4;86,3;10;10,7;220,8;89,3;9,7;8;226,2;70,9;5,1;4,4;188,9;44,1;2,7;2,7;222,7;75,4;12;7,6;376,1;126,6;23,3;20,4;508,5;149,9;49,9;25,6;544,9;142,2;77;35,4;386,2;142,3;163,1;134,6;284,2;103;253,2;0
16-19;1303,1;1176,2;310,6;310,7;1074,1;895,1;204,9;204,5;738,6;449,6;161,5;161,5;777,6;285,5;135,5;135;486,3;151,9;64,8;64,1;264,1;262,5;38,6;38,3;227,6;88,7;33;33,3;227,5;78,8;13,3;13,4;167,6;118,9;15,7;15,9;175,5;43,4;6,7;5,9;309,8;60,5;18,4;17;351,5;240,9;26;26,4;567,2;257,2;35,6;33,6;708;230,2;51,6;47,7;777,9;254,1;68;55,1;747,9;280,6;82,7;52,1
20-29;903,5;819,3;362;362,3;753,7;745,1;309,1;308,7;592,9;356,7;193;193,4;574,4;321;154,9;155,5;404,9;220,6;95,2;94,6;238,1;145,2;56,5;56,8;192,9;103;35,8;36,3;143,9;82,6;26,1;26,4;128,3;62,3;17,2;16,5;126;59,9;21;20,9;183,9;125,7;30,8;32,4;231,7;113,9;38,8;40,5;331,6;110,8;43,3;49,1;418,9;126;72,1;79,7;527,5;174,8;117,3;116,8;465,4;192,8;182,1;178,7
30-39;1072,8;858,7;449,1;448,9;803,4;667,1;353,9;355;630,2;465,5;226,3;225,9;507,9;360,2;167,9;168,3;439,9;257,9;128,4;129;227,9;90,2;66,4;66,6;207;181,7;48,7;48,2;156;136,5;38;37,8;128,6;93,1;33;33,4;119,8;90,6;26,8;27;192,8;129,3;36,8;37,5;245,4;113;50,4;53,4;310,3;146,6;64,2;84,4;357,2;113,1;79,3;112;323,5;95,3;101,6;101,6;278,6;94,5;91,4;97,9
40-49;1141,7;1424,9;542,9;543,1;931;830;436,2;436,1;662,9;594,8;277,4;277,3;551,2;456,4;214,9;214,8;405,7;315,8;168,3;168,6;276,7;253,1;88,9;89,2;204,2;207,3;63,5;63,7;170;173,9;44,7;44,8;138,6;85,4;34,3;34,6;112,8;54,9;26,1;26,2;157,6;182,5;35,9;36,1;243,1;232,6;57,5;57,2;353,8;233,1;76,5;75,7;324;243;58;58,3;312,2;183,3;63,7;56,6;295,4;142,2;49,3;53,7
50-59;777,9;825;357,4;357,1;657,8;405,9;285,9;285,8;433,5;515,3;201,8;201,6;395,1;233,2;162,2;162,2;244,8;327,5;118,6;118,8;137,6;120,7;57,4;57,4;119,8;68,2;43,8;43,3;154,2;63,8;30;29,8;97,5;76,8;22,2;22,1;89,1;69,3;18,2;18;134,6;184,9;26,2;25,7;167,9;80,1;39,7;39,7;235,6;226,1;41,9;41,8;218,8;179,7;40,5;40;217,5;198,3;33,7;33,2;209,4;169,1;29,5;29,6
60-64;656,7;436,7;299,4;299,6;342,7;258;226,1;226,2;375,7;89,6;179,6;179,7;276,5;178,7;147,4;147,5;185,4;348,4;109,2;109,3;148,8;0;55,3;55,3;100,5;305,8;33,8;33,8;82,1;358,4;22,7;22,8;69,9;129;15,8;15,8;63,4;118,3;20,9;20,9;119,4;168,2;25,3;25,4;89,7;0;30,7;30,8;126,7;87,4;29,8;29,7;135,5;242,5;30,2;30,1;143,7;75,7;28,1;28;83,7;83,9;19,8;19,5
65-69;351,8;343,6;274,8;274,9;286,8;401,6;212,3;212,4;158,7;280,9;160,6;160,7;215,7;426,1;135,4;135,5;107,2;142,5;95,9;95,9;73,8;266;50,9;51;89,7;0;36,2;35,9;64,8;234,5;24,8;24,8;56,2;212,1;17,1;17,1;31,8;95;13,1;13,1;70,9;89,5;16,8;16,8;77,9;0;24,5;24,5;114,8;148,6;26,2;25,9;67,9;183,8;32,2;32,4;59,4;0;19,9;19,3;36,6;38,2;21,2;21,4
