Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20-29;0;0;0;0;0,7;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40-49;0;0;0;0;1,4;0;0,2;0,2;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0;0;0;0;0;2,8;0;0;1,1;0;0;0;0;0;0;0
50-59;4;0;0;0;0;0;0,3;0,3;0;0;0;0;1,9;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0,1;0,1;3,6;0;0;0;0;0;0;0;1,7;0;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0
60-64;0;0;0,3;0,3;0;0;0,3;0,3;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;5,8;0;0;0;0;0;0;0;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0
65-69;0;0;1;1;8,4;0;0,3;0,3;0;0;1,3;1,3;0;0;0,7;0,7;0;0;0;0;8,2;0;0,3;0,3;0;0;0;0;8,1;0;0;0;16,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,3;0;0;0;0;7,4;0;0;0;0;0;0;0
70-79;0;0;1,6;1,6;6,2;0;1,3;1,3;6,2;0;0,4;0,4;6,1;0;0,5;0,5;0;0;0,5;0,5;0;0;0,4;0,4;6;96,4;0,2;0,2;6;0;0,2;0,2;5,9;0;0,4;0,4;5,9;0;0,5;0,5;5,8;0;0,4;0,4;5,7;0;0,2;0,2;0;0;0,4;0,4;0;0;0,2;0,2;11;0;0;0;0;0;0,2;0,2
80+;57,8;130;6;6;34,1;0;5,3;5,3;56,4;0;3,8;3,8;11,2;132,6;3;3;33,3;0;0,8;0,8;11;123,3;3,8;3,8;0;0;1,9;1,9;0;0;4,1;4,1;10,7;0;3,7;3,7;52,6;0;2,6;2,6;31,2;94,5;4,5;4,1;30,9;0;1,1;1,1;20,3;0;2,6;2,6;0;0;1,5;1,5;9,9;0;1,1;1,1;9,8;0;0,4;0,4
12+;1,3;1,4;0,7;0,7;1,3;0;0,6;0,6;1,4;0;0,4;0,4;0,5;1,8;0,3;0,3;0,7;0;0,1;0,1;0,3;1,6;0,3;0,3;0,2;1,5;0,2;0,2;0,5;0;0,3;0,3;0,8;0;0,3;0,3;1;0;0,3;0,3;1,3;0,7;0,3;0,3;0,6;0;0,1;0,1;0,4;0;0,3;0,3;0,1;0,2;0,2;0,2;0,7;0;0,1;0,1;0,1;0;0,1;0,1
Alle;0,6;1,4;0,7;0,7;0,6;0;0,6;0,6;0,6;0;0,4;0,4;0,2;1,8;0,3;0,3;0,4;0;0,1;0,1;0,2;1,6;0,3;0,3;0,1;1,5;0,2;0,2;0,2;0;0,3;0,3;0,4;0;0,3;0,3;0,4;0;0,3;0,3;0,6;0,7;0,3;0,3;0,3;0;0,1;0,1;0,2;0;0,3;0,3;0,1;0,2;0,2;0,2;0,3;0;0,1;0,1;0,1;0;0,1;0,1
