Aldersgruppe;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld vaccineeffekt;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld vaccineeffekt;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld vaccineeffekt;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld vaccineeffekt;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld vaccineeffekt;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld vaccineeffekt;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld vaccineeffekt;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld vaccineeffekt;Uge 38-2021_Ingen vaccination;Uge 38-2021_Første vaccination;Uge 38-2021_Anden vaccination;Uge 38-2021_Fuld vaccineeffekt;Uge 37-2021_Ingen vaccination;Uge 37-2021_Første vaccination;Uge 37-2021_Anden vaccination;Uge 37-2021_Fuld vaccineeffekt;Uge 36-2021_Ingen vaccination;Uge 36-2021_Første vaccination;Uge 36-2021_Anden vaccination;Uge 36-2021_Fuld vaccineeffekt;Uge 35-2021_Ingen vaccination;Uge 35-2021_Første vaccination;Uge 35-2021_Anden vaccination;Uge 35-2021_Fuld vaccineeffekt;Uge 34-2021_Ingen vaccination;Uge 34-2021_Første vaccination;Uge 34-2021_Anden vaccination;Uge 34-2021_Fuld vaccineeffekt;Uge 33-2021_Ingen vaccination;Uge 33-2021_Første vaccination;Uge 33-2021_Anden vaccination;Uge 33-2021_Fuld vaccineeffekt;Uge 32-2021_Ingen vaccination;Uge 32-2021_Første vaccination;Uge 32-2021_Anden vaccination;Uge 32-2021_Fuld vaccineeffekt;Uge 31-2021_Ingen vaccination;Uge 31-2021_Første vaccination;Uge 31-2021_Anden vaccination;Uge 31-2021_Fuld vaccineeffekt
0-5;5,8;0;0;0;2,6;0;0;0;3,2;0;0;0;1,1;0;0;0;1,1;0;0;0;0,5;0;0;0;0,5;0;0;0;0,3;0;0;0;0,5;0;0;0;0,5;0;0;0;1,3;0;0;0;1,1;0;0;0;1,4;0;0;0;3,3;0;0;0;3;0;0;0;1,6;0;0;0
6-11;4,5;0;0;0;1,8;0;0;0;2,4;0;0;0;0,6;0;0;0;0,9;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0,6;0;0;0;0,3;0;0;0;0,3;0;0;0;0,6;0;0;0;0,6;0;0;0;0,3;0;0;0;0,3;0;0;0
12-15;3,4;0;0;0;4,7;0;0;0;4,5;0;0,6;0;4,4;0;0;0;1,4;0;0;0;0;0;0;0;2,8;0;0;0;0;0;0,6;0,7;0;0;0;0;0;0;0;0;1,2;0;0;0;4,6;0;0;0;3,1;1,2;0;0;1,8;0;0;0;3,2;0,8;0;0;1,3;0;0;0
16-19;6,6;0;0;0;6,4;0;1,4;1,4;0;0;0,5;0,5;3,1;0;1,4;1,4;9,3;0;0,5;0,5;3,1;0;0,5;0,5;6,1;0;0,5;0,5;0;19,7;0;0;2,9;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;12,8;0;0,5;0,6;14,6;0;0,5;0;6,9;3,5;0,6;0,8;4,4;2;0;0
20-29;20,2;5,1;1,5;1,5;13,4;6;0,9;0,9;15,1;12,5;1,1;1,1;12,3;0;0,7;0,8;11,6;6,1;0,2;0,2;5,1;0;0,2;0,2;6,3;0;0,8;0,8;5,6;4,9;0,2;0,2;1,8;0;0,6;0,6;2,4;0;0,4;0,4;11,2;5,7;0,4;0,4;10,3;4,1;0,6;0,5;9,9;1,3;0,2;0,3;18,4;0;0;0;12,5;3,5;0,3;0,6;9,4;1,4;0;0
30-39;26,3;5,5;2,7;2,7;23,5;6,8;1,7;1,8;27,6;0;1,7;1,6;17,4;7,2;1,8;1,8;12,7;27,9;1,4;1,4;13,3;0;0,8;0,6;9,5;0;0,2;0,2;3,6;5,1;0,4;0,4;4,2;4;0;0;6,2;6,5;0,4;0,2;10,1;2,4;0,4;0,2;20,3;3,3;0,4;0,3;25;3;0,5;0,9;18,8;3;0,6;1,5;16,5;2,5;0,5;0;6,5;0,9;0,8;1,1
40-49;41,1;24,8;3,2;3,3;30,1;61,5;3,1;3,1;32,3;32,1;1,6;1,6;24;16,3;2,1;2,1;21,1;15,8;1,8;1,8;18,4;0;1,3;1,3;11,7;0;0,5;0,5;7,7;0;0,2;0,2;5,1;0;0,2;0,2;7,5;9,1;0,5;0,5;25,9;22,8;0,8;0,8;27,7;11,9;0,5;0,5;22,2;13,2;0,5;0,5;30,5;5,7;1,4;1,4;22,8;12,9;0,9;0,7;11,5;3,2;1,9;2,5
50-59;63,8;42,3;4;4;33,1;76,1;4;4;44,3;25,8;3,3;3,1;26,7;0;2,3;2,3;17,1;0;1,4;1,4;20,7;24,1;1,3;1,3;15;22,7;0,6;0,6;13;0;0,6;0,6;9,2;0;0,4;0,4;20;0;0,1;0,1;16,2;15,4;1,1;1,1;28,3;40,1;0,7;0,7;17,3;22,6;0,7;0,7;30,5;18;0,9;0,9;16,6;12,4;0,7;0,7;16,2;4,6;0,3;0,3
60-64;50;0;7,6;7,6;55,1;86;4,4;4,4;36,4;0;5,7;5,7;54,1;0;3,2;3,2;35,9;0;1,9;1,9;23,8;0;0,6;0,6;11,8;0;0,6;0,6;11,7;0;0,9;0,9;11,6;0;1,3;1,3;17,3;59,2;1,3;1,3;22,8;0;0,9;1;33,7;0;0,9;1;44,1;43,7;1;1;37,9;69,3;1,9;1,6;37,3;25,2;0,6;0,6;10,5;21;1;1
65-69;60,1;114,5;9,4;9,4;50,6;133,9;9,4;9,4;50,1;140,4;5;5;33,2;0;5,4;5,4;8,2;0;4,4;4,4;16,4;133;2,7;2,7;8,2;0;2,3;2,3;24,3;0;1,3;1,3;16,1;106;0,7;0,7;8;0;1;1;31,5;89,5;1,7;1,7;38,9;80,3;0,7;0,7;15,3;0;1,7;1,7;15,1;61,3;2,7;2,7;14,9;0;1;1;7,3;38,2;0,7;0,7
70-79;88,8;93,4;16,1;16,1;56,2;215,7;18,1;18,1;68,1;0;11,5;11,5;49,2;112,7;11,5;11,5;48,9;0;6,4;6,4;18,2;0;5,8;5,9;18,1;0;1,8;1,8;24;0;2,7;2,7;23,8;0;3,1;3,1;0;76,7;2;2;17,4;72;2,6;2,6;28,7;66,9;2,2;2,2;56,5;0;4;4;22,3;0;2,9;2,9;5,5;0;1,8;1,8;16,3;0;1,1;1,1
80+;161,8;130;41,6;41,6;102,4;278,6;32,1;32,1;78,9;275,9;22,6;22,6;100,6;0;17,3;17,3;44,3;257,7;22,2;22,2;99,1;123,3;7,1;7,1;10,9;118,8;8,2;8,2;10,8;113,9;4,1;4,1;21,4;0;9;9;0;0;6,7;6,7;31,2;0;7,4;7,1;92,7;183,8;6,7;6,3;60,8;0;6,3;6,3;30,1;79,5;4,1;4,1;39,6;0;3,3;3,3;0;0;4,8;4,8
12+;32,1;12,2;7,6;7,6;23,1;25;6,9;6,9;24,8;14,2;4,9;4,9;19;5,4;4,3;4,3;14,5;13,9;3,4;3,4;12,1;4,9;2;2;8,7;3;1,3;1,3;6,2;5,2;1;1;4,8;2,1;1,3;1,3;5,5;4,3;1,1;1,1;12,6;6,1;1,5;1,5;18,5;6,2;1,2;1,2;17,8;3,5;1,5;1,7;19;2,7;1,6;1,8;14;3,8;1,1;1,2;7,7;1,6;1,2;1,3
Alle;16,6;12,2;7,6;7,6;11,3;24,9;6,9;6,9;12,5;14,2;4,9;4,9;8,9;5,4;4,3;4,3;7;13,9;3,4;3,4;5,6;4,9;2;2;4,1;3;1,3;1,3;2,9;5,2;1;1;2,4;2,1;1,3;1,3;2,8;4,3;1,1;1,1;6,3;6,1;1,5;1,5;9,1;6,2;1,2;1,2;9,1;3,5;1,5;1,7;10,4;2,7;1,6;1,8;8;3,8;1,1;1,2;4,6;1,6;1,2;1,3
