Aldersgruppe;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld effekt efter primært forløb;Uge 42-2021_Fuld effekt efter revaccination;Uge 41-2021_Ingen vaccination;Uge 41-2021_Første vaccination;Uge 41-2021_Anden vaccination;Uge 41-2021_Fuld effekt efter primært forløb;Uge 41-2021_Fuld effekt efter revaccination;Uge 40-2021_Ingen vaccination;Uge 40-2021_Første vaccination;Uge 40-2021_Anden vaccination;Uge 40-2021_Fuld effekt efter primært forløb;Uge 40-2021_Fuld effekt efter revaccination;Uge 39-2021_Ingen vaccination;Uge 39-2021_Første vaccination;Uge 39-2021_Anden vaccination;Uge 39-2021_Fuld effekt efter primært forløb;Uge 39-2021_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination
0-5;1364,4;2025,5;0;0;0;866,5;1375,2;0;0;0;865,8;2857,1;0;0;0;671,2;16363,6;0;0;0;460,9;0;0;0;0;380,9;0;0;0;0;362,4;11111,1;0;0;0;273,5;0;0;0;0;191,7;0;0;0;0;138,5;0;0;0;0;95,2;0;0;0;0;49,5;0;0;0;0;51,3;0;0;0;0;33,7;0;0;0;0;4316,4;6073,3;7350,1;62500;0;2015,1;2451,9;6709,7;25000;0
6-11;2647,4;2264,1;5528,6;5555,6;0;1734,5;1745,2;5236,5;0;0;2846,8;4011,7;0;0;0;2695,9;5413,2;0;0;0;2127,6;11630;0;0;0;1832,7;0;0;0;0;1702;0;0;0;0;1435,7;0;0;0;0;1012,7;0;0;0;0;479,3;0;0;0;0;330,7;0;0;0;0;287,2;0;0;0;0;256,3;0;0;0;0;190,3;0;0;0;0;8832,6;6681,5;7189,7;12065,1;0;3375,5;2400,2;3105;5003,7;0
12-15;3391,7;2758,2;2276,5;2287,4;2150,5;2311,4;1672,5;1278,1;1282,5;2597,4;2907,7;2066,1;1061,6;1078,5;1538,5;2629,8;1460,8;421,1;413,2;0;1917,9;980,2;229,8;230,6;0;1691,9;888,3;196,5;188;0;1645,1;1123,4;183,3;177,1;0;1402,6;881;135,1;135,1;0;929,1;526,1;81,2;82;0;716,3;215,1;49,5;50,1;0;514,3;224,5;32,6;32,4;0;308,2;79,7;18,9;18,5;0;293,3;87,2;10,2;10,9;;208,5;90,2;9,9;8,2;;8928,9;7281,7;6504,5;6543,2;3524,2;4977,9;3468,2;3029,9;3041,5;2040,8
16-19;3712,6;3531,8;3614,1;3621,6;3342,2;2466,2;1974,6;2649,6;2666,3;1235,4;2407,6;2007,1;2130,2;2146,3;734,1;2055,6;1462,6;816,6;819,8;93,8;1672,1;1246,9;454,1;454,1;223,5;1404,5;1221,9;300,2;300,1;278,9;1306,2;1180,9;315,2;315,2;367;1078,3;902,1;206,7;206,3;263,2;740,9;453,3;163;163,2;0;779,4;287,7;136,7;136,3;0;487,2;127,5;65,4;64,8;0;264,6;264,2;38,9;38,7;0;228;88,9;33,3;33,6;0;227,8;78,7;13,4;13,5;0;6324;5474,1;6797,9;7068,6;5049,6;6287,7;5622,2;6428,2;6331;11815
20-29;3403,7;3473,2;3655,7;3722,5;3043,6;1903,7;1856,7;2349,3;2406,4;1744,6;1869,7;1664,7;2010,9;2069,1;1335,2;1430,4;1243,6;876,4;893,1;620,2;1118,2;828,5;459,1;474,1;158,8;921,9;691,4;350,2;356,6;196,6;906,4;810,1;361,2;367,9;151,6;757,2;729,1;307,2;311,4;101,8;597;354,7;192;193,9;83,1;576,3;319,1;154;154,9;117,1;405,8;219,3;94,7;94,5;0;239,4;138,5;56,2;56,6;0;193,3;102,4;35,7;36,2;0;144,6;82,2;26,1;26,4;0;3781,3;3479,2;3197,5;3152,8;3369,3;4224,4;4218;4320,7;4300,7;4623,1
30-39;3106,6;2924,7;2916,6;2969,4;2557,6;1830,6;1897,9;1819,2;1862,2;1540,9;1931,7;1572,3;1564,1;1614,1;1159,8;1520,8;1162,5;823,8;850,1;538;1261;919,6;567,6;583,8;341,8;1039;977,1;451,1;463,1;284,6;1062,2;859,6;451,1;461,4;246,3;792,7;662,4;354,6;363,9;140,1;622,7;469;226,7;229,5;87,7;501,6;357,4;168,2;169,8;83,2;432,8;262,7;128,7;128,6;245,8;225,3;89,5;66,3;66,5;77,3;203,9;185,9;48,7;48,3;0;154,2;135,1;37,9;37,8;0;4223,2;4012,1;4632,9;4441,6;5431,5;3331,5;3237,3;2846,5;2865,8;2747,7
40-49;2768,5;2823,2;2477,4;2217,4;4123,6;1841,6;1857,1;1847,5;1905,5;1425,6;1958,8;1784,9;1641,7;1720,1;949,7;1646,6;1357;1012;1064,5;462,7;1372,7;1044,9;700,8;738,9;255,6;1106,7;1026,3;572;594,5;237,7;1132,9;1412,6;548,1;566,4;210,4;921,1;829;439,2;448,8;169,5;657,8;593,6;279,1;282,7;87;544,4;455,3;216,5;216,8;174,9;400,3;314,8;169,5;169,9;147,3;275,2;252,2;89,4;89,8;71,3;202,1;206,6;63,9;64,3;0;168,2;173,3;45;45,2;0;3847,5;3536,3;3505,9;3508,8;3504,9;2931,6;2723,6;2388,5;2373,1;2407,1
50-59;2497,6;2464,9;2077,8;1769,8;3302,4;1342,2;1589,6;1411,8;1463,4;1060,1;1390,1;1087,6;1168,4;1245,8;566,4;1109,4;1065,8;698;747,7;253,1;947,5;720,5;481,2;513,2;155,3;768,1;684,4;389,8;409,2;143,7;768,3;823,3;358,5;371,4;149,9;649,1;404,9;286;294,4;91;430,3;514;201,7;203,2;122,3;392,1;232,4;162,2;163,1;103,6;242,9;326,3;118,7;119,7;28,9;136,5;120,3;57,4;57,6;17,6;120,7;67,9;43,8;43,5;0;151,1;63,5;30,1;29,7;122,9;2605;2441;1869,8;1955,6;1847,1;2243,6;1976,2;1608,7;1535,3;1650,9
60-64;1872,5;1321,3;1517,1;1261,3;2024,7;948,5;687,3;900,5;909,6;856,9;986,5;786,9;776;832,2;426,1;835,5;573,6;507,2;552,7;184,3;613,3;565;381,6;415,9;112,9;659,4;331,8;331,7;354,7;112,7;647,1;437,3;299,4;315;117;340,8;258,2;225,6;232,5;111,9;373,6;89,6;179,2;182,3;84,5;274,9;268,1;146,8;147,6;110,2;184,2;348,7;109;110,2;39;147,9;0;55,1;55,3;46,5;99,9;304,9;33,7;33,8;33,6;81,6;357,4;22,7;22,5;88,9;1862,7;1507,5;1207;1323,9;1188,9;1491,3;1911,3;1016,9;972,7;1032,4
65-69;1103,2;782;1069;902,8;1205,7;680,3;511,2;529,9;495,5;625,7;555,3;420,6;516,1;549,2;360,8;509,2;723,1;406,7;443,3;167,8;467,8;98,4;329,3;357,5;109,5;434,6;417,1;285,8;305,6;103,1;342,3;229,1;274,5;290,8;87,7;285,7;401,6;211,3;219,9;70,5;158,1;281,3;159,8;162,8;72,5;214,7;427,4;134,8;137,3;40,1;106,7;143,3;95,4;96,7;43,4;73,5;267,4;50,7;51,1;33,9;89,3;0;36;36,2;0;64,5;235,3;24,7;24,8;0;889,2;1450,9;746,5;886,2;734,8;992,2;1108,9;661;731,2;648,1
70-79;919,4;1499,3;794;603,9;827,9;454,1;697,1;270,6;289;262,5;502,3;333,1;246,6;304,5;188;388,2;253,8;251,9;294,5;137,7;304,8;410,8;264,5;284,6;143,5;306,3;353;276,8;300,9;81,3;358,8;94,3;247,3;261;112,1;192;544,7;204,1;213,3;78,1;147,4;224,2;155,7;158,7;91,2;146,2;227,5;140;144,3;36,5;133,2;220,5;116,3;118,4;62,5;30,1;0;50,2;51;22;29,9;194,2;31,8;32;25,2;35,6;275,2;21,6;21,6;26,1;590,8;1474,4;449,6;691,5;438,7;674,5;932,4;470,5;595,6;461,7
