Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 03-2022;1037700;131479;4706268;1691897;2905205;867583;102695;4286463;1449457;2742323;62929;9069;194823;102448;84861;191764;28789;976378;367560;574009;165711;24814;902763;331469;539673;245816;37266;1276051;472603;756488;7900;501;9682;6139;3313;511;43;1012;455;543
Uge 02-2022;1048008;164787;4663454;1949798;2599960;893138;136843;4297311;1725438;2470593;43907;7754;119862;71644;42242;168903;33229;846618;363992;453530;147521;29547;784215;330566;426902;218899;43076;1096516;465512;592722;5265;360;6199;4352;1693;435;49;808;391;411
Uge 01-2022;1066682;224131;4586242;2350170;2174570;923828;194703;4254770;2124066;2076252;26721;5325;94611;66789;26190;137077;37918;834138;443391;379204;118040;33527;771817;403692;357835;176060;48610;1070382;564286;491219;3760;356;5892;4764;1047;346;38;735;402;326
Uge 52-2021;1088764;248702;4540983;3152916;1348337;955888;219832;4232073;2904617;1295005;21921;5413;91994;70593;20488;113905;37062;762467;525788;230791;100198;33361;709530;486749;218019;141026;45825;936626;640551;288876;2453;233;4379;3657;669;355;44;742;460;276
Uge 51-2021;1120237;236477;4522358;3465007;1013575;995542;209376;4231995;3221049;975969;14227;3620;58524;52375;5692;148079;49559;865646;660496;197570;133825;45055;806825;614396;186515;177325;58588;1033213;781602;242682;1027;122;2397;2156;206;316;28;489;356;124
Uge 50-2021;1202563;177354;4500253;3638693;819408;1081709;154484;4228971;3405780;789021;18886;4269;50045;46527;3191;219132;46591;920749;746222;166508;200507;41842;861290;697750;157116;292263;64268;1167260;939885;217109;747;89;1777;1645;102;282;26;475;370;102
Uge 49-2021;1273597;130063;4476995;3819946;626094;1156772;108885;4221983;3594730;601531;18002;2278;27355;25808;1353;233719;26494;845138;710103;129904;215017;22847;794608;667767;122559;316160;35695;1052210;879581;166079;344;41;431;391;39;241;17;414;351;62
Uge 48-2021;1313432;109778;4458384;3946371;490408;1199266;89775;4214422;3726384;470098;14771;929;18531;17766;686;227280;18465;786330;681964;101263;208907;15190;741123;643190;95356;303280;23676;949511;820000;125687;230;22;125;113;11;223;16;375;320;53
Uge 47-2021;1332601;102321;4447115;4028815;398323;1219820;83972;4211545;3813222;381768;12797;714;15307;14777;459;224750;16752;764738;679682;82204;207314;13911;722565;642754;77397;293007;20837;916757;811724;101571;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1355809;89145;4437369;4095152;325275;1241625;73886;4207911;3881854;312012;12511;699;14746;14291;396;218263;14316;712732;648753;61721;201280;12113;674368;614138;58306;283147;17628;853690;775384;75536;201;7;84;80;3;211;8;329;297;32
Uge 45-2021;1381735;72612;4428340;4168021;244654;1265456;60211;4202852;3955052;234794;10456;433;11712;11484;195;203341;10538;670123;626609;41470;187823;9079;634434;593539;39140;259796;12715;797428;745217;49711;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1392999;68230;4421748;4244438;160832;1276990;56409;4199181;4031010;154405;7601;250;8021;7888;108;149888;7101;527719;505833;20081;139197;6121;499767;479372;18861;193362;8553;630057;604314;23539;130;5;39;36;3;160;9;206;192;11
Uge 43-2021;1401673;67917;4414313;4280812;115552;1285882;56115;4194326;4068598;110632;5192;178;6430;6349;66;106506;5871;433231;420060;11619;98431;5092;410481;398317;10824;127151;6819;495137;480121;13205;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407464;69733;4407049;4299991;85111;1292068;57594;4189322;4089496;81155;3744;141;4719;4659;45;84997;4952;326844;318330;7027;78654;4338;310395;302572;6502;98450;5634;362898;353476;7745;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412568;74608;4397498;4302409;67756;1297563;61827;4182136;4094313;64304;2501;82;2397;2372;16;88460;5363;230815;224627;4034;81711;4712;217844;212288;3671;104252;6151;259487;252629;4423;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1418113;80888;4386015;4304874;42269;1304076;67417;4173595;4099774;40120;2215;91;1692;1673;6;62081;3880;169465;165701;2064;57635;3482;160303;156922;1889;72997;4443;189824;185646;2250;32;0;18;14;2;53;2;54;54;0
