År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere med fuld effekt efter primært vaccinationsforløb;Bekræftede tilfælde blandt beboere med fuld effekt efter revaccination;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;    7;    0;  0;    0;  6;    119;108
2020;12;   24;    3;  0;    0; 16;    254;190
2020;13;   68;   15;  0;    0; 31;    433;250
2020;14;  144;   35;  0;    0; 43;  1.134;361
2020;15;   85;   37;  0;    0; 34;    704;337
2020;16;   78;   30;  0;    0; 35;    916;343
2020;17;   80;   26;  0;    0; 35;  2.285;458
2020;18;   37;   25;  0;    0; 22;  2.465;484
2020;19;   20;   20;  0;    0; 15;  3.093;492
2020;20;   11;    9;  0;    0;  9;  2.528;477
2020;21;    7;    3;  0;    0;  4;  1.617;486
2020;22;   10;    4;  0;    0;  3;  1.530;430
2020;23;    3;    4;  0;    0;  2;  1.257;453
2020;24;   15;    1;  0;    0;  2;  1.055;440
2020;25;    7;    1;  0;    0;  5;  1.891;491
2020;26;    2;    2;  0;    0;  2;  1.924;505
2020;27;    4;    1;  0;    0;  3;  1.706;507
2020;28;    1;    1;  0;    0;  1;  1.528;481
2020;29;    5;    0;  0;    0;  2;  1.196;501
2020;30;    2;    1;  0;    0;  2;  1.243;481
2020;31;    0;    0;  0;    0;  0;  1.574;501
2020;32;    1;    2;  0;    0;  1;  1.612;547
2020;33;    0;    1;  0;    0;  0;  1.470;556
2020;34;    1;    0;  0;    0;  1;  1.336;545
2020;35;    0;    0;  0;    0;  0;  1.301;498
2020;36;    3;    0;  0;    0;  3;  1.331;535
2020;37;   15;    0;  0;    0;  8;  2.155;564
2020;38;   19;    5;  0;    0;  8;  2.950;571
2020;39;   21;    3;  0;    0; 10;  3.148;567
2020;40;   12;    5;  0;    0;  6;  2.971;572
2020;41;   13;    3;  0;    0; 11;  2.627;549
2020;42;   14;    7;  0;    0;  8;  2.670;524
2020;43;   28;    7;  0;    0; 11;  3.590;560
2020;44;   30;    2;  0;    0; 18;  4.622;568
2020;45;   33;    8;  0;    0; 20;  5.439;576
2020;46;   51;    8;  0;    0; 20;  5.694;569
2020;47;   84;   10;  0;    0; 29;  6.922;606
2020;48;   96;   11;  0;    0; 25;  6.381;594
2020;49;  118;   21;  0;    0; 36;  7.384;646
2020;50;  216;   22;  0;    0; 59;  7.815;613
2020;51;  318;   48;  0;    0;104; 10.139;660
2020;52;  407;   62;  0;    0;117; 10.189;621
2020;53;  472;   87;  0;    0;129; 11.260;621
2021;1;  469;   80;  0;    0;127; 11.975;645
2021;2;  357;  110;  0;    0;101; 11.938;627
2021;3;  160;   81;  0;    0; 72; 10.198;663
2021;4;   85;   55;  0;    0; 54;  8.295;608
2021;5;   47;   38;  0;    0; 22;  7.133;596
2021;6;   13;   23;  4;    0;  8;  5.520;575
2021;7;    6;    7;  4;    0;  6;  4.118;558
2021;8;    8;    2;  8;    0;  5;  3.462;538
2021;9;    5;    0;  5;    0;  4;  3.103;566
2021;10;    1;    2;  1;    0;  1;  3.159;573
2021;11;    3;    0;  1;    0;  3;  3.048;569
2021;12;    4;    0;  3;    0;  4;  2.653;567
2021;13;    2;    0;  2;    0;  2;  1.712;495
2021;14;   14;    1; 12;    0;  8;  1.781;512
2021;15;   17;    3; 14;    0;  9;  2.847;552
2021;16;   15;    3; 13;    0;  8;  2.862;531
2021;17;    7;    3;  7;    0;  6;  2.563;535
2021;18;    7;    0;  6;    0;  4;  2.749;544
2021;19;    6;    1;  5;    0;  6;  2.134;465
2021;20;    1;    1;  0;    0;  1;  2.208;433
2021;21;    1;    0;  1;    0;  1;  1.508;379
2021;22;   14;    0; 14;    0;  2;  1.616;346
2021;23;    5;    1;  4;    0;  5;  1.436;325
2021;24;    3;    0;  2;    0;  2;  1.031;272
2021;25;    0;    0;  0;    0;  0;    790;247
2021;26;    0;    0;  0;    0;  0;  1.122;230
2021;27;    5;    0;  5;    0;  2;  1.348;247
2021;28;    5;    1;  5;    0;  4;  1.958;277
2021;29;    7;    0;  7;    0;  5;  2.204;253
2021;30;   11;    3;  8;    0;  7;  2.425;270
2021;31;    7;    3;  7;    0;  4;  2.568;264
2021;32;   15;    2; 14;    0;  8;  3.102;280
2021;33;   19;    0; 19;    0; 12;  2.776;285
2021;34;   32;    3; 30;    0; 15;  3.256;299
2021;35;   36;    1; 33;    0; 16;  3.964;317
2021;36;   45;   12; 45;    0; 18;  4.391;366
2021;37;   23;    6; 22;    0; 11;  2.905;301
2021;38;   18;    6; 17;    0;  9;  2.930;298
2021;39;    3;    6;  3;    0;  3;  2.752;299
2021;40;   14;    1;  7;    4;  6;  2.594;283
2021;41;    3;    4;  0;    3;  3;  3.187;323
2021;42;   16;    1;  5;    9;  8;  4.222;406
2021;43;   14;    3;  5;    5; 10;  5.539;468
2021;44;   26;    4;  7;   18; 18;  7.162;499
2021;45;   25;    4;  9;   13; 21;  7.273;526
2021;46;   52;    2; 10;   39; 28;  7.929;562
2021;47;   29;    8;  7;   21; 21;  8.636;596
2021;48;   54;    6;  8;   40; 30;  9.091;603
2021;49;   89;    6; 11;   71; 47; 10.199;647
2021;50;  138;    9; 18;  113; 63; 12.250;694
2021;51;  193;   11; 20;  165; 92; 14.805;701
2021;52;  608;   13; 53;  526;210; 21.299;752
2022;1;  654;   39; 43;  588;211; 25.001;781
2022;2;  615;   37; 40;  545;196; 23.595;786
2022;3;  810;   41; 49;  732;259; 26.362;805
I alt;;7.378;1.173;613;2.892;682;460.142;958
