Aldersgruppe;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld effekt efter primært forløb;Uge 42-2021_Fuld effekt efter revaccination
0-5;5128,2;6261,5;8133,1;8420,6;0;5212,8;7974,8;7951,1;9270,7;0;5776,4;8331,5;8097,9;20418;0;4241,1;5814,2;7149,6;62500;0;1979,9;2375,6;6516,3;25000;0;1341,8;1964,4;0;0;0;846,4;1334,5;0;0;0;845,2;2807,3;0;0;0;657,1;16071,4;0;0;0;451;0;0;0;0;372,4;0;0;0;0;354,9;10000;0;0;0;268,1;0;0;0;0;188,4;0;0;0;0;136,3;0;0;0;0;93,8;0;0;0;0
6-11;8265,4;5231,1;10534,2;11206,7;0;10799,7;7448,1;11623;13098,3;0;11883,8;8894,3;11195,3;16304,4;0;7374,7;5801,5;6736,2;11504;0;2919,3;2187,3;2956,8;4819,3;0;2317,7;2101,1;5296,4;5000;0;1513;1641,2;5016,2;0;0;2544,9;3812,4;0;0;0;2443,2;5191,1;0;0;0;1953,3;11195,9;0;0;0;1691,2;0;0;0;0;1576,1;0;0;0;0;1339,1;0;0;0;0;945,8;0;0;0;0;449,1;0;0;0;0;310,6;0;0;0;0
12-15;8600,2;6039,6;10643,9;10717,7;7964,6;11079,5;8263,8;12193,6;12301,3;9111,1;11967,4;9939;11527;11686,5;8681,7;7766,5;5945,4;6298,2;6357,1;3797,5;4309,2;2960,1;2966;2983,3;1948,1;2932,3;2373,1;2215,5;2233,8;2127,7;1935,6;1439,9;1245,9;1256;2597,4;2429,2;1807,6;1027,9;1047,3;1538,5;2190,2;1281,8;407,9;401,5;0;1622,7;881,2;223;224,2;0;1426,6;789,9;191,3;183,4;0;1417,5;1010,1;178,2;172,5;0;1202,8;795,4;130,7;130,9;0;802,1;468,5;79,2;80,1;0;618,3;192;48,5;49,2;0;437,8;200,8;31,6;31,5;0
16-19;5110,4;4048,3;6974,6;7667,7;5679,4;6818;5659;8129,5;8877,6;6361,5;7357,7;5830;9478,9;10460;6261,9;5974,4;4593,4;6412,8;6650,1;4905,8;6204,5;5007,7;6163,5;6080,1;11472;3498,1;2908,4;3450,3;3464,1;3320,1;2161;1643;2507,5;2527,5;1159;2052,2;1567,8;2010,1;2029,5;765,7;1699,4;1101,1;755;759,2;88,1;1391,6;919,3;419,9;420;313,8;1155,5;906,1;277,9;278,1;262,5;1074,9;869,6;289,4;289,7;344,2;912,3;680,9;190,7;190,5;247,5;611,6;329,7;149,9;150,2;0;650,2;210,3;125,9;125,7;0;405,4;93,3;60,9;60,4;0
20-29;4357,9;3777,1;4851,3;3833,3;5701,8;4708,5;4176,2;4328,6;3940,1;4836,7;4861,2;4131,5;3966,4;3850;4230,9;3777,2;3043;3064,7;3022,4;3245,2;4332,4;3931,5;4199,3;4181,6;4535,8;3392,1;3084,7;3522;3588,8;2990,8;1855,2;1583,9;2262,9;2324,3;1687,3;1738,7;1421,4;1945,4;2003,9;1307,8;1276,2;1048;830,4;846,7;608;990,9;680,2;425,2;439,4;150,5;824,9;552,4;322,8;328,7;191,5;802,1;664,5;335,5;342;140,9;667,3;579,3;284,8;288,8;102,8;532,5;278,7;177,8;179,7;78;509,6;254,8;143,7;144,7;110,1;359,8;175,7;88,3;88,2;0
30-39;5452,9;4887,9;6863,4;5713,7;7850,1;6107,1;5822,8;6939,8;6217,3;7917,4;6309,6;5717,9;6785;6265,5;8065,4;4138,1;3641,7;4422,2;4231,2;5260,5;3265;2932,3;2748,9;2768,6;2665;2967,4;2648,9;2809,9;2859,2;2507,5;1705,9;1645;1745,5;1788,1;1491,7;1768,2;1339,5;1500,9;1550,4;1121,6;1381,9;969,2;780,2;804,9;520,6;1129,9;767,7;534,7;550,1;326,7;949,1;832,1;425,8;437,1;274,7;955,3;727,4;426,7;436,5;237,1;709,6;566,7;335,7;344,6;133,1;559,2;427,8;214,8;217,5;83,8;452,9;321,3;159,8;161,4;80,2;393,8;223;122,3;122,3;238,5
40-49;5105,9;4099,2;6401,7;4431,5;6901,1;5972,6;4886,8;6715,7;5292,1;7186;5688,7;5499,8;6092,8;5263;6490,9;3669,5;3086;3337,2;3219,5;3421,2;2873,5;2455,6;2294,5;2249,5;2350,5;2697,5;2478;2377;2127,9;3983,8;1728,2;1650,8;1766,9;1819,9;1394,8;1769,2;1487;1569,2;1645,2;914,1;1475,6;1127,4;955,2;1004,6;447,2;1229,1;836,8;661,5;697,5;243,8;996,5;831,7;541,7;563,4;223,5;1032,5;1150,6;518,7;536,2;198,4;830,3;687,5;416,9;426,2;160,6;594,1;483,4;264,8;268,3;82,8;493;369,9;206,3;206,5;180,6;365;256,8;161,1;161,6;141,3
50-59;3648;3102,1;4216;2818,2;4379,9;3989,1;3254;3557,7;2878,1;3658,6;3608,8;2770,2;2884,4;2690,5;2925,3;2585,4;2254,3;1803,8;1798,7;1806,7;2229,7;1898,1;1571,1;1491,2;1619,1;2451,5;2192,3;2010,4;1711,6;3213,1;1307,3;1449,3;1356,7;1404,7;1033,6;1313,2;967,6;1120,6;1194,6;550,3;1024,7;874;664,9;711,7;248,2;875;631,5;456;486,2;149,8;705,9;558,2;371,9;390,5;135,9;706,5;683,9;341,1;353,4;142;598,5;340,3;271,8;279,9;86,4;393,9;435,5;191,8;193,3;116,4;361,1;197,4;154,6;155,5;99;221,2;277,6;113,6;114,7;27,7
60-64;2825,1;2619,7;3430,6;2134;3518,6;2714,5;1595,3;2552,1;1876,4;2610,3;2228,3;1859,3;1876,8;1678;1902,6;1836,1;1545,3;1180,6;1219,7;1174,4;1510,1;2029,8;995,2;939,1;1016,5;1839,9;1236,9;1472,7;1217,8;1985;930,6;789,3;876,4;880,8;859;926,1;692,8;752,6;805,8;421,4;782,3;497,5;485;528,7;177,4;576,8;491,5;366,1;399,2;107,5;620,6;288,7;318,6;340,9;107,4;608,5;386,8;287,7;302,8;111,8;322,8;305,8;217,2;223,9;107,1;347,7;79,4;172,9;175,8;81;261,6;237,3;140,6;141,4;105,8;171,6;306,3;105;106,2;37,5
65-69;1952,1;2113,6;2404,9;1441,9;2446,2;1815,3;1373,3;1777,8;1349,6;1801,3;1439,3;1154,7;1226,2;1164;1230;947,6;1323,8;729;784,9;723,9;1020,6;1113,2;649,4;705,1;638,6;1093,6;710,5;1043,3;874,1;1186,2;661,1;462,1;513,4;477,2;615,6;536,1;375,2;503,4;534,8;356;493,5;636,9;396,8;431,7;169,3;446;86,7;319,8;347;108,6;406,3;370,7;279,7;298,9;103,1;326,6;204,1;266,7;282,6;85,1;272,5;360,6;205,5;213,8;68,3;150,9;251,3;155,6;158,5;70,5;204,9;379,3;131,3;133,7;38,9;101,8;126,9;93,3;94,6;42,1
