Aldersgruppe;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination;Uge 44-2021_Ingen vaccination;Uge 44-2021_Første vaccination;Uge 44-2021_Anden vaccination;Uge 44-2021_Fuld effekt efter primært forløb;Uge 44-2021_Fuld effekt efter revaccination;Uge 43-2021_Ingen vaccination;Uge 43-2021_Første vaccination;Uge 43-2021_Anden vaccination;Uge 43-2021_Fuld effekt efter primært forløb;Uge 43-2021_Fuld effekt efter revaccination;Uge 42-2021_Ingen vaccination;Uge 42-2021_Første vaccination;Uge 42-2021_Anden vaccination;Uge 42-2021_Fuld effekt efter primært forløb;Uge 42-2021_Fuld effekt efter revaccination
0-5;5428,5;7036,8;8534,5;8725,6;0;5439,3;8673,1;8311,9;9637;0;5950,7;8889,4;8387,6;20823;0;4340,8;6075,2;7363,9;62500;0;2025,7;2450,2;6692,4;25000;0;1372,1;2024,6;0;0;0;871,9;1374,6;0;0;0;872,5;2857,1;0;0;0;676,9;16363,6;0;0;0;464,6;0;0;0;0;384;0;0;0;0;365,6;11111,1;0;0;0;275,9;0;0;0;0;193,5;0;0;0;0;139,4;0;0;0;0;96,1;0;0;0;0
6-11;10631,3;7173,6;11841,9;12123,9;0;13617,8;9812,4;12811;13988,7;0;14644,7;11139,6;12112,9;17068,6;0;8771,2;6684,8;7208,8;12084;0;3344,5;2400,2;3098,1;4985,3;0;2623,2;2265;5522,7;5128,2;0;1718,1;1746,5;5183,9;0;0;2821,3;4012,7;0;0;0;2674,1;5425,4;0;0;0;2112,2;11578,9;0;0;0;1820,5;0;0;0;0;1691,6;0;0;0;0;1428,3;0;0;0;0;1008,4;0;0;0;0;477,6;0;0;0;0;329,9;0;0;0;0
12-15;10892,6;8064,2;11646;11682,2;8317,6;13452,5;10917,5;13069,5;13143,6;9389,7;14019,3;12563,4;12187,5;12309,3;9183,7;8848,6;7296,5;6601,7;6643,5;3539,8;4923,4;3472,3;3071,9;3084,9;2054,8;3352,9;2754,3;2310,2;2322,5;2173,9;2284,6;1674,8;1297,5;1302,9;2631,6;2870,9;2068,9;1078,3;1096,3;1562,5;2593,7;1462,9;428;420,2;0;1888,2;981,8;233,6;234,5;0;1665;889,8;199,8;191,3;0;1615,8;1126,1;186,5;180,3;0;1373,9;884,3;137,5;137,5;0;906,9;528,6;82,7;83,5;0;696,9;216,3;50,4;51,1;0;498,5;226;33,2;33,1;0
16-19;6243,1;5343,2;8054,9;9177,3;6142;7775,3;7195,5;9013,8;10066,4;6685,3;7942,3;7078,8;10227,7;11414,9;6478,5;6315,4;5487,8;6781,9;7048,7;5048,4;6278,9;5600;6416,2;6319,3;11776,5;3705,2;3533,3;3607,9;3614,8;3389,8;2458,9;1957,1;2645,9;2662,6;1232,9;2401,3;2024,9;2126,8;2142,9;733,5;2050,1;1462,1;816;819,1;93,7;1670,7;1246,2;453,5;453,5;223,2;1401,8;1222,1;299,8;299,7;278,6;1304,1;1181,2;314,8;314,8;366,3;1075,8;901,6;206,5;206;262,5;738,9;452,7;162,8;163;0;777,4;287,6;136,6;136,2;0;485,9;126,9;65,3;64,7;0
20-29;5008,6;4737,8;5510,6;4745;6046,8;4982,7;5059,2;4724,7;4448,2;5049;4930,6;4823,4;4226,3;4152,6;4385,5;3764,8;3476,9;3199,5;3155,1;3371;4198,1;4220,9;4312,7;4292,6;4616,1;3383,3;3464,7;3647,9;3714,3;3039,3;1893,3;1850,2;2344,2;2400,9;1742,7;1855,8;1663,7;2006,8;2064,7;1333,9;1417,6;1251,6;875,3;892;619,6;1111,5;828,1;458,1;473,1;158,6;916,4;686,6;350,1;356,5;196,4;900,4;814,7;360,7;367,4;151,4;751,4;722,8;307,4;311,6;101,6;593,1;354,5;192;193,8;82,8;571,9;319;154,2;155,2;116,5;404,6;219,2;94,5;94,3;0
30-39;6100,8;6037;7672,8;6843,7;8285,6;6626,8;6884,3;7519,6;6931,1;8248,9;6589,7;6614,6;7186,9;6690,3;8336,2;4202;3993,3;4631,3;4437,3;5440,1;3309,7;3240,4;2841,1;2860,3;2743,5;3086,4;2920,7;2914,1;2967;2554,8;1817,1;1901,8;1817,2;1860;1539,7;1915;1574,6;1563,1;1613;1159,1;1512,2;1159,9;822,9;849,1;537,6;1254;917,5;567;583,1;341,6;1031,7;974,5;450,8;462,8;284,4;1053,1;862,8;451;461,3;246,2;787,8;660,2;354,2;363,5;140;618,1;467,2;226,7;229,4;87,6;498,5;362,9;168;169,6;83,1;430,1;261,4;128,6;128,5;245,2
40-49;5754,5;4817,2;7205,1;5966,2;7443,6;6439,4;5673,4;7351,7;6484;7585,1;5994,5;6310,8;6535,3;6080,1;6727;3826;3517,4;3507,2;3504,4;3509,7;2922,5;2752,9;2386,5;2369,1;2407,4;2758,2;2822,9;2480,4;2220,4;4124;1830,3;1869;1850,2;1908,8;1425;1942,2;1783,6;1645,1;1724,1;949,4;1639,4;1356;1013,5;1066,3;462,6;1366,5;1043,8;701,9;740,1;255,6;1097,4;1024,8;573,3;595,8;237,6;1127,6;1409,8;549;567,3;210,3;916,9;826,8;439,9;449,6;169,5;654,8;591,9;279,6;283,2;86,9;542;453,8;216,8;217,1;174,8;398,5;313,9;169,8;170,2;147,2
50-59;3970,5;3698,3;4624,3;3786,8;4698,7;4168,6;3347,6;3809,4;3621,5;3832,8;3704;3164;3034,7;3144,8;3018,3;2601,5;2442,3;1871,5;1955,8;1849,2;2234,7;2000;1607,6;1532,9;1650,7;2487;2420,4;2076,6;1768,6;3301,9;1336,6;1586,7;1411,5;1463,1;1059,8;1384,2;1085,3;1168;1245,5;566,3;1104,5;1064;698,1;747,6;254,4;943,4;718,9;481,3;513,3;155,3;764,7;683;389,7;409;143,6;765,1;820,9;358,4;371,3;149,9;646,3;403,4;285,9;294,3;91;428,4;512;201,6;203,2;122,3;390,4;231,5;162,3;163,2;103,7;241,8;324,8;118,6;119,7;28,9
60-64;2951;2691,1;3673,9;2844,2;3717,3;2793,5;1756,1;2695,7;2366,7;2719,2;2283;1862,2;1952,1;1972,1;1952,7;1855,7;1513,9;1207,9;1315,3;1191,1;1484,6;1921,6;1015,1;966,1;1032,6;1863,5;1327,7;1512,9;1256,1;2024,3;944,1;690,6;899,3;908,2;856,8;981,8;790,5;775,2;831,2;426,1;831,4;576,9;506,7;552,1;184,3;610,1;568,2;381,2;415,4;112,9;655,8;333,8;331,4;354,3;112,7;643,2;440,5;299;314,6;117;338,8;260,2;225,3;232,2;112;371,4;90,3;179;182;84,5;279,2;270,5;146,6;147,4;110,3;183,1;351,5;108,8;110,1;39,1
65-69;2014,7;2388,1;2530,4;1774,3;2556,5;1866,7;1251,7;1844,9;1629;1855,1;1424,5;1267,4;1259;1345,5;1253,3;892,9;1438,1;747,2;883,8;735,8;985,5;1098,9;659,8;723,8;648;1096,1;774,4;1064,7;894,8;1205,7;675,4;505,6;527,1;491,9;625,8;551,5;415,4;514,3;546,8;361;505,8;714,3;405,7;442;167,9;464,7;97,3;328,9;357;109,5;423;411,9;285,8;305,6;103,2;340,1;226;274,2;290,5;87,8;283,8;395,8;211,1;219,6;70,6;157,1;277;159,7;162,6;72,7;213,3;420,2;134,6;137,1;40,2;106;140,6;95,3;96,5;43,6
