Dato;Aldersgruppe;Nyindlæggelser pr. dag
2021-11-29;0-59;32
2021-11-30;0-59;51
2021-12-01;0-59;33
2021-12-02;0-59;41
2021-12-03;0-59;51
2021-12-04;0-59;47
2021-12-05;0-59;41
2021-12-06;0-59;53
2021-12-07;0-59;50
2021-12-08;0-59;58
2021-12-09;0-59;42
2021-12-10;0-59;62
2021-12-11;0-59;42
2021-12-12;0-59;48
2021-12-13;0-59;62
2021-12-14;0-59;59
2021-12-15;0-59;76
2021-12-16;0-59;70
2021-12-17;0-59;76
2021-12-18;0-59;61
2021-12-19;0-59;59
2021-12-20;0-59;58
2021-12-21;0-59;72
2021-12-22;0-59;79
2021-12-23;0-59;91
2021-12-24;0-59;52
2021-12-25;0-59;74
2021-12-26;0-59;63
2021-12-27;0-59;106
2021-12-28;0-59;104
2021-12-29;0-59;119
2021-12-30;0-59;101
2021-12-31;0-59;70
2022-01-01;0-59;110
2022-01-02;0-59;90
2022-01-03;0-59;140
2022-01-04;0-59;90
2022-01-05;0-59;93
2022-01-06;0-59;98
2022-01-07;0-59;87
2022-01-08;0-59;82
2022-01-09;0-59;94
2022-01-10;0-59;116
2022-01-11;0-59;125
2022-01-12;0-59;137
2022-01-13;0-59;147
2022-01-14;0-59;121
2022-01-15;0-59;115
2022-01-16;0-59;140
2022-01-17;0-59;169
2022-01-18;0-59;178
2022-01-19;0-59;143
2022-01-20;0-59;154
2022-01-21;0-59;160
2022-01-22;0-59;155
2022-01-23;0-59;160
2021-11-29;60+;51
2021-11-30;60+;46
2021-12-01;60+;51
2021-12-02;60+;46
2021-12-03;60+;47
2021-12-04;60+;43
2021-12-05;60+;39
2021-12-06;60+;59
2021-12-07;60+;43
2021-12-08;60+;42
2021-12-09;60+;43
2021-12-10;60+;55
2021-12-11;60+;34
2021-12-12;60+;47
2021-12-13;60+;55
2021-12-14;60+;40
2021-12-15;60+;59
2021-12-16;60+;42
2021-12-17;60+;48
2021-12-18;60+;44
2021-12-19;60+;36
2021-12-20;60+;65
2021-12-21;60+;56
2021-12-22;60+;62
2021-12-23;60+;46
2021-12-24;60+;37
2021-12-25;60+;44
2021-12-26;60+;44
2021-12-27;60+;72
2021-12-28;60+;67
2021-12-29;60+;60
2021-12-30;60+;64
2021-12-31;60+;51
2022-01-01;60+;59
2022-01-02;60+;81
2022-01-03;60+;80
2022-01-04;60+;87
2022-01-05;60+;61
2022-01-06;60+;70
2022-01-07;60+;50
2022-01-08;60+;40
2022-01-09;60+;60
2022-01-10;60+;69
2022-01-11;60+;74
2022-01-12;60+;53
2022-01-13;60+;53
2022-01-14;60+;58
2022-01-15;60+;50
2022-01-16;60+;59
2022-01-17;60+;79
2022-01-18;60+;62
2022-01-19;60+;70
2022-01-20;60+;70
2022-01-21;60+;60
2022-01-22;60+;57
2022-01-23;60+;76
