Aldersgruppe;Uge 08-2022_Ingen vaccination;Uge 08-2022_Første vaccination;Uge 08-2022_Anden vaccination;Uge 08-2022_Fuld effekt efter primært forløb;Uge 08-2022_Fuld effekt efter revaccination;Uge 07-2022_Ingen vaccination;Uge 07-2022_Første vaccination;Uge 07-2022_Anden vaccination;Uge 07-2022_Fuld effekt efter primært forløb;Uge 07-2022_Fuld effekt efter revaccination;Uge 06-2022_Ingen vaccination;Uge 06-2022_Første vaccination;Uge 06-2022_Anden vaccination;Uge 06-2022_Fuld effekt efter primært forløb;Uge 06-2022_Fuld effekt efter revaccination;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination;Uge 45-2021_Ingen vaccination;Uge 45-2021_Første vaccination;Uge 45-2021_Anden vaccination;Uge 45-2021_Fuld effekt efter primært forløb;Uge 45-2021_Fuld effekt efter revaccination
0-5;48,4;30,1;9,9;10,2;0;78,7;0;28,1;29,5;0;79,2;19,9;0;0;0;65,8;34,9;18,9;12,3;0;59,1;14,4;10,3;18,4;0;61,1;34,6;0;0;0;41,1;26,7;0;0;0;22,9;0;0;0;0;25;7,9;0;0;0;12,6;0;0;0;0;10,1;0;0;0;0;7,1;0;0;0;0;6,3;0;0;0;0;5,4;0;0;0;0;6;0;0;0;0;2,7;0;0;0;0
6-11;7,9;6,9;9,3;9,3;0;12,1;0;7,5;7,6;0;25,3;15,8;16;15,1;0;33,2;27,1;12,1;10,9;0;33;19;10,9;7,8;0;31,9;12,3;6,4;7;0;17,6;15;2,4;0;0;9,5;3,4;2,9;0;0;6,9;2,9;0;0;0;4,6;1,6;0;0;0;7,4;5,6;0;0;0;5,4;4,6;0;0;0;3;0;0;0;0;2,6;0;0;0;0;4,4;0;0;0;0;1,8;0;0;0;0
12-15;20,4;0;16,7;15,4;171,5;3,4;26;12,1;11,6;165,8;37,2;0;28,5;28,7;0;47;38,7;21,3;19,5;751,9;34,1;32,9;23,3;23,3;0;47;0;14;14;0;31,7;33,8;6;6,2;0;12,5;43,1;5,6;5,8;0;7,1;7,4;2,6;2,7;0;9;7,1;1,6;1,6;0;14,5;20,2;3,7;3,9;0;1,9;6,1;0;0;0;7,3;5,6;0,6;0,6;0;3,4;0;0,6;0,6;0;3,1;0;0;0;0;4,3;0;0;0;0
16-19;27,2;0;16,1;15;17,4;30,5;100,7;18,8;21,6;15,2;45,1;44,4;21,9;24,8;17,6;57,4;39;30,1;37,1;18,1;75,2;35,1;20,7;24,3;11,3;48,5;32;21,2;22,2;16,4;42;55,4;14,6;14,2;18,1;22,5;23,5;14;12,9;75,3;0;41,1;7,9;7,6;53,2;12,5;19;5,1;5,2;0;15,9;0;5,6;5,7;0;7,6;0;1,9;1,9;0;18;0;1,4;1,4;0;3,4;0;1,4;1,4;0;6,6;0;0;0;0;6,4;0;1,4;1,4;0
20-29;62,9;64,8;29,6;49,7;22,3;55,9;117,9;38;59,2;29,9;94,2;96,5;37,6;62,1;26,1;73,4;95,5;26;38,7;17,2;59,9;51;21,3;28,1;13,1;71,1;100,4;21,5;24,1;14,5;60,9;47,9;15,3;15,5;13,6;44,4;41;16,3;14,7;28,5;45,8;31,4;13,2;12,9;16,3;26,4;34,4;6,8;6,8;2,7;25,5;9;6,3;5,6;15,5;22,2;8,4;4,3;4,1;7;23,6;8,4;2,5;2,5;4,1;18,5;9;2;2,1;0;20,5;0;1,6;1,5;6,3;13,8;6;0,9;0,9;0
30-39;46,2;164;34,8;60,8;24,9;84,3;145,6;47,4;79,8;33,6;90,1;118,6;48,9;76,3;34,3;95,7;72;46,9;57,2;37,3;83,5;86,1;44,7;52;35;75,9;67,4;35,6;39;27,9;62,1;75,4;25,6;25,1;26,6;54,3;27,9;15,1;15,2;15,7;60;55,4;17;15,9;18,3;44,7;46;10,9;9,8;15,1;53,4;30,6;8,5;8,9;4,2;48,7;14;4,6;4,8;2,3;37,3;27,6;3,3;2,3;13,1;41;14,5;4,6;4,7;3,2;26,5;5,5;2,7;2,9;0;22,9;6,7;1,7;1,8;0
40-49;56,6;97,8;29,4;71,5;24;52,9;117,9;29,7;49,5;27;72,2;215,9;31,9;59,9;27,8;77,3;0;32,4;62,6;26,7;49,4;67;28,5;51;22,4;33,9;62,1;20,3;37,8;13,2;50,4;72,9;16,2;22,4;12,4;35,6;30,9;14,3;21;6,8;68;95,5;12,7;11,9;18,1;82,4;51,6;7,6;6,9;13,5;70,5;0;7,7;7,3;11,6;41;42,7;7,4;7,6;5,5;50,1;20,9;4,4;4,1;6,3;50,1;44,1;3,6;3,7;2,6;41,6;24,7;3,3;2,9;9,7;30,8;61,2;3,1;3,2;0
50-59;52;222,7;32,8;51,9;31,6;78,8;83,3;33,2;73,2;30,4;76,6;194,3;36,1;80;32,8;82,1;108,7;28,5;62,7;25,6;72,7;131,3;23,1;56,4;19,3;69;121,7;14,9;32,6;11,9;70;81,4;15,7;33;11,1;77,9;47,6;12,1;20;7,1;78,8;63,7;14,7;14,2;17,1;97;0;10,1;9,8;12,7;70,9;116,2;8;7,6;11,5;60,8;36,7;7,8;7,8;8,5;49,2;18;6;5,5;11,2;48,2;19;4,4;4,3;5,7;62,8;42,1;4,5;4,5;4,8;32,6;75,5;4;3,6;13,5
60-64;48,1;267;43,5;97,2;41,4;149;126,1;52,1;174,7;47;123,1;0;40,5;153,3;35,4;113,2;534,2;27,9;91,8;24,6;140,4;0;25;113;18,4;65,5;185,2;12,2;54,2;8,1;57,3;167,4;11,5;32,2;8,2;119,6;229,5;15;20,8;12,8;104,1;69,6;15,9;15,8;16,2;102;68,7;12,4;12,8;9,9;86,3;65,7;11,4;11,8;9,1;97,6;63,8;8,2;9;2,5;63,8;62,8;10,4;11;5,6;75,2;66,3;8,2;7,3;16,6;49,2;0;7,5;6,5;20,2;54,1;85,8;4,4;4,3;5,6
65-69;114,8;354,6;55,4;104,1;54,1;226,3;505,1;58,9;198,5;54,9;91,7;158;47,1;116,4;45;120,6;446,4;33;144,1;29,2;79,2;0;21,8;107,7;18,1;39,2;253,5;17,9;79,9;14,4;125,7;332,2;17,5;71,8;12,8;104,8;300;15,2;51,3;8,4;112,9;290,7;17,6;23,1;13;138,2;0;12,9;13,3;11,7;45;0;15,1;14,7;17,5;53;102,2;12,4;12,4;12,5;87,3;97,5;8,7;8,3;11,8;85,9;0;6,7;7;3,4;59,2;113,3;9,3;9,1;12,6;49,8;132,3;9,3;9,2;11,8
