Aldersgruppe;Uge 09-2022_Ingen vaccination;Uge 09-2022_Første vaccination;Uge 09-2022_Anden vaccination;Uge 09-2022_Fuld effekt efter primært forløb;Uge 09-2022_Fuld effekt efter revaccination;Uge 08-2022_Ingen vaccination;Uge 08-2022_Første vaccination;Uge 08-2022_Anden vaccination;Uge 08-2022_Fuld effekt efter primært forløb;Uge 08-2022_Fuld effekt efter revaccination;Uge 07-2022_Ingen vaccination;Uge 07-2022_Første vaccination;Uge 07-2022_Anden vaccination;Uge 07-2022_Fuld effekt efter primært forløb;Uge 07-2022_Fuld effekt efter revaccination;Uge 06-2022_Ingen vaccination;Uge 06-2022_Første vaccination;Uge 06-2022_Anden vaccination;Uge 06-2022_Fuld effekt efter primært forløb;Uge 06-2022_Fuld effekt efter revaccination;Uge 05-2022_Ingen vaccination;Uge 05-2022_Første vaccination;Uge 05-2022_Anden vaccination;Uge 05-2022_Fuld effekt efter primært forløb;Uge 05-2022_Fuld effekt efter revaccination;Uge 04-2022_Ingen vaccination;Uge 04-2022_Første vaccination;Uge 04-2022_Anden vaccination;Uge 04-2022_Fuld effekt efter primært forløb;Uge 04-2022_Fuld effekt efter revaccination;Uge 03-2022_Ingen vaccination;Uge 03-2022_Første vaccination;Uge 03-2022_Anden vaccination;Uge 03-2022_Fuld effekt efter primært forløb;Uge 03-2022_Fuld effekt efter revaccination;Uge 02-2022_Ingen vaccination;Uge 02-2022_Første vaccination;Uge 02-2022_Anden vaccination;Uge 02-2022_Fuld effekt efter primært forløb;Uge 02-2022_Fuld effekt efter revaccination;Uge 01-2022_Ingen vaccination;Uge 01-2022_Første vaccination;Uge 01-2022_Anden vaccination;Uge 01-2022_Fuld effekt efter primært forløb;Uge 01-2022_Fuld effekt efter revaccination;Uge 52-2021_Ingen vaccination;Uge 52-2021_Første vaccination;Uge 52-2021_Anden vaccination;Uge 52-2021_Fuld effekt efter primært forløb;Uge 52-2021_Fuld effekt efter revaccination;Uge 51-2021_Ingen vaccination;Uge 51-2021_Første vaccination;Uge 51-2021_Anden vaccination;Uge 51-2021_Fuld effekt efter primært forløb;Uge 51-2021_Fuld effekt efter revaccination;Uge 50-2021_Ingen vaccination;Uge 50-2021_Første vaccination;Uge 50-2021_Anden vaccination;Uge 50-2021_Fuld effekt efter primært forløb;Uge 50-2021_Fuld effekt efter revaccination;Uge 49-2021_Ingen vaccination;Uge 49-2021_Første vaccination;Uge 49-2021_Anden vaccination;Uge 49-2021_Fuld effekt efter primært forløb;Uge 49-2021_Fuld effekt efter revaccination;Uge 48-2021_Ingen vaccination;Uge 48-2021_Første vaccination;Uge 48-2021_Anden vaccination;Uge 48-2021_Fuld effekt efter primært forløb;Uge 48-2021_Fuld effekt efter revaccination;Uge 47-2021_Ingen vaccination;Uge 47-2021_Første vaccination;Uge 47-2021_Anden vaccination;Uge 47-2021_Fuld effekt efter primært forløb;Uge 47-2021_Fuld effekt efter revaccination;Uge 46-2021_Ingen vaccination;Uge 46-2021_Første vaccination;Uge 46-2021_Anden vaccination;Uge 46-2021_Fuld effekt efter primært forløb;Uge 46-2021_Fuld effekt efter revaccination
0-5;121;0;0;0;0;142;1;1;1;0;248;0;3;3;0;260;1;0;0;0;220;2;2;1;0;200;1;1;1;0;209;3;0;0;0;142;3;0;0;0;80;0;0;0;0;88;1;0;0;0;45;0;0;0;0;37;0;0;0;0;26;0;0;0;0;24;0;0;0;0;20;0;0;0;0;22;0;0;0;0
6-11;5;2;10;10;0;7;1;11;11;0;13;0;9;9;0;30;4;20;18;0;41;8;15;12;0;42;7;13;7;0;42;6;7;3;0;25;11;2;0;0;15;4;1;0;0;12;4;0;0;0;9;2;0;0;0;19;4;0;0;0;17;1;0;0;0;10;0;0;0;0;9;0;0;0;0;15;0;0;0;0
12-15;3;0;13;13;0;5;0;25;23;1;1;1;21;20;1;12;0;53;53;0;16;2;41;37;4;12;2;46;45;0;17;0;28;27;0;12;3;12;12;0;5;5;11;11;0;3;1;5;5;0;4;1;3;3;0;7;3;7;7;0;1;1;0;0;0;4;1;1;1;0;2;0;1;1;0;2;0;0;0;0
16-19;2;1;22;13;9;4;0;24;12;12;5;3;32;21;11;8;1;40;27;13;11;1;59;46;13;15;1;42;34;7;10;1;45;36;8;9;2;31;26;5;5;1;30;28;2;0;2;17;16;1;3;1;11;11;0;4;0;12;12;0;2;0;4;4;0;5;0;3;3;0;1;0;3;3;0;2;0;0;0;0
20-29;23;2;110;48;61;56;5;137;61;75;51;10;182;80;102;91;9;187;100;86;73;10;137;82;54;63;6;115;81;31;77;13;119;87;26;68;7;86;68;16;51;7;91;74;14;54;6;74;65;7;32;7;38;35;1;32;2;35;27;5;29;2;24;21;2;32;2;14;13;1;26;3;10;10;0;30;1;8;7;1
30-39;35;3;103;39;64;35;10;151;73;78;67;10;220;114;106;75;9;237;129;106;83;6;236;125;104;75;8;230;144;82;70;7;186;139;45;59;9;135;107;26;53;4;80;70;10;60;8;90;75;10;46;8;58;48;6;57;6;45;42;1;54;3;24;23;1;43;6;17;11;5;49;5;22;21;1;33;3;12;12;0
40-49;19;2;101;17;84;28;3;146;40;105;26;4;157;31;126;37;8;175;44;131;41;0;184;57;127;27;3;166;63;102;19;3;119;63;55;29;4;96;51;45;21;2;86;68;18;41;7;77;63;14;51;4;46;37;9;45;0;47;40;7;27;4;45;42;3;34;2;27;23;3;35;4;22;21;1;30;2;20;17;3
50-59;16;1;163;22;141;19;5;206;19;187;30;2;213;30;182;30;5;235;35;199;33;3;189;33;156;30;4;157;39;118;29;4;102;32;70;30;3;109;49;60;34;2;85;52;32;35;3;103;79;24;44;0;71;60;11;33;6;56;47;9;29;2;55;49;6;24;1;42;35;7;24;1;31;28;3;32;2;32;30;2
60-64;13;1;110;9;101;6;2;130;11;119;19;1;156;21;135;16;0;122;20;102;15;5;85;14;71;19;0;77;22;53;9;2;38;15;23;8;2;36;14;22;17;3;47;18;29;15;1;50;33;17;15;1;39;34;5;13;1;36;32;4;15;1;26;25;1;10;1;33;31;2;12;1;26;21;5;8;0;24;19;5
65-69;15;1;159;16;143;11;2;158;8;150;21;3;169;16;153;9;1;136;10;126;12;3;96;14;82;8;0;64;13;51;4;2;53;13;40;13;3;52;17;35;11;3;45;24;21;12;3;52;31;21;15;0;38;29;9;5;0;45;36;9;6;1;37;32;5;10;1;26;22;4;10;0;20;19;1;7;1;28;25;3
