År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;     7;    0;  6;    118;107
2020;12;    24;    3; 16;    254;190
2020;13;    68;   15; 31;    431;248
2020;14;   143;   35; 43;  1.131;360
2020;15;    85;   37; 34;    704;337
2020;16;    78;   30; 35;    916;343
2020;17;    80;   26; 35;  2.278;457
2020;18;    37;   25; 22;  2.463;482
2020;19;    20;   20; 15;  3.093;492
2020;20;    11;    9;  9;  2.525;476
2020;21;     7;    3;  4;  1.614;483
2020;22;    10;    4;  3;  1.528;429
2020;23;     3;    4;  2;  1.257;453
2020;24;    16;    1;  3;  1.055;439
2020;25;     7;    1;  5;  1.891;489
2020;26;     2;    2;  2;  1.931;504
2020;27;     5;    1;  4;  1.713;506
2020;28;     2;    2;  2;  1.529;481
2020;29;     5;    0;  2;  1.198;501
2020;30;     3;    1;  3;  1.244;482
2020;31;     0;    0;  0;  1.578;502
2020;32;     1;    2;  1;  1.614;547
2020;33;     0;    1;  0;  1.464;553
2020;34;     1;    0;  1;  1.335;545
2020;35;     0;    0;  0;  1.299;495
2020;36;     3;    0;  3;  1.331;536
2020;37;    15;    0;  8;  2.156;563
2020;38;    19;    5;  8;  2.947;571
2020;39;    22;    3; 10;  3.139;566
2020;40;    12;    5;  6;  2.974;572
2020;41;    13;    3; 11;  2.619;548
2020;42;    14;    7;  8;  2.667;522
2020;43;    28;    7; 11;  3.584;558
2020;44;    30;    2; 18;  4.624;567
2020;45;    33;    8; 20;  5.441;576
2020;46;    51;    8; 20;  5.688;567
2020;47;    86;   10; 31;  6.901;603
2020;48;    98;   11; 25;  6.377;591
2020;49;   119;   21; 37;  7.389;644
2020;50;   218;   22; 59;  7.806;610
2020;51;   319;   49;105; 10.143;658
2020;52;   408;   62;118; 10.191;621
2020;53;   472;   87;129; 11.272;617
2021;1;   471;   80;128; 11.967;644
2021;2;   359;  110;102; 11.959;626
2021;3;   163;   81; 74; 10.237;660
2021;4;    85;   56; 54;  8.294;606
2021;5;    47;   39; 22;  7.127;594
2021;6;    16;   23; 10;  5.517;574
2021;7;     6;    7;  6;  4.114;557
2021;8;    12;    2;  8;  3.460;536
2021;9;     9;    0;  7;  3.099;565
2021;10;     4;    2;  4;  3.155;571
2021;11;     7;    0;  7;  3.044;569
2021;12;     7;    2;  7;  2.650;567
2021;13;     4;    0;  4;  1.708;492
2021;14;    14;    1;  8;  1.775;510
2021;15;    21;    3; 10;  2.844;552
2021;16;    19;    3; 11;  2.862;528
2021;17;     9;    3;  7;  2.569;533
2021;18;     9;    0;  6;  2.744;544
2021;19;     6;    1;  6;  2.133;465
2021;20;     2;    1;  2;  2.207;432
2021;21;     2;    0;  2;  1.509;380
2021;22;    15;    0;  3;  1.613;345
2021;23;     7;    0;  5;  1.435;323
2021;24;     3;    1;  2;  1.029;270
2021;25;     0;    0;  0;    790;247
2021;26;     1;    0;  1;  1.120;229
2021;27;     6;    0;  3;  1.348;247
2021;28;     7;    1;  6;  1.956;275
2021;29;     7;    0;  5;  2.205;253
2021;30;    11;    3;  7;  2.424;269
2021;31;     9;    3;  5;  2.571;265
2021;32;    16;    2;  8;  3.099;279
2021;33;    19;    0; 12;  2.776;287
2021;34;    33;    3; 16;  3.263;299
2021;35;    39;    1; 17;  3.963;316
2021;36;    45;   12; 18;  4.391;365
2021;37;    25;    6; 13;  2.907;298
2021;38;    15;    6;  8;  2.903;298
2021;39;     3;    6;  3;  2.740;297
2021;40;    17;    1;  9;  2.594;282
2021;41;     4;    4;  4;  3.189;324
2021;42;    16;    1;  8;  4.223;406
2021;43;    15;    3; 11;  5.543;467
2021;44;    30;    4; 22;  7.170;499
2021;45;    26;    4; 22;  7.284;526
2021;46;    54;    3; 30;  7.943;561
2021;47;    31;    9; 23;  8.648;597
2021;48;    58;    7; 32;  9.075;603
2021;49;    92;    6; 49; 10.194;646
2021;50;   145;    9; 66; 12.246;694
2021;51;   202;   11; 94; 14.815;701
2021;52;   643;   14;218; 21.385;753
2022;1;   682;   40;214; 25.122;782
2022;2;   661;   38;206; 23.723;783
2022;3;   874;   47;262; 26.657;807
2022;4; 1.267;   54;344; 28.008;799
2022;5; 1.758;   64;446; 29.670;848
2022;6; 2.144;   99;530; 30.453;873
2022;7; 2.413;  109;565; 27.213;853
2022;8; 2.109;  144;529; 22.518;831
2022;9; 1.800;  127;484; 18.962;816
2022;10; 1.391;  120;397; 16.056;753
2022;11; 1.033;   97;318; 13.055;690
2022;12;   680;   72;257; 10.326;649
2022;13;   483;   53;171;  8.182;551
2022;14;   395;   41;138;  6.863;517
I alt;;23.131;2.171;925;672.036;959
