Age,Male,Female
0,75.97,80.96
1,75.45,80.39
2,74.48,79.42
3,73.50,78.43
4,72.52,77.45
5,71.53,76.46
6,70.54,75.47
7,69.55,74.47
8,68.56,73.48
9,67.57,72.49
10,66.57,71.50
11,65.58,70.50
12,64.59,69.51
13,63.60,68.52
14,62.61,67.53
15,61.63,66.54
16,60.66,65.55
17,59.70,64.57
18,58.74,63.59
19,57.79,62.61
20,56.85,61.63
21,55.91,60.66
22,54.98,59.69
23,54.06,58.72
24,53.14,57.75
25,52.22,56.78
26,51.31,55.82
27,50.39,54.85
28,49.48,53.89
29,48.56,52.93
30,47.65,51.97
31,46.74,51.01
32,45.83,50.06
33,44.92,49.10
34,44.01,48.15
35,43.10,47.20
36,42.19,46.25
37,41.28,45.30
38,40.37,44.36
39,39.47,43.41
40,38.56,42.47
41,37.65,41.53
42,36.75,40.59
43,35.85,39.66
44,34.95,38.73
45,34.06,37.80
46,33.17,36.88
47,32.28,35.96
48,31.41,35.04
49,30.54,34.13
50,29.67,33.23
51,28.82,32.33
52,27.98,31.44
53,27.14,30.55
54,26.32,29.68
55,25.50,28.81
56,24.70,27.94
57,23.90,27.09
58,23.12,26.24
59,22.34,25.39
60,21.58,24.56
61,20.83,23.72
62,20.08,22.90
63,19.35,22.07
64,18.62,21.26
65,17.89,20.45
66,17.18,19.65
67,16.47,18.86
68,15.77,18.07
69,15.07,17.30
70,14.39,16.54
71,13.71,15.79
72,13.05,15.05
73,12.40,14.32
74,11.76,13.61
75,11.14,12.92
76,10.53,12.23
77,9.94,11.57
78,9.37,10.92
79,8.82,10.29
80,8.28,9.68
81,7.76,9.09
82,7.26,8.52
83,6.79,7.98
84,6.33,7.45
85,5.89,6.95
86,5.48,6.47
87,5.08,6.01
88,4.71,5.57
89,4.37,5.16
90,4.05,4.78
91,3.75,4.43
92,3.48,4.11
93,3.23,3.81
94,3.01,3.55
95,2.81,3.31
96,2.64,3.09
97,2.49,2.90
98,2.36,2.73
99,2.24,2.58
100,2.12,2.42
