"Første vacc. dato","kommunenavn","Antal første vacc.","c_kom_num"
2020-12-27,København,675,101
2020-12-27,Frederiksberg,83,147
2020-12-27,Ballerup,25,151
2020-12-27,Brøndby,16,153
2020-12-27,Dragør,9,155
2020-12-27,Gentofte,42,157
2020-12-27,Gladsaxe,55,159
2020-12-27,Glostrup,12,161
2020-12-27,Herlev,57,163
2020-12-27,Albertslund,16,165
2020-12-27,Hvidovre,46,167
2020-12-27,Høje Tåstrup,34,169
2020-12-27,Lyngby-Taarbæk,52,173
2020-12-27,Rødovre,25,175
2020-12-27,Ishøj,108,183
2020-12-27,Tårnby,16,185
2020-12-27,Vallensbæk,11,187
2020-12-27,Furesø,27,190
2020-12-27,Allerød,17,201
2020-12-27,Fredensborg,20,210
2020-12-27,Helsingør,33,217
2020-12-27,Hillerød,59,219
2020-12-27,Hørsholm,13,223
2020-12-27,Rudersdal,31,230
2020-12-27,Egedal,24,240
2020-12-27,Frederikssund,14,250
2020-12-27,Greve,266,253
2020-12-27,Køge,61,259
2020-12-27,Halsnæs,19,260
2020-12-27,Roskilde,52,265
2020-12-27,Solrød,130,269
2020-12-27,Gribskov,26,270
2020-12-27,Odsherred,7,306
2020-12-27,Holbæk,48,316
2020-12-27,Faxe,19,320
2020-12-27,Kalundborg,20,326
2020-12-27,Ringsted,11,329
2020-12-27,Slagelse,573,330
2020-12-27,Stevns,17,336
2020-12-27,Sorø,21,340
2020-12-27,Lejre,8,350
2020-12-27,Lolland,8,360
2020-12-27,Næstved,34,370
2020-12-27,Guldborgsund,60,376
2020-12-27,Vordingborg,13,390
2020-12-27,Bornholm,63,400
2020-12-27,Middelfart,6,410
2020-12-27,Assens,6,420
2020-12-27,Faaborg-Midtfyn,9,430
2020-12-27,Kerteminde,3,440
2020-12-27,Nyborg,7,450
2020-12-27,Odense,462,461
2020-12-27,Svendborg,1,479
2020-12-27,Nordfyn,4,480
2020-12-27,Horsens,47,615
2020-12-27,Kolding,1,621
2020-12-27,Vejle,2,630
2020-12-27,Herning,73,657
2020-12-27,Holstebro,15,661
2020-12-27,Lemvig,1,665
2020-12-27,Struer,2,671
2020-12-27,Syddjurs,45,706
2020-12-27,Norddjurs,8,707
2020-12-27,Favrskov,30,710
2020-12-27,Odder,19,727
2020-12-27,Randers,67,730
2020-12-27,Silkeborg,23,740
2020-12-27,Skanderborg,41,746
2020-12-27,Århus,1439,751
2020-12-27,Ikast-Brande,9,756
2020-12-27,Ringkøbing-Skjern,15,760
2020-12-27,Hedensted,11,766
2020-12-27,Skive,7,779
2020-12-27,Thisted,2,787
2020-12-27,Viborg,50,791
2020-12-27,Brønderslev,30,810
2020-12-27,Frederikshavn,15,813
2020-12-27,Vesthimmerland,10,820
2020-12-27,Rebild,38,840
2020-12-27,Mariagerfjord,21,846
2020-12-27,Jammerbugt,18,849
2020-12-27,Aalborg,834,851
2020-12-27,Hjørring,78,860
2020-12-28,København,186,101
2020-12-28,Frederiksberg,19,147
2020-12-28,Ballerup,6,151
2020-12-28,Brøndby,12,153
2020-12-28,Gentofte,16,157
2020-12-28,Gladsaxe,17,159
2020-12-28,Glostrup,4,161
2020-12-28,Herlev,110,163
2020-12-28,Albertslund,6,165
2020-12-28,Hvidovre,4,167
2020-12-28,Høje Tåstrup,7,169
2020-12-28,Lyngby-Taarbæk,14,173
2020-12-28,Rødovre,5,175
2020-12-28,Ishøj,5,183
2020-12-28,Tårnby,4,185
2020-12-28,Vallensbæk,1,187
2020-12-28,Furesø,11,190
2020-12-28,Allerød,1,201
2020-12-28,Fredensborg,3,210
2020-12-28,Helsingør,2,217
2020-12-28,Hillerød,4,219
2020-12-28,Hørsholm,3,223
2020-12-28,Rudersdal,10,230
2020-12-28,Egedal,10,240
2020-12-28,Frederikssund,6,250
2020-12-28,Greve,12,253
2020-12-28,Køge,30,259
2020-12-28,Roskilde,50,265
2020-12-28,Solrød,11,269
2020-12-28,Gribskov,1,270
2020-12-28,Odsherred,14,306
2020-12-28,Holbæk,81,316
2020-12-28,Faxe,13,320
2020-12-28,Kalundborg,28,326
2020-12-28,Ringsted,20,329
2020-12-28,Slagelse,92,330
2020-12-28,Stevns,6,336
2020-12-28,Sorø,19,340
2020-12-28,Lejre,10,350
2020-12-28,Lolland,17,360
