"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-26,Hovedstaden,K,129405,69566,128435,67149,970,2417
2021-03-26,Hovedstaden,M,70319,39552,69510,37428,809,2124
2021-03-26,Midtjylland,K,99760,53568,98610,52666,1150,902
2021-03-26,Midtjylland,M,51121,28260,50017,27393,1104,867
2021-03-26,Nordjylland,K,46959,25101,46446,24971,513,130
2021-03-26,Nordjylland,M,23850,13415,23337,13344,513,71
2021-03-26,Sjælland,K,64171,32997,63662,32682,509,315
2021-03-26,Sjælland,M,35312,19457,34886,19095,426,362
2021-03-26,Syddanmark,K,93236,46797,92459,46082,777,715
2021-03-26,Syddanmark,M,50093,24878,49375,24260,718,618
