"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,57751,27079,638866
Frederiksberg,12664,6394,103311
Ballerup,6549,3095,49065
Brøndby,4725,2415,35410
Dragør,2005,1058,14563
Gentofte,9986,5310,74354
Gladsaxe,8701,4558,69173
Glostrup,3423,2004,23481
Herlev,4103,2102,28827
Albertslund,3444,1882,27177
Hvidovre,7164,4044,53335
Høje-Taastrup,6447,3390,52181
Lyngby-Taarbæk,7562,4179,56928
Rødovre,5213,2662,41220
Ishøj,2533,1281,23088
Tårnby,5412,2895,42680
Vallensbæk,2263,1165,16537
Furesø,5722,3147,40943
Allerød,3508,1914,25874
Fredensborg,5663,3093,41034
Helsingør,9200,4711,63026
Hillerød,7721,3891,51720
Hørsholm,3823,2232,24824
Rudersdal,8186,4415,57018
Egedal,5203,2485,43696
Frederikssund,6732,3274,45603
Greve,6136,3027,50538
Køge,7749,3702,61530
Frederiksværk-Hundested,4919,2184,31434
Roskilde,11882,5757,88764
Solrød,2757,1388,23481
Gribskov,6203,2944,41022
Odsherred,5189,2249,32903
Holbæk,9958,4620,72031
Faxe,4613,2292,36759
Kalundborg,6574,3017,48445
Ringsted,4025,1933,34979
Slagelse,11637,5087,79275
Stevns,3218,1452,23203
Sorø,4346,1888,29946
Lejre,3785,1763,28346
Lolland,5849,2830,40393
Næstved,11619,5758,83320
Guldborgsund,9551,4524,60316
Vordingborg,6569,2970,45217
Bornholm,6436,2785,39737
Middelfart,5505,3259,39279
Assens,5082,2555,40867
Faaborg-Midtfyn,6598,3401,51648
Kerteminde,3264,1592,23840
Nyborg,4495,1984,31958
Odense,25024,12633,205037
Svendborg,8720,4985,58832
Nordfyns,3657,1881,29528
Langeland,1974,1012,12362
Ærø,959,562,6002
Haderslev,6045,3579,55316
Billund,2957,1800,26507
Sønderborg,8799,5158,73802
Tønder,4001,2528,37029
Esbjerg,15134,8494,115573
Fanø,449,293,3450
Varde,6302,3769,49668
Vejen,5158,3169,42790
Aabenraa,5879,3447,58579
Fredericia,6576,4079,51385
Horsens,10255,5355,92609
Kolding,10417,6312,93093
Vejle,13568,8025,117517
Herning,11291,6679,89303
Holstebro,7729,4439,58695
Lemvig,2958,1651,19561
Struer,3181,1793,20822
Syddjurs,5701,3082,43291
Norddjurs,5252,3006,36976
Favrskov,5703,3080,48497
Odder,3160,1801,23028
Randers,12577,6752,98330
Silkeborg,11969,6512,95944
Samsø,706,463,3692
Skanderborg,7299,3626,63461
Århus,39184,19402,352432
Ikast-Brande,4639,2740,41555
Ringkøbing-Skjern,7327,4302,56151
Hedensted,5542,3051,46859
Morsø,3150,1891,20070
Skive,6514,3738,45413
Thisted,5275,2882,43122
Viborg,13185,7561,96671
Brønderslev-Dronninglund,4935,2410,36133
Frederikshavn,7341,4296,58949
Vesthimmerlands,5064,2606,36360
Læsø,401,188,1777
Rebild,3678,1829,30507
Mariagerfjord,5679,2929,41582
Jammerbugt,4915,2310,38156
Ålborg,27478,13246,219657
Hjørring,9458,4573,64128
