"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16865,0
AstraZeneca Covid-19 vaccine,Midtjylland,33614,1
AstraZeneca Covid-19 vaccine,Syddanmark,30415,248
AstraZeneca Covid-19 vaccine,Hovedstaden,45115,10
AstraZeneca Covid-19 vaccine,Sjælland,23870,331
Moderna Covid-19 Vaccine,Nordjylland,4386,3681
Moderna Covid-19 Vaccine,Midtjylland,12267,3529
Moderna Covid-19 Vaccine,Syddanmark,13236,5221
Moderna Covid-19 Vaccine,Hovedstaden,19579,2265
Moderna Covid-19 Vaccine,Sjælland,9048,1101
Pfizer BioNTech Covid-19 vacc,Nordjylland,57770,37977
Pfizer BioNTech Covid-19 vacc,Midtjylland,127992,87918
Pfizer BioNTech Covid-19 vacc,Syddanmark,112324,83096
Pfizer BioNTech Covid-19 vacc,Hovedstaden,162135,122797
Pfizer BioNTech Covid-19 vacc,Sjælland,84616,55589
