"dato","kommunenavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-04,København,K,37339,18493,36783,18486,556,7
2021-04-04,København,M,22101,11499,21629,11493,472,6
2021-04-04,Frederiksberg,K,8337,4380,8142,4378,195,2
2021-04-04,Frederiksberg,M,4868,2558,4727,2555,141,3
2021-04-04,Ballerup,K,4457,2225,4321,2224,136,1
2021-04-04,Ballerup,M,2459,1298,2354,1296,105,2
2021-04-04,Brøndby,K,3155,1767,3097,1766,58,1
2021-04-04,Brøndby,M,1838,1020,1773,1019,65,1
2021-04-04,Dragør,K,1270,715,1226,715,44,0
2021-04-04,Dragør,M,848,464,816,463,32,1
2021-04-04,Gentofte,K,6621,3777,6472,3774,149,3
2021-04-04,Gentofte,M,3782,2100,3649,2099,133,1
2021-04-04,Gladsaxe,K,5957,3358,5844,3357,113,1
2021-04-04,Gladsaxe,M,3027,1671,2949,1670,78,1
2021-04-04,Glostrup,K,2282,1387,2239,1387,43,0
2021-04-04,Glostrup,M,1257,794,1208,794,49,0
2021-04-04,Herlev,K,2860,1609,2813,1606,47,3
2021-04-04,Herlev,M,1385,761,1334,760,51,1
2021-04-04,Albertslund,K,2260,1290,2208,1288,52,2
2021-04-04,Albertslund,M,1363,784,1310,784,53,0
2021-04-04,Hvidovre,K,4801,2848,4713,2848,88,0
2021-04-04,Hvidovre,M,2620,1619,2543,1619,77,0
2021-04-04,Høje Tåstrup,K,4181,2223,4069,2218,112,5
2021-04-04,Høje Tåstrup,M,2626,1490,2507,1489,119,1
2021-04-04,Lyngby-Taarbæk,K,5151,3004,5068,3002,83,2
2021-04-04,Lyngby-Taarbæk,M,2743,1532,2670,1531,73,1
2021-04-04,Rødovre,K,3640,2006,3586,2005,54,1
2021-04-04,Rødovre,M,1779,950,1725,950,54,0
2021-04-04,Ishøj,K,1663,872,1614,872,49,0
2021-04-04,Ishøj,M,995,547,950,546,45,1
2021-04-04,Tårnby,K,3618,1993,3551,1992,67,1
2021-04-04,Tårnby,M,2012,1175,1957,1175,55,0
2021-04-04,Vallensbæk,K,1402,749,1375,749,27,0
2021-04-04,Vallensbæk,M,942,518,911,518,31,0
2021-04-04,Furesø,K,3832,2218,3740,2217,92,1
2021-04-04,Furesø,M,2189,1216,2101,1214,88,2
2021-04-04,Allerød,K,2301,1290,2265,1290,36,0
2021-04-04,Allerød,M,1365,809,1323,809,42,0
2021-04-04,Fredensborg,K,3680,2164,3619,2163,61,1
2021-04-04,Fredensborg,M,2209,1280,2142,1280,67,0
2021-04-04,Helsingør,K,6111,3267,5971,3267,140,0
2021-04-04,Helsingør,M,3470,2001,3364,1999,106,2
2021-04-04,Hillerød,K,5152,2749,5060,2747,92,2
2021-04-04,Hillerød,M,2882,1606,2811,1605,71,1
2021-04-04,Hørsholm,K,2480,1520,2412,1520,68,0
2021-04-04,Hørsholm,M,1539,911,1467,911,72,0
2021-04-04,Rudersdal,K,5339,3099,5208,3097,131,2
2021-04-04,Rudersdal,M,3247,1832,3146,1832,101,0
2021-04-04,Egedal,K,3560,1770,3450,1765,110,5
2021-04-04,Egedal,M,2001,972,1895,971,106,1
2021-04-04,Frederikssund,K,4491,2365,4355,2360,136,5
2021-04-04,Frederikssund,M,2628,1388,2474,1384,154,4
2021-04-04,Greve,K,3954,2019,3856,2000,98,19
2021-04-04,Greve,M,2433,1295,2341,1276,92,19
2021-04-04,Køge,K,4995,2526,4934,2484,61,42
2021-04-04,Køge,M,2969,1523,2907,1477,62,46
2021-04-04,Halsnæs,K,3162,1545,3092,1542,70,3
2021-04-04,Halsnæs,M,1980,994,1913,991,67,3
2021-04-04,Roskilde,K,7752,3991,7619,3917,133,74
2021-04-04,Roskilde,M,4518,2356,4404,2292,114,64
2021-04-04,Solrød,K,1786,935,1763,917,23,18
2021-04-04,Solrød,M,1076,606,1051,588,25,18
2021-04-04,Gribskov,K,3905,2019,3806,2018,99,1
2021-04-04,Gribskov,M,2589,1377,2494,1374,95,3
2021-04-04,Odsherred,K,3200,1445,3147,1438,53,7
2021-04-04,Odsherred,M,2137,1020,2089,1006,48,14
2021-04-04,Holbæk,K,6591,3100,6455,3084,136,16
2021-04-04,Holbæk,M,3771,1821,3680,1788,91,33
2021-04-04,Faxe,K,3047,1484,3000,1462,47,22
2021-04-04,Faxe,M,1854,975,1812,958,42,17
2021-04-04,Kalundborg,K,4231,1883,4115,1874,116,9
2021-04-04,Kalundborg,M,2606,1255,2501,1248,105,7
2021-04-04,Ringsted,K,2703,1290,2664,1288,39,2
2021-04-04,Ringsted,M,1522,737,1494,734,28,3
2021-04-04,Slagelse,K,7834,3355,7529,3341,305,14
2021-04-04,Slagelse,M,4528,1880,4194,1868,334,12
2021-04-04,Stevns,K,2071,975,2055,961,16,14
2021-04-04,Stevns,M,1348,626,1334,609,14,17
2021-04-04,Sorø,K,2903,1232,2845,1225,58,7
2021-04-04,Sorø,M,1711,762,1632,754,79,8
2021-04-04,Lejre,K,2468,1233,2441,1209,27,24
2021-04-04,Lejre,M,1538,737,1502,708,36,29
2021-04-04,Lolland,K,3691,1696,3615,1694,76,2
2021-04-04,Lolland,M,2586,1195,2492,1195,94,0
2021-04-04,Næstved,K,7659,3745,7439,3740,220,5
2021-04-04,Næstved,M,4504,2148,4329,2137,175,11
2021-04-04,Guldborgsund,K,6175,2833,5938,2830,237,3
2021-04-04,Guldborgsund,M,3914,1821,3709,1818,205,3
2021-04-04,Vordingborg,K,4140,1829,4025,1827,115,2
2021-04-04,Vordingborg,M,2749,1284,2623,1274,126,10
2021-04-04,Bornholm,K,4259,2087,4133,2087,126,0
2021-04-04,Bornholm,M,2568,1201,2455,1201,113,0
2021-04-04,Middelfart,K,3545,2062,3513,2056,32,6
2021-04-04,Middelfart,M,2171,1318,2147,1309,24,9
2021-04-04,Assens,K,3434,1728,3413,1712,21,16
2021-04-04,Assens,M,1867,1004,1847,987,20,17
2021-04-04,Faaborg-Midtfyn,K,4402,2304,4374,2282,28,22
2021-04-04,Faaborg-Midtfyn,M,2436,1336,2415,1311,21,25
2021-04-04,Kerteminde,K,2203,1100,2184,1084,19,16
2021-04-04,Kerteminde,M,1210,632,1190,620,20,12
2021-04-04,Nyborg,K,2959,1303,2952,1290,7,13
2021-04-04,Nyborg,M,1683,812,1674,789,9,23
2021-04-04,Odense,K,17147,8562,16978,8482,169,80
2021-04-04,Odense,M,9345,4932,9186,4854,159,78
2021-04-04,Svendborg,K,5779,3404,5769,3389,10,15
2021-04-04,Svendborg,M,3172,1802,3162,1791,10,11
2021-04-04,Nordfyn,K,2471,1218,2444,1205,27,13
2021-04-04,Nordfyn,M,1402,800,1375,790,27,10
2021-04-04,Langeland,K,1298,674,1294,671,4,3
2021-04-04,Langeland,M,726,392,720,390,6,2
2021-04-04,Ærø,K,602,359,602,359,0,0
2021-04-04,Ærø,M,361,207,361,206,0,1
2021-04-04,Haderslev,K,4015,2330,3985,2305,30,25
2021-04-04,Haderslev,M,2187,1479,2155,1457,32,22
2021-04-04,Billund,K,1960,1166,1947,1154,13,12
2021-04-04,Billund,M,1144,707,1130,701,14,6
2021-04-04,Sønderborg,K,5764,3592,5692,3539,72,53
2021-04-04,Sønderborg,M,3423,1964,3377,1937,46,27
2021-04-04,Tønder,K,2694,1717,2685,1707,9,10
2021-04-04,Tønder,M,1386,968,1372,960,14,8
2021-04-04,Esbjerg,K,10192,5473,10119,5325,73,148
2021-04-04,Esbjerg,M,5932,3561,5870,3483,62,78
2021-04-04,Fanø,K,293,189,293,185,0,4
2021-04-04,Fanø,M,176,117,173,115,3,2
2021-04-04,Varde,K,4222,2438,4199,2374,23,64
2021-04-04,Varde,M,2391,1564,2372,1531,19,33
2021-04-04,Vejen,K,3446,2082,3413,2055,33,27
2021-04-04,Vejen,M,1934,1308,1916,1293,18,15
2021-04-04,Aabenraa,K,3804,2236,3786,2214,18,22
2021-04-04,Aabenraa,M,2196,1438,2174,1417,22,21
2021-04-04,Fredericia,K,4373,2569,4312,2556,61,13
2021-04-04,Fredericia,M,2522,1654,2479,1646,43,8
2021-04-04,Horsens,K,7239,3584,7222,3584,17,0
2021-04-04,Horsens,M,3794,1961,3782,1960,12,1
2021-04-04,Kolding,K,6834,4104,6750,4069,84,35
2021-04-04,Kolding,M,3945,2636,3869,2608,76,28
2021-04-04,Vejle,K,9322,5133,9115,5121,207,12
2021-04-04,Vejle,M,5400,3245,5192,3236,208,9
2021-04-04,Herning,K,7951,4402,7947,4402,4,0
2021-04-04,Herning,M,4366,2297,4362,2296,4,1
2021-04-04,Holstebro,K,5607,2938,5606,2936,1,2
2021-04-04,Holstebro,M,2933,1524,2932,1523,1,1
2021-04-04,Lemvig,K,1904,1057,1902,1057,2,0
2021-04-04,Lemvig,M,1158,602,1158,602,0,0
2021-04-04,Struer,K,2068,1138,2065,1137,3,1
2021-04-04,Struer,M,1206,676,1204,675,2,1
2021-04-04,Syddjurs,K,3688,2006,3677,2004,11,2
2021-04-04,Syddjurs,M,2275,1194,2261,1194,14,0
2021-04-04,Norddjurs,K,3513,2049,3511,2047,2,2
2021-04-04,Norddjurs,M,1977,1078,1975,1077,2,1
2021-04-04,Favrskov,K,3983,2138,3979,2138,4,0
2021-04-04,Favrskov,M,2012,1048,2002,1048,10,0
2021-04-04,Odder,K,2195,1233,2192,1233,3,0
2021-04-04,Odder,M,1194,651,1189,651,5,0
2021-04-04,Randers,K,8660,4605,8651,4601,9,4
