"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,62087,30068,9.7,4.7,638788
Frederiksberg,13945,6944,13.5,6.7,103274
Ballerup,7397,3524,15.1,7.2,49053
Brøndby,5400,2795,15.3,7.9,35376
Dragør,2346,1206,16.1,8.3,14553
Gentofte,11114,5886,15.0,7.9,74330
Gladsaxe,9479,5035,13.7,7.3,69095
Glostrup,3777,2185,16.1,9.3,23490
Herlev,4420,2373,15.4,8.2,28764
Albertslund,3911,2073,14.4,7.6,27167
Hvidovre,7878,4470,14.8,8.4,53323
Høje Tåstrup,7428,3718,14.3,7.1,52116
Lyngby-Taarbæk,8305,4541,14.6,8.0,56918
Rødovre,5734,3064,13.9,7.4,41199
Ishøj,2945,1422,12.8,6.2,23079
Tårnby,6039,3168,14.1,7.4,42679
Vallensbæk,2629,1268,15.9,7.7,16557
Furesø,6407,3438,15.6,8.4,40987
Allerød,3906,2104,15.1,8.1,25872
Fredensborg,6248,3450,15.2,8.4,40985
Helsingør,10235,5277,16.2,8.4,63043
Hillerød,8428,4349,16.3,8.4,51702
Hørsholm,4357,2470,17.5,9.9,24857
Rudersdal,9200,4934,16.1,8.7,57030
Egedal,6010,2746,13.7,6.3,43713
Frederikssund,7773,3765,17.0,8.3,45628
Greve,6748,3545,13.3,7.0,50597
Køge,8359,4245,13.6,6.9,61550
Halsnæs,5541,2545,17.6,8.1,31468
Roskilde,12842,6543,14.5,7.4,88745
Solrød,3005,1570,12.8,6.7,23456
Gribskov,6974,3408,17.0,8.3,41039
Odsherred,5655,2588,17.2,7.9,32933
Holbæk,11039,5129,15.3,7.1,72021
Faxe,5046,2512,13.7,6.8,36785
Kalundborg,7360,3321,15.2,6.9,48412
Ringsted,4376,2054,12.5,5.9,35005
Slagelse,13266,5264,16.7,6.6,79313
Stevns,3508,1635,15.1,7.0,23229
Sorø,4849,2051,16.2,6.8,29949
Lejre,4166,2041,14.7,7.2,28358
Lolland,6569,2996,16.3,7.4,40387
Næstved,12795,6114,15.4,7.3,83354
Guldborgsund,10869,4845,18.0,8.0,60361
Vordingborg,7299,3375,16.1,7.5,45217
Bornholm,7374,3296,18.6,8.3,39745
Middelfart,5896,3533,15.0,9.0,39306
Assens,5499,2881,13.5,7.0,40884
Faaborg-Midtfyn,7131,3816,13.8,7.4,51667
Kerteminde,3550,1816,14.9,7.6,23849
Nyborg,4763,2244,14.9,7.0,31976
Odense,27728,14036,13.5,6.8,204932
Svendborg,9187,5403,15.6,9.2,58831
Nordfyn,4059,2098,13.7,7.1,29543
Langeland,2096,1111,17.0,9.0,12351
Ærø,966,572,16.1,9.5,5996
Haderslev,6379,3919,11.5,7.1,55367
Billund,3229,1933,12.2,7.3,26508
Sønderborg,9549,5831,12.9,7.9,73784
Tønder,4205,2754,11.4,7.4,37038
Esbjerg,17123,9214,14.8,8.0,115577
Fanø,478,315,13.9,9.2,3438
Varde,6814,4089,13.7,8.2,49717
Vejen,5580,3465,13.0,8.1,42803
Aabenraa,6144,3784,10.5,6.5,58567
Fredericia,7097,4390,13.8,8.5,51367
Horsens,11353,5873,12.3,6.3,92655
Kolding,11268,6991,12.1,7.5,93118
Vejle,15132,8785,12.9,7.5,117586
Herning,12621,6774,14.1,7.6,89339
Holstebro,8753,4588,14.9,7.8,58670
Lemvig,3069,1670,15.7,8.5,19547
Struer,3571,1881,17.2,9.0,20815
Syddjurs,6231,3341,14.4,7.7,43383
Norddjurs,5586,3266,15.1,8.8,36986
Favrskov,6171,3291,12.7,6.8,48494
Odder,3480,1928,15.1,8.4,23020
Randers,13595,7278,13.8,7.4,98361
Silkeborg,13425,6774,14.0,7.1,95984
Samsø,715,467,19.3,12.6,3701
Skanderborg,8033,3864,12.7,6.1,63469
Århus,42749,20327,12.1,5.8,352418
Ikast-Brande,5361,2769,12.9,6.7,41581
Ringkøbing-Skjern,8139,4331,14.5,7.7,56153
Hedensted,6135,3314,13.1,7.1,46902
Morsø,3326,2068,16.6,10.3,20072
Skive,7170,4017,15.8,8.9,45382
Thisted,5970,3225,13.8,7.5,43122
Viborg,15084,7979,15.6,8.3,96703
Brønderslev,5280,2648,14.6,7.3,36115
Frederikshavn,9615,4814,16.3,8.2,58953
Vesthimmerland,5874,2806,16.2,7.7,36355
Læsø,404,188,22.7,10.6,1781
Rebild,3993,2017,13.1,6.6,30529
Mariagerfjord,6123,3205,14.7,7.7,41594
Jammerbugt,5288,2559,13.8,6.7,38187
Aalborg,29294,14754,13.3,6.7,219607
Hjørring,9917,5048,15.5,7.9,64107
