"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-17,1081,Nordjylland,1,1081
2021-01-17,1082,Midtjylland,1,1082
2021-01-17,1083,Syddanmark,467,1083
2021-01-17,1084,Hovedstaden,36,1084
2021-01-17,1085,Sjælland,197,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,163,1082
2021-01-18,1083,Syddanmark,512,1083
2021-01-18,1084,Hovedstaden,134,1084
2021-01-18,1085,Sjælland,1298,1085
2021-01-19,1081,Nordjylland,2,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,454,1083
2021-01-19,1084,Hovedstaden,166,1084
2021-01-19,1085,Sjælland,1440,1085
2021-01-20,1081,Nordjylland,2,1081
2021-01-20,1082,Midtjylland,99,1082
2021-01-20,1083,Syddanmark,311,1083
2021-01-20,1084,Hovedstaden,124,1084
2021-01-20,1085,Sjælland,1338,1085
2021-01-21,1081,Nordjylland,10,1081
2021-01-21,1082,Midtjylland,577,1082
2021-01-21,1083,Syddanmark,449,1083
2021-01-21,1084,Hovedstaden,114,1084
2021-01-21,1085,Sjælland,1186,1085
2021-01-22,1081,Nordjylland,2475,1081
2021-01-22,1082,Midtjylland,1188,1082
2021-01-22,1083,Syddanmark,1461,1083
2021-01-22,1084,Hovedstaden,74,1084
2021-01-22,1085,Sjælland,450,1085
2021-01-23,1081,Nordjylland,1359,1081
2021-01-23,1082,Midtjylland,1066,1082
2021-01-23,1083,Syddanmark,174,1083
2021-01-23,1084,Hovedstaden,4178,1084
2021-01-23,1085,Sjælland,360,1085
2021-01-24,1081,Nordjylland,638,1081
2021-01-24,1082,Midtjylland,1341,1082
2021-01-24,1083,Syddanmark,226,1083
2021-01-24,1084,Hovedstaden,4048,1084
2021-01-24,1085,Sjælland,270,1085
2021-01-25,1081,Nordjylland,11,1081
2021-01-25,1082,Midtjylland,167,1082
2021-01-25,1083,Syddanmark,1803,1083
2021-01-25,1084,Hovedstaden,246,1084
2021-01-25,1085,Sjælland,263,1085
2021-01-26,1081,Nordjylland,154,1081
2021-01-26,1082,Midtjylland,44,1082
2021-01-26,1083,Syddanmark,964,1083
2021-01-26,1084,Hovedstaden,138,1084
2021-01-26,1085,Sjælland,433,1085
2021-01-27,1081,Nordjylland,223,1081
2021-01-27,1082,Midtjylland,1119,1082
2021-01-27,1083,Syddanmark,1105,1083
2021-01-27,1084,Hovedstaden,630,1084
2021-01-27,1085,Sjælland,1287,1085
2021-01-28,1081,Nordjylland,518,1081
2021-01-28,1082,Midtjylland,1784,1082
2021-01-28,1083,Syddanmark,484,1083
2021-01-28,1084,Hovedstaden,3776,1084
2021-01-28,1085,Sjælland,1553,1085
2021-01-29,1081,Nordjylland,1914,1081
2021-01-29,1082,Midtjylland,3819,1082
2021-01-29,1083,Syddanmark,3031,1083
2021-01-29,1084,Hovedstaden,7610,1084
2021-01-29,1085,Sjælland,1885,1085
2021-01-30,1081,Nordjylland,1856,1081
2021-01-30,1082,Midtjylland,2627,1082
2021-01-30,1083,Syddanmark,2785,1083
2021-01-30,1084,Hovedstaden,4660,1084
2021-01-30,1085,Sjælland,975,1085
2021-01-31,1081,Nordjylland,1590,1081
2021-01-31,1082,Midtjylland,6230,1082
2021-01-31,1083,Syddanmark,1233,1083
2021-01-31,1084,Hovedstaden,2656,1084
2021-01-31,1085,Sjælland,565,1085
2021-02-01,1081,Nordjylland,614,1081
2021-02-01,1082,Midtjylland,1488,1082
2021-02-01,1083,Syddanmark,3145,1083
2021-02-01,1084,Hovedstaden,1883,1084
2021-02-01,1085,Sjælland,756,1085
2021-02-02,1081,Nordjylland,370,1081
2021-02-02,1082,Midtjylland,1006,1082
2021-02-02,1083,Syddanmark,1084,1083
2021-02-02,1084,Hovedstaden,106,1084
2021-02-02,1085,Sjælland,451,1085
2021-02-03,1081,Nordjylland,528,1081
2021-02-03,1082,Midtjylland,1393,1082
2021-02-03,1083,Syddanmark,538,1083
2021-02-03,1084,Hovedstaden,3001,1084
2021-02-03,1085,Sjælland,718,1085
