"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,2,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,631,270
Hovedstaden,10-19,M,374,203
Hovedstaden,20-29,K,12251,4796
Hovedstaden,20-29,M,5026,2103
Hovedstaden,30-39,K,13342,6534
Hovedstaden,30-39,M,6522,3527
Hovedstaden,40-49,K,18962,9525
Hovedstaden,40-49,M,7829,4453
Hovedstaden,50-59,K,22346,11940
Hovedstaden,50-59,M,10863,6875
Hovedstaden,60-69,K,26245,13033
Hovedstaden,60-69,M,19626,9611
Hovedstaden,70-79,K,72456,13825
Hovedstaden,70-79,M,61084,12409
Hovedstaden,80-89,K,36470,27944
Hovedstaden,80-89,M,24542,18697
Hovedstaden,90+,K,8739,8294
Hovedstaden,90+,M,3230,3072
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,757,386
Midtjylland,10-19,M,308,202
Midtjylland,20-29,K,9936,4031
Midtjylland,20-29,M,3574,1742
Midtjylland,30-39,K,10611,5192
Midtjylland,30-39,M,3954,2140
Midtjylland,40-49,K,15028,7338
Midtjylland,40-49,M,5011,2649
Midtjylland,50-59,K,18180,9110
Midtjylland,50-59,M,6364,3432
Midtjylland,60-69,K,16639,10701
Midtjylland,60-69,M,10323,7085
Midtjylland,70-79,K,45174,10597
Midtjylland,70-79,M,42625,11006
Midtjylland,80-89,K,28093,21743
Midtjylland,80-89,M,21482,16326
Midtjylland,90+,K,6550,6361
Midtjylland,90+,M,2905,2828
NA,0-9,K,0,0
NA,0-9,M,0,0
NA,10-19,K,0,0
NA,10-19,M,0,0
NA,20-29,K,0,0
NA,20-29,M,0,0
NA,30-39,K,0,0
NA,30-39,M,0,0
NA,40-49,K,0,0
NA,40-49,M,1,1
NA,50-59,K,0,0
NA,50-59,M,0,0
NA,60-69,K,0,0
NA,60-69,M,0,0
NA,70-79,K,0,0
NA,70-79,M,0,0
NA,80-89,M,0,0
Nordjylland,0-9,K,0,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,292,143
Nordjylland,10-19,M,118,88
Nordjylland,20-29,K,4050,1765
Nordjylland,20-29,M,1534,925
Nordjylland,30-39,K,4807,2202
Nordjylland,30-39,M,1681,965
Nordjylland,40-49,K,6754,3166
Nordjylland,40-49,M,2252,1246
Nordjylland,50-59,K,8967,4567
Nordjylland,50-59,M,2974,1867
Nordjylland,60-69,K,6664,4320
Nordjylland,60-69,M,3775,2826
Nordjylland,70-79,K,20759,4024
Nordjylland,70-79,M,19638,4079
Nordjylland,80-89,K,14241,12474
Nordjylland,80-89,M,11077,9691
Nordjylland,90+,K,3336,3256
Nordjylland,90+,M,1549,1511
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,380,144
Sjælland,10-19,M,199,107
Sjælland,20-29,K,3926,1508
Sjælland,20-29,M,1649,811
Sjælland,30-39,K,6126,2553
Sjælland,30-39,M,2245,1108
Sjælland,40-49,K,10106,4521
Sjælland,40-49,M,3390,1820
Sjælland,50-59,K,12710,5988
Sjælland,50-59,M,4883,3045
Sjælland,60-69,K,10975,6971
Sjælland,60-69,M,7676,5863
Sjælland,70-79,K,35450,8435
Sjælland,70-79,M,33616,9167
Sjælland,80-89,K,19391,15163
Sjælland,80-89,M,14994,11775
Sjælland,90+,K,4254,4072
Sjælland,90+,M,1819,1743
Syddanmark,0-9,K,1,0
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,615,271
Syddanmark,10-19,M,295,161
Syddanmark,20-29,K,7329,2837
Syddanmark,20-29,M,2879,1446
Syddanmark,30-39,K,9154,4414
Syddanmark,30-39,M,3670,2056
Syddanmark,40-49,K,13897,6777
Syddanmark,40-49,M,4977,3004
Syddanmark,50-59,K,17220,8938
Syddanmark,50-59,M,6991,4491
Syddanmark,60-69,K,13585,8932
Syddanmark,60-69,M,8887,6743
Syddanmark,70-79,K,41759,9213
Syddanmark,70-79,M,39551,9473
Syddanmark,80-89,K,29828,19594
Syddanmark,80-89,M,22604,14386
Syddanmark,90+,K,7008,6778
Syddanmark,90+,M,3012,2928
