"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2020-12-27,1081,Nordjylland,1035,1081
2020-12-27,1082,Midtjylland,1896,1082
2020-12-27,1083,Syddanmark,482,1083
2020-12-27,1084,Hovedstaden,1622,1084
2020-12-27,1085,Sjælland,1334,1085
2020-12-28,1081,Nordjylland,102,1081
2020-12-28,1082,Midtjylland,197,1082
2020-12-28,1083,Syddanmark,664,1083
2020-12-28,1084,Hovedstaden,501,1084
2020-12-28,1085,Sjælland,554,1085
2020-12-29,1081,Nordjylland,322,1081
2020-12-29,1082,Midtjylland,1085,1082
2020-12-29,1083,Syddanmark,1890,1083
2020-12-29,1084,Hovedstaden,3535,1084
2020-12-29,1085,Sjælland,1975,1085
2020-12-30,1081,Nordjylland,2225,1081
2020-12-30,1082,Midtjylland,1240,1082
2020-12-30,1083,Syddanmark,2444,1083
2020-12-30,1084,Hovedstaden,3479,1084
2020-12-30,1085,Sjælland,1878,1085
2020-12-31,1081,Nordjylland,668,1081
2020-12-31,1082,Midtjylland,1128,1082
2020-12-31,1083,Syddanmark,1312,1083
2020-12-31,1084,Hovedstaden,1636,1084
2020-12-31,1085,Sjælland,1310,1085
2021-01-01,1081,Nordjylland,6,1081
2021-01-01,1082,Midtjylland,125,1082
2021-01-01,1083,Syddanmark,664,1083
2021-01-01,1084,Hovedstaden,1207,1084
2021-01-01,1085,Sjælland,290,1085
2021-01-02,1081,Nordjylland,1676,1081
2021-01-02,1082,Midtjylland,2377,1082
2021-01-02,1083,Syddanmark,1953,1083
2021-01-02,1084,Hovedstaden,2309,1084
2021-01-02,1085,Sjælland,393,1085
2021-01-03,1081,Nordjylland,16,1081
2021-01-03,1082,Midtjylland,2939,1082
2021-01-03,1083,Syddanmark,783,1083
2021-01-03,1084,Hovedstaden,2024,1084
2021-01-03,1085,Sjælland,89,1085
2021-01-04,1081,Nordjylland,1021,1081
2021-01-04,1082,Midtjylland,55,1082
2021-01-04,1083,Syddanmark,944,1083
2021-01-04,1084,Hovedstaden,353,1084
2021-01-04,1085,Sjælland,20,1085
2021-01-05,1081,Nordjylland,2161,1081
2021-01-05,1082,Midtjylland,2847,1082
2021-01-05,1083,Syddanmark,1148,1083
2021-01-05,1084,Hovedstaden,6597,1084
2021-01-05,1085,Sjælland,550,1085
2021-01-06,1081,Nordjylland,2748,1081
2021-01-06,1082,Midtjylland,4258,1082
2021-01-06,1083,Syddanmark,3657,1083
2021-01-06,1084,Hovedstaden,6781,1084
2021-01-06,1085,Sjælland,1973,1085
2021-01-07,1081,Nordjylland,1108,1081
2021-01-07,1082,Midtjylland,4313,1082
2021-01-07,1083,Syddanmark,4377,1083
2021-01-07,1084,Hovedstaden,5609,1084
2021-01-07,1085,Sjælland,1814,1085
2021-01-08,1081,Nordjylland,221,1081
2021-01-08,1082,Midtjylland,2708,1082
2021-01-08,1083,Syddanmark,3280,1083
2021-01-08,1084,Hovedstaden,751,1084
2021-01-08,1085,Sjælland,1364,1085
2021-01-09,1081,Nordjylland,34,1081
2021-01-09,1082,Midtjylland,731,1082
2021-01-09,1083,Syddanmark,30,1083
2021-01-09,1084,Hovedstaden,114,1084
2021-01-09,1085,Sjælland,984,1085
2021-01-10,1082,Midtjylland,1,1082
2021-01-10,1083,Syddanmark,17,1083
2021-01-10,1084,Hovedstaden,130,1084
2021-01-10,1085,Sjælland,665,1085
2021-01-11,1081,Nordjylland,2,1081
2021-01-11,1082,Midtjylland,21,1082
2021-01-11,1083,Syddanmark,15,1083
2021-01-11,1084,Hovedstaden,91,1084
2021-01-11,1085,Sjælland,528,1085
2021-01-12,1081,Nordjylland,4,1081
2021-01-12,1082,Midtjylland,13,1082
2021-01-12,1083,Syddanmark,14,1083
2021-01-12,1084,Hovedstaden,70,1084
2021-01-12,1085,Sjælland,362,1085
2021-01-13,1081,Nordjylland,487,1081
2021-01-13,1082,Midtjylland,1963,1082
2021-01-13,1083,Syddanmark,2298,1083
2021-01-13,1084,Hovedstaden,6963,1084
2021-01-13,1085,Sjælland,920,1085
2021-01-14,1081,Nordjylland,693,1081
2021-01-14,1082,Midtjylland,2850,1082
2021-01-14,1083,Syddanmark,3712,1083
2021-01-14,1084,Hovedstaden,8588,1084
2021-01-14,1085,Sjælland,1917,1085
2021-01-15,1081,Nordjylland,1330,1081
2021-01-15,1082,Midtjylland,3203,1082
2021-01-15,1083,Syddanmark,4101,1083
2021-01-15,1084,Hovedstaden,5465,1084
2021-01-15,1085,Sjælland,978,1085
2021-01-16,1081,Nordjylland,1290,1081
2021-01-16,1082,Midtjylland,907,1082
2021-01-16,1083,Syddanmark,1462,1083
2021-01-16,1084,Hovedstaden,853,1084
2021-01-16,1085,Sjælland,56,1085
2021-01-17,1081,Nordjylland,1120,1081
2021-01-17,1082,Midtjylland,24,1082
2021-01-17,1083,Syddanmark,1261,1083
2021-01-17,1084,Hovedstaden,48,1084
2021-01-17,1085,Sjælland,33,1085
2021-01-18,1081,Nordjylland,673,1081
2021-01-18,1082,Midtjylland,1622,1082
2021-01-18,1083,Syddanmark,1407,1083
2021-01-18,1084,Hovedstaden,27,1084
2021-01-18,1085,Sjælland,99,1085
2021-01-19,1081,Nordjylland,25,1081
2021-01-19,1082,Midtjylland,1825,1082
2021-01-19,1083,Syddanmark,411,1083
2021-01-19,1084,Hovedstaden,38,1084
2021-01-19,1085,Sjælland,164,1085
2021-01-20,1081,Nordjylland,18,1081
2021-01-20,1082,Midtjylland,997,1082
2021-01-20,1083,Syddanmark,206,1083
2021-01-20,1084,Hovedstaden,17,1084
2021-01-20,1085,Sjælland,251,1085
2021-01-21,1081,Nordjylland,14,1081
2021-01-21,1082,Midtjylland,1165,1082
2021-01-21,1083,Syddanmark,135,1083
2021-01-21,1084,Hovedstaden,22,1084
2021-01-21,1085,Sjælland,172,1085
2021-01-22,1081,Nordjylland,164,1081
2021-01-22,1082,Midtjylland,175,1082
2021-01-22,1083,Syddanmark,144,1083
2021-01-22,1084,Hovedstaden,43,1084
2021-01-22,1085,Sjælland,132,1085
2021-01-23,1081,Nordjylland,60,1081
2021-01-23,1082,Midtjylland,96,1082
2021-01-23,1083,Syddanmark,1,1083
2021-01-23,1084,Hovedstaden,555,1084
2021-01-23,1085,Sjælland,27,1085
2021-01-24,1081,Nordjylland,21,1081
2021-01-24,1082,Midtjylland,78,1082
2021-01-24,1083,Syddanmark,2,1083
2021-01-24,1084,Hovedstaden,479,1084
2021-01-24,1085,Sjælland,18,1085
2021-01-25,1081,Nordjylland,23,1081
2021-01-25,1082,Midtjylland,8,1082
2021-01-25,1083,Syddanmark,140,1083
2021-01-25,1084,Hovedstaden,49,1084
2021-01-25,1085,Sjælland,56,1085
2021-01-26,1081,Nordjylland,2,1081
2021-01-26,1082,Midtjylland,9,1082
2021-01-26,1083,Syddanmark,100,1083
2021-01-26,1084,Hovedstaden,11,1084
2021-01-26,1085,Sjælland,94,1085
2021-01-27,1081,Nordjylland,1,1081
2021-01-27,1082,Midtjylland,34,1082
2021-01-27,1083,Syddanmark,83,1083
2021-01-27,1084,Hovedstaden,10,1084
2021-01-27,1085,Sjælland,74,1085
2021-01-28,1081,Nordjylland,23,1081
2021-01-28,1082,Midtjylland,13,1082
2021-01-28,1083,Syddanmark,35,1083
2021-01-28,1084,Hovedstaden,14,1084
2021-01-28,1085,Sjælland,134,1085
2021-01-29,1081,Nordjylland,63,1081
2021-01-29,1082,Midtjylland,278,1082
2021-01-29,1083,Syddanmark,71,1083
2021-01-29,1084,Hovedstaden,433,1084
2021-01-29,1085,Sjælland,253,1085
2021-01-30,1081,Nordjylland,66,1081
2021-01-30,1082,Midtjylland,178,1082
2021-01-30,1083,Syddanmark,122,1083
2021-01-30,1084,Hovedstaden,407,1084
2021-01-30,1085,Sjælland,416,1085
2021-01-31,1081,Nordjylland,96,1081
2021-01-31,1082,Midtjylland,426,1082
2021-01-31,1083,Syddanmark,139,1083
2021-01-31,1084,Hovedstaden,325,1084
2021-01-31,1085,Sjælland,220,1085
2021-02-01,1081,Nordjylland,95,1081
2021-02-01,1082,Midtjylland,89,1082
2021-02-01,1083,Syddanmark,201,1083
2021-02-01,1084,Hovedstaden,54,1084
2021-02-01,1085,Sjælland,308,1085
2021-02-02,1081,Nordjylland,16,1081
2021-02-02,1082,Midtjylland,79,1082
2021-02-02,1083,Syddanmark,538,1083
2021-02-02,1084,Hovedstaden,46,1084
2021-02-02,1085,Sjælland,1342,1085
2021-02-03,1081,Nordjylland,4,1081
2021-02-03,1082,Midtjylland,22,1082
2021-02-03,1083,Syddanmark,432,1083
2021-02-03,1084,Hovedstaden,48,1084
2021-02-03,1085,Sjælland,1024,1085
2021-02-04,1081,Nordjylland,865,1081
2021-02-04,1082,Midtjylland,47,1082
2021-02-04,1083,Syddanmark,356,1083
2021-02-04,1084,Hovedstaden,50,1084
2021-02-04,1085,Sjælland,105,1085
2021-02-05,1081,Nordjylland,793,1081
2021-02-05,1082,Midtjylland,288,1082
