"Vaccinedato","Regionsnavn","Kumulerede antal færdigvacc.","Antal borgere","Vaccinations dækning (%)"
2021-01-09,Hovedstaden,1,1856681,0.00
2021-01-13,Hovedstaden,2,1856681,0.00
2021-01-15,Hovedstaden,7,1856681,0.00
2021-01-16,Hovedstaden,7,1856681,0.00
2021-01-17,Hovedstaden,45,1856681,0.00
2021-01-18,Hovedstaden,181,1856681,0.01
2021-01-19,Hovedstaden,347,1856681,0.02
2021-01-20,Hovedstaden,473,1856681,0.03
2021-01-21,Hovedstaden,588,1856681,0.03
2021-01-22,Hovedstaden,663,1856681,0.04
2021-01-23,Hovedstaden,4819,1856681,0.26
2021-01-24,Hovedstaden,8837,1856681,0.48
2021-01-25,Hovedstaden,9081,1856681,0.49
2021-01-26,Hovedstaden,9218,1856681,0.50
2021-01-27,Hovedstaden,9850,1856681,0.53
2021-01-28,Hovedstaden,13623,1856681,0.73
2021-01-29,Hovedstaden,21219,1856681,1.14
2021-01-30,Hovedstaden,25847,1856681,1.39
2021-01-31,Hovedstaden,28489,1856681,1.53
2021-02-01,Hovedstaden,30376,1856681,1.64
2021-02-02,Hovedstaden,30488,1856681,1.64
2021-02-03,Hovedstaden,33486,1856681,1.80
2021-02-04,Hovedstaden,40001,1856681,2.15
2021-02-05,Hovedstaden,44903,1856681,2.42
2021-02-06,Hovedstaden,47931,1856681,2.58
2021-02-07,Hovedstaden,48501,1856681,2.61
2021-02-08,Hovedstaden,49633,1856681,2.67
2021-02-09,Hovedstaden,49661,1856681,2.67
2021-02-10,Hovedstaden,50600,1856681,2.73
2021-02-11,Hovedstaden,50839,1856681,2.74
2021-02-12,Hovedstaden,55005,1856681,2.96
2021-02-13,Hovedstaden,55010,1856681,2.96
2021-02-14,Hovedstaden,55021,1856681,2.96
2021-02-15,Hovedstaden,56397,1856681,3.04
2021-02-16,Hovedstaden,56809,1856681,3.06
2021-02-17,Hovedstaden,56838,1856681,3.06
2021-02-18,Hovedstaden,56911,1856681,3.07
2021-02-19,Hovedstaden,56960,1856681,3.07
2021-02-20,Hovedstaden,57059,1856681,3.07
2021-02-21,Hovedstaden,57163,1856681,3.08
2021-02-22,Hovedstaden,57307,1856681,3.09
2021-02-23,Hovedstaden,57455,1856681,3.09
2021-02-24,Hovedstaden,57519,1856681,3.10
2021-02-25,Hovedstaden,57548,1856681,3.10
2021-02-26,Hovedstaden,57607,1856681,3.10
2021-02-27,Hovedstaden,58737,1856681,3.16
2021-02-28,Hovedstaden,59890,1856681,3.23
2021-03-01,Hovedstaden,60111,1856681,3.24
2021-03-02,Hovedstaden,60362,1856681,3.25
2021-03-03,Hovedstaden,60399,1856681,3.25
2021-03-04,Hovedstaden,60593,1856681,3.26
2021-03-05,Hovedstaden,60851,1856681,3.28
2021-03-06,Hovedstaden,60943,1856681,3.28
2021-03-07,Hovedstaden,61262,1856681,3.30
2021-03-08,Hovedstaden,61497,1856681,3.31
2021-03-09,Hovedstaden,62968,1856681,3.39
2021-03-10,Hovedstaden,64679,1856681,3.48
2021-03-11,Hovedstaden,69118,1856681,3.72
2021-03-12,Hovedstaden,73996,1856681,3.99
2021-03-13,Hovedstaden,74080,1856681,3.99
2021-03-14,Hovedstaden,77334,1856681,4.17
2021-03-15,Hovedstaden,80112,1856681,4.31
2021-03-16,Hovedstaden,83666,1856681,4.51
2021-03-17,Hovedstaden,88119,1856681,4.75
2021-03-18,Hovedstaden,92533,1856681,4.98
2021-03-19,Hovedstaden,93704,1856681,5.05
2021-03-20,Hovedstaden,93786,1856681,5.05
2021-03-21,Hovedstaden,95881,1856681,5.16
2021-03-22,Hovedstaden,95963,1856681,5.17
2021-03-23,Hovedstaden,96062,1856681,5.17
2021-03-24,Hovedstaden,104708,1856681,5.64
2021-03-25,Hovedstaden,109279,1856681,5.89
2021-03-26,Hovedstaden,111989,1856681,6.03
2021-03-27,Hovedstaden,112028,1856681,6.03
2021-03-28,Hovedstaden,112060,1856681,6.04
2021-03-29,Hovedstaden,112620,1856681,6.07
2021-03-30,Hovedstaden,112901,1856681,6.08
2021-03-31,Hovedstaden,116725,1856681,6.29
2021-04-01,Hovedstaden,121463,1856681,6.54
2021-04-02,Hovedstaden,125214,1856681,6.74
2021-04-03,Hovedstaden,125296,1856681,6.75
2021-04-04,Hovedstaden,125332,1856681,6.75
2021-04-05,Hovedstaden,125356,1856681,6.75
2021-04-06,Hovedstaden,125533,1856681,6.76
2021-04-07,Hovedstaden,126098,1856681,6.79
2021-04-08,Hovedstaden,127767,1856681,6.88
2021-04-09,Hovedstaden,131182,1856681,7.07
2021-04-10,Hovedstaden,132467,1856681,7.13
2021-04-11,Hovedstaden,132589,1856681,7.14
2021-04-12,Hovedstaden,139492,1856681,7.51
2021-04-13,Hovedstaden,140567,1856681,7.57
2021-04-14,Hovedstaden,145138,1856681,7.82
2021-04-15,Hovedstaden,146704,1856681,7.90
2021-04-16,Hovedstaden,149744,1856681,8.07
2021-04-17,Hovedstaden,149942,1856681,8.08
2021-04-18,Hovedstaden,150122,1856681,8.09
2021-04-19,Hovedstaden,152185,1856681,8.20
2021-04-20,Hovedstaden,157211,1856681,8.47
2021-04-21,Hovedstaden,160981,1856681,8.67
2021-04-22,Hovedstaden,161106,1856681,8.68
2021-04-23,Hovedstaden,168081,1856681,9.05
2021-04-24,Hovedstaden,170074,1856681,9.16
2021-04-25,Hovedstaden,170385,1856681,9.18
2021-04-26,Hovedstaden,173530,1856681,9.35
2021-04-27,Hovedstaden,183236,1856681,9.87
2021-04-28,Hovedstaden,191437,1856681,10.3
2021-04-29,Hovedstaden,198656,1856681,10.7
2021-04-30,Hovedstaden,198855,1856681,10.7
2021-05-01,Hovedstaden,199317,1856681,10.7
2021-05-02,Hovedstaden,207918,1856681,11.2
2021-05-03,Hovedstaden,215891,1856681,11.6
2021-05-04,Hovedstaden,224537,1856681,12.1
2021-05-05,Hovedstaden,236535,1856681,12.7
2021-05-06,Hovedstaden,246535,1856681,13.3
2021-05-07,Hovedstaden,254057,1856681,13.7
2021-05-08,Hovedstaden,273764,1856681,14.7
2021-05-09,Hovedstaden,281927,1856681,15.2
2021-05-10,Hovedstaden,287328,1856681,15.5
2021-01-09,Midtjylland,0,1334224,0.00
2021-01-13,Midtjylland,0,1334224,0.00
2021-01-15,Midtjylland,0,1334224,0.00
2021-01-16,Midtjylland,7,1334224,0.00
2021-01-17,Midtjylland,9,1334224,0.00
2021-01-18,Midtjylland,174,1334224,0.01
2021-01-19,Midtjylland,183,1334224,0.01
2021-01-20,Midtjylland,282,1334224,0.02
2021-01-21,Midtjylland,859,1334224,0.06
2021-01-22,Midtjylland,2047,1334224,0.15
2021-01-23,Midtjylland,3099,1334224,0.23
2021-01-24,Midtjylland,4408,1334224,0.33
2021-01-25,Midtjylland,4575,1334224,0.34
2021-01-26,Midtjylland,4620,1334224,0.35
2021-01-27,Midtjylland,5740,1334224,0.43
2021-01-28,Midtjylland,7524,1334224,0.56
2021-01-29,Midtjylland,11334,1334224,0.85
2021-01-30,Midtjylland,13943,1334224,1.05
2021-01-31,Midtjylland,20113,1334224,1.51
2021-02-01,Midtjylland,21604,1334224,1.62
2021-02-02,Midtjylland,22607,1334224,1.69
2021-02-03,Midtjylland,23995,1334224,1.80
2021-02-04,Midtjylland,25767,1334224,1.93
2021-02-05,Midtjylland,28172,1334224,2.11
2021-02-06,Midtjylland,28657,1334224,2.15
2021-02-07,Midtjylland,28733,1334224,2.15
2021-02-08,Midtjylland,31402,1334224,2.35
2021-02-09,Midtjylland,34035,1334224,2.55
2021-02-10,Midtjylland,35930,1334224,2.69
2021-02-11,Midtjylland,37528,1334224,2.81
2021-02-12,Midtjylland,38540,1334224,2.89
2021-02-13,Midtjylland,38576,1334224,2.89
2021-02-14,Midtjylland,38604,1334224,2.89
2021-02-15,Midtjylland,39078,1334224,2.93
2021-02-16,Midtjylland,39312,1334224,2.95
2021-02-17,Midtjylland,39428,1334224,2.96
2021-02-18,Midtjylland,39499,1334224,2.96
2021-02-19,Midtjylland,39609,1334224,2.97
2021-02-20,Midtjylland,39612,1334224,2.97
2021-02-21,Midtjylland,39654,1334224,2.97
2021-02-22,Midtjylland,40019,1334224,3.00
2021-02-23,Midtjylland,40293,1334224,3.02
2021-02-24,Midtjylland,40515,1334224,3.04
2021-02-25,Midtjylland,40675,1334224,3.05
2021-02-26,Midtjylland,41065,1334224,3.08
2021-02-27,Midtjylland,41068,1334224,3.08
2021-02-28,Midtjylland,41070,1334224,3.08
2021-03-01,Midtjylland,41218,1334224,3.09
2021-03-02,Midtjylland,41396,1334224,3.10
2021-03-03,Midtjylland,41611,1334224,3.12
2021-03-04,Midtjylland,42228,1334224,3.16
2021-03-05,Midtjylland,44842,1334224,3.36
2021-03-06,Midtjylland,46388,1334224,3.48
2021-03-07,Midtjylland,47506,1334224,3.56
2021-03-08,Midtjylland,50954,1334224,3.82
2021-03-09,Midtjylland,53738,1334224,4.03
