"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-27,Nationalt,6345,5846187,0.11,6345
2020-12-28,Nationalt,2013,5846187,0.14,8358
2020-12-29,Nationalt,8775,5846187,0.29,17133
2020-12-30,Nationalt,11225,5846187,0.49,28358
2020-12-31,Nationalt,6030,5846187,0.59,34388
2021-01-01,Nationalt,2289,5846187,0.63,36677
2021-01-02,Nationalt,8663,5846187,0.78,45340
2021-01-03,Nationalt,5822,5846187,0.88,51162
2021-01-04,Nationalt,2393,5846187,0.92,53555
2021-01-05,Nationalt,13248,5846187,1.14,66803
2021-01-06,Nationalt,19338,5846187,1.47,86141
2021-01-07,Nationalt,17151,5846187,1.77,103292
2021-01-08,Nationalt,8292,5846187,1.91,111584
2021-01-09,Nationalt,1890,5846187,1.94,113474
2021-01-10,Nationalt,813,5846187,1.95,114287
2021-01-11,Nationalt,657,5846187,1.97,114944
2021-01-12,Nationalt,464,5846187,1.97,115408
2021-01-13,Nationalt,12619,5846187,2.19,128027
2021-01-14,Nationalt,17723,5846187,2.49,145750
2021-01-15,Nationalt,15030,5846187,2.75,160780
2021-01-16,Nationalt,4550,5846187,2.83,165330
2021-01-17,Nationalt,2472,5846187,2.87,167802
2021-01-18,Nationalt,3814,5846187,2.94,171616
2021-01-19,Nationalt,2454,5846187,2.98,174070
2021-01-20,Nationalt,1481,5846187,3.00,175551
2021-01-21,Nationalt,1500,5846187,3.03,177051
2021-01-22,Nationalt,657,5846187,3.04,177708
2021-01-23,Nationalt,734,5846187,3.05,178442
2021-01-24,Nationalt,595,5846187,3.06,179037
2021-01-25,Nationalt,275,5846187,3.07,179312
2021-01-26,Nationalt,213,5846187,3.07,179525
2021-01-27,Nationalt,202,5846187,3.07,179727
2021-01-28,Nationalt,219,5846187,3.08,179946
2021-01-29,Nationalt,1091,5846187,3.10,181037
2021-01-30,Nationalt,1188,5846187,3.12,182225
2021-01-31,Nationalt,1197,5846187,3.14,183422
2021-02-01,Nationalt,748,5846187,3.15,184170
2021-02-02,Nationalt,2011,5846187,3.18,186181
2021-02-03,Nationalt,1515,5846187,3.21,187696
2021-02-04,Nationalt,1420,5846187,3.23,189116
2021-02-05,Nationalt,1573,5846187,3.26,190689
2021-02-06,Nationalt,1009,5846187,3.28,191698
2021-02-07,Nationalt,1887,5846187,3.31,193585
2021-02-08,Nationalt,2525,5846187,3.35,196110
2021-02-09,Nationalt,3534,5846187,3.41,199644
2021-02-10,Nationalt,3273,5846187,3.47,202917
2021-02-11,Nationalt,5673,5846187,3.57,208590
2021-02-12,Nationalt,12061,5846187,3.77,220651
2021-02-13,Nationalt,6551,5846187,3.89,227202
2021-02-14,Nationalt,6209,5846187,3.99,233411
2021-02-15,Nationalt,13805,5846187,4.23,247216
2021-02-16,Nationalt,13217,5846187,4.45,260433
2021-02-17,Nationalt,10445,5846187,4.63,270878
2021-02-18,Nationalt,11458,5846187,4.83,282336
2021-02-19,Nationalt,13864,5846187,5.07,296200
2021-02-20,Nationalt,10475,5846187,5.25,306675
2021-02-21,Nationalt,10783,5846187,5.43,317458
2021-02-22,Nationalt,13488,5846187,5.66,330946
2021-02-23,Nationalt,14374,5846187,5.91,345320
2021-02-24,Nationalt,13676,5846187,6.14,358996
2021-02-25,Nationalt,14500,5846187,6.39,373496
2021-02-26,Nationalt,35971,5846187,7.00,409467
2021-02-27,Nationalt,6662,5846187,7.12,416129
2021-02-28,Nationalt,10983,5846187,7.31,427112
2021-03-01,Nationalt,19741,5846187,7.64,446853
2021-03-02,Nationalt,16698,5846187,7.93,463551
2021-03-03,Nationalt,12972,5846187,8.15,476523
2021-03-04,Nationalt,17415,5846187,8.45,493938
2021-03-05,Nationalt,16610,5846187,8.73,510548
2021-03-06,Nationalt,14629,5846187,8.98,525177
2021-03-07,Nationalt,12051,5846187,9.19,537228
2021-03-08,Nationalt,9603,5846187,9.35,546831
2021-03-09,Nationalt,10908,5846187,9.54,557739
2021-03-10,Nationalt,12074,5846187,9.75,569813
2021-03-11,Nationalt,4571,5846187,9.82,574384
2021-03-12,Nationalt,3359,5846187,9.88,577743
2021-03-13,Nationalt,4533,5846187,9.96,582276
2021-03-14,Nationalt,1233,5846187,9.98,583509
2021-03-15,Nationalt,2818,5846187,10.0,586327
2021-03-16,Nationalt,6819,5846187,10.1,593146
2021-03-17,Nationalt,10770,5846187,10.3,603916
2021-03-18,Nationalt,14691,5846187,10.6,618607
2021-03-19,Nationalt,7848,5846187,10.7,626455
2021-03-20,Nationalt,2947,5846187,10.8,629402
2021-03-21,Nationalt,4981,5846187,10.9,634383
2021-03-22,Nationalt,4097,5846187,10.9,638480
2021-03-23,Nationalt,6141,5846187,11.0,644621
2021-03-24,Nationalt,9880,5846187,11.2,654501
2021-03-25,Nationalt,7749,5846187,11.3,662250
2021-03-26,Nationalt,6170,5846187,11.4,668420
2021-03-27,Nationalt,9994,5846187,11.6,678414
2021-03-28,Nationalt,10811,5846187,11.8,689225
2021-03-29,Nationalt,18048,5846187,12.1,707273
2021-03-30,Nationalt,21720,5846187,12.5,728993
2021-03-31,Nationalt,13125,5846187,12.7,742118
2021-04-01,Nationalt,4185,5846187,12.8,746303
2021-04-02,Nationalt,4894,5846187,12.8,751197
2021-04-03,Nationalt,12134,5846187,13.1,763331
2021-04-04,Nationalt,11707,5846187,13.3,775038
2021-04-05,Nationalt,12317,5846187,13.5,787355
2021-04-06,Nationalt,16013,5846187,13.7,803368
2021-04-07,Nationalt,16623,5846187,14.0,819991
2021-04-08,Nationalt,13716,5846187,14.3,833707
2021-04-09,Nationalt,16502,5846187,14.5,850209
2021-04-10,Nationalt,16773,5846187,14.8,866982
2021-04-11,Nationalt,14900,5846187,15.1,881882
2021-04-12,Nationalt,94182,5846187,16.7,976064
2021-04-13,Nationalt,18530,5846187,17.0,994594
2021-04-14,Nationalt,11412,5846187,17.2,1006006
2021-04-15,Nationalt,15278,5846187,17.5,1021284
2021-04-16,Nationalt,17415,5846187,17.8,1038699
2021-04-17,Nationalt,18812,5846187,18.1,1057511
2021-04-18,Nationalt,14497,5846187,18.3,1072008
2021-04-19,Nationalt,24770,5846187,18.8,1096778
2021-04-20,Nationalt,21976,5846187,19.1,1118754
2021-04-21,Nationalt,22470,5846187,19.5,1141224
2021-04-22,Nationalt,28166,5846187,20.0,1169390
2021-04-23,Nationalt,22162,5846187,20.4,1191552
2021-04-24,Nationalt,14901,5846187,20.6,1206453
2021-04-25,Nationalt,15180,5846187,20.9,1221633
2021-04-26,Nationalt,31486,5846187,21.4,1253119
2021-04-27,Nationalt,26549,5846187,21.9,1279668
2021-04-28,Nationalt,24116,5846187,22.3,1303784
2021-04-29,Nationalt,25895,5846187,22.7,1329679
2021-04-30,Nationalt,13395,5846187,23.0,1343074
2021-05-01,Nationalt,7251,5846187,23.1,1350325
2021-05-02,Nationalt,16636,5846187,23.4,1366961
2021-05-03,Nationalt,20432,5846187,23.7,1387393
2021-05-04,Nationalt,27580,5846187,24.2,1414973
2021-05-05,Nationalt,26756,5846187,24.7,1441729
2021-05-06,Nationalt,21482,5846187,25.0,1463211
2021-05-07,Nationalt,16457,5846187,25.3,1479668
2021-05-08,Nationalt,9393,5846187,25.5,1489061
2021-05-09,Nationalt,15897,5846187,25.7,1504958
2021-05-10,Nationalt,26488,5846187,26.2,1531446
2021-05-11,Nationalt,29588,5846187,26.7,1561034
2021-05-12,Nationalt,26009,5846187,27.1,1587043
2021-05-13,Nationalt,19590,5846187,27.5,1606633
