Regionsnavn_current,antal_foerste_vacc,antal_faerdig_vacc,Autorisation,antal_bor
Hovedstaden,1158,934,Bioanalytiker,1202
Hovedstaden,4009,2981,"Ergoterapeut, Fysioterapeut, Kiropraktor",4065
Hovedstaden,48463,35746,Ingen autorisation,49940
Hovedstaden,8531,7556,Læge,8686
Hovedstaden,7957,6774,Social- og sundhedsassistent,8161
Hovedstaden,15329,13187,Sygeplejerske,15590
Hovedstaden,1701,1107,"Tandlæge, Tandplejer, Klinisk tandtekniker",1718
Hovedstaden,2525,1936,Øvrige autoriserede,2577
Midtjylland,1025,688,Bioanalytiker,1071
Midtjylland,3695,2056,"Ergoterapeut, Fysioterapeut, Kiropraktor",3797
Midtjylland,37581,24766,Ingen autorisation,39110
Midtjylland,4943,4221,Læge,5037
Midtjylland,6681,5383,Social- og sundhedsassistent,6885
Midtjylland,12202,9921,Sygeplejerske,12530
Midtjylland,1199,363,"Tandlæge, Tandplejer, Klinisk tandtekniker",1235
Midtjylland,1569,878,Øvrige autoriserede,1638
Nordjylland,397,381,Bioanalytiker,404
Nordjylland,1200,953,"Ergoterapeut, Fysioterapeut, Kiropraktor",1234
Nordjylland,17817,15013,Ingen autorisation,18783
Nordjylland,1524,1423,Læge,1568
Nordjylland,4136,3737,Social- og sundhedsassistent,4282
Nordjylland,5356,4758,Sygeplejerske,5572
Nordjylland,266,207,"Tandlæge, Tandplejer, Klinisk tandtekniker",296
Nordjylland,621,555,Øvrige autoriserede,648
Sjælland,690,625,Bioanalytiker,700
Sjælland,1748,1266,"Ergoterapeut, Fysioterapeut, Kiropraktor",1771
Sjælland,25385,18966,Ingen autorisation,25813
Sjælland,1529,1394,Læge,1558
Sjælland,5502,4537,Social- og sundhedsassistent,5603
Sjælland,7061,6149,Sygeplejerske,7185
Sjælland,500,256,"Tandlæge, Tandplejer, Klinisk tandtekniker",505
Sjælland,1008,687,Øvrige autoriserede,1018
Syddanmark,815,653,Bioanalytiker,845
Syddanmark,2517,1415,"Ergoterapeut, Fysioterapeut, Kiropraktor",2568
Syddanmark,30990,21380,Ingen autorisation,32110
Syddanmark,3960,3485,Læge,4036
Syddanmark,7102,5753,Social- og sundhedsassistent,7280
Syddanmark,9808,8147,Sygeplejerske,10012
Syddanmark,681,308,"Tandlæge, Tandplejer, Klinisk tandtekniker",709
Syddanmark,1560,1122,Øvrige autoriserede,1612
