"Ugenummer","Målgruppe","Dækning førstegangsvaccinerede (kumulativt i %)","Dækning færdigvaccinerede (kumulativt i %)"
2020-W52,1. Plejehjemsbeboere,5.21,0.00
2020-W52,"2. Borgere > 65, praktisk hjælp og personlig pleje",0.00,0.00
2020-W52,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.03,0.00
2020-W52,4. Personale i sundhedsvæsenet og dele af socialvæsenet,1.24,0.00
2020-W52,5. Udvalgte patienter med særligt øget risiko,0.04,0.00
2020-W52,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2020-W52,7. Personer fra årgang 1937-1941,0.00,0.00
2020-W52,8. Personer fra årgang 1942-1946,0.00,0.00
2020-W52,9. Personer fra årgang 1947-1956,0.01,0.00
2020-W52,10A. Personer fra årgang 1957-1961,0.01,0.00
2020-W52,10B. Personer fra årgang 1962-1966,0.01,0.00
2020-W52,10C. Personer fra årgang 1967-1971,0.01,0.00
2020-W52,Resterende,0.00,0.00
2020-W53,1. Plejehjemsbeboere,38.48,0.00
2020-W53,"2. Borgere > 65, praktisk hjælp og personlig pleje",0.31,0.00
2020-W53,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.25,0.00
2020-W53,4. Personale i sundhedsvæsenet og dele af socialvæsenet,10.59,0.00
2020-W53,5. Udvalgte patienter med særligt øget risiko,0.28,0.00
2020-W53,6. Udvalgte pårørende til personer med særligt øget risiko,0.00,0.00
2020-W53,7. Personer fra årgang 1937-1941,0.09,0.00
2020-W53,8. Personer fra årgang 1942-1946,0.06,0.00
2020-W53,9. Personer fra årgang 1947-1956,0.06,0.00
2020-W53,10A. Personer fra årgang 1957-1961,0.05,0.00
2020-W53,10B. Personer fra årgang 1962-1966,0.06,0.00
2020-W53,10C. Personer fra årgang 1967-1971,0.05,0.00
2020-W53,Resterende,0.02,0.00
2021-W01,1. Plejehjemsbeboere,79.07,0.00
2021-W01,"2. Borgere > 65, praktisk hjælp og personlig pleje",8.14,0.00
2021-W01,3. Borgere fra årgang 1936 og derunder (85 år og ældre),0.52,0.00
2021-W01,4. Personale i sundhedsvæsenet og dele af socialvæsenet,22.66,0.00
