"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-04,Nationalt,1,5849868,0.00,1
2021-01-08,Nationalt,1,5849868,0.00,2
2021-01-09,Nationalt,1,5849868,0.00,3
2021-01-13,Nationalt,1,5849868,0.00,4
2021-01-15,Nationalt,5,5849868,0.00,9
2021-01-16,Nationalt,8,5849868,0.00,17
2021-01-17,Nationalt,681,5849868,0.01,698
2021-01-18,Nationalt,2083,5849868,0.05,2781
2021-01-19,Nationalt,2025,5849868,0.08,4806
2021-01-20,Nationalt,1826,5849868,0.11,6632
2021-01-21,Nationalt,2292,5849868,0.15,8924
2021-01-22,Nationalt,5597,5849868,0.25,14521
2021-01-23,Nationalt,6970,5849868,0.37,21491
2021-01-24,Nationalt,6359,5849868,0.48,27850
2021-01-25,Nationalt,2432,5849868,0.52,30282
2021-01-26,Nationalt,1700,5849868,0.55,31982
2021-01-27,Nationalt,4292,5849868,0.62,36274
2021-01-28,Nationalt,8064,5849868,0.76,44338
2021-01-29,Nationalt,18035,5849868,1.07,62373
2021-01-30,Nationalt,12655,5849868,1.28,75028
2021-01-31,Nationalt,11988,5849868,1.49,87016
2021-02-01,Nationalt,7788,5849868,1.62,94804
2021-02-02,Nationalt,2982,5849868,1.67,97786
2021-02-03,Nationalt,6132,5849868,1.78,103918
2021-02-04,Nationalt,10825,5849868,1.96,114743
2021-02-05,Nationalt,13279,5849868,2.19,128022
2021-02-06,Nationalt,6702,5849868,2.30,134724
2021-02-07,Nationalt,3607,5849868,2.36,138331
2021-02-08,Nationalt,6978,5849868,2.48,145309
2021-02-09,Nationalt,4841,5849868,2.57,150150
2021-02-10,Nationalt,3871,5849868,2.63,154021
2021-02-11,Nationalt,2448,5849868,2.67,156469
2021-02-12,Nationalt,7608,5849868,2.80,164077
2021-02-13,Nationalt,964,5849868,2.82,165041
2021-02-14,Nationalt,624,5849868,2.83,165665
2021-02-15,Nationalt,3123,5849868,2.89,168788
2021-02-16,Nationalt,1332,5849868,2.91,170120
2021-02-17,Nationalt,427,5849868,2.92,170547
2021-02-18,Nationalt,308,5849868,2.92,170855
2021-02-19,Nationalt,966,5849868,2.94,171821
2021-02-20,Nationalt,582,5849868,2.95,172403
2021-02-21,Nationalt,359,5849868,2.95,172762
2021-02-22,Nationalt,1103,5849868,2.97,173865
2021-02-23,Nationalt,1936,5849868,3.01,175801
