"Vaccinedato";"Regionsnavn";"Kumulerede antal færdigvacc.";"Antal borgere";"Vaccinations dækning (%)"
2021-01-04;Hovedstaden;0;1858215;0.00
2021-01-08;Hovedstaden;1;1858215;0.00
2021-01-09;Hovedstaden;2;1858215;0.00
2021-01-13;Hovedstaden;3;1858215;0.00
2021-01-14;Hovedstaden;4;1858215;0.00
2021-01-15;Hovedstaden;9;1858215;0.00
2021-01-16;Hovedstaden;9;1858215;0.00
2021-01-17;Hovedstaden;48;1858215;0.00
2021-01-18;Hovedstaden;184;1858215;0.01
2021-01-19;Hovedstaden;354;1858215;0.02
2021-01-20;Hovedstaden;483;1858215;0.03
2021-01-21;Hovedstaden;599;1858215;0.03
2021-01-22;Hovedstaden;679;1858215;0.04
2021-01-23;Hovedstaden;4705;1858215;0.25
2021-01-24;Hovedstaden;8632;1858215;0.46
2021-01-25;Hovedstaden;8873;1858215;0.48
2021-01-26;Hovedstaden;9009;1858215;0.48
2021-01-27;Hovedstaden;9639;1858215;0.52
2021-01-28;Hovedstaden;13396;1858215;0.72
2021-01-29;Hovedstaden;20838;1858215;1.12
2021-01-30;Hovedstaden;25364;1858215;1.36
2021-01-31;Hovedstaden;27939;1858215;1.50
2021-02-01;Hovedstaden;29828;1858215;1.61
2021-02-02;Hovedstaden;29941;1858215;1.61
2021-02-03;Hovedstaden;32900;1858215;1.77
2021-02-04;Hovedstaden;39362;1858215;2.12
2021-02-05;Hovedstaden;44216;1858215;2.38
2021-02-06;Hovedstaden;47218;1858215;2.54
2021-02-07;Hovedstaden;47784;1858215;2.57
2021-02-08;Hovedstaden;48923;1858215;2.63
2021-02-09;Hovedstaden;48958;1858215;2.63
2021-02-10;Hovedstaden;49894;1858215;2.69
2021-02-11;Hovedstaden;50136;1858215;2.70
2021-02-12;Hovedstaden;54297;1858215;2.92
2021-02-13;Hovedstaden;54306;1858215;2.92
2021-02-14;Hovedstaden;54318;1858215;2.92
2021-02-15;Hovedstaden;55695;1858215;3.00
2021-02-16;Hovedstaden;56104;1858215;3.02
2021-02-17;Hovedstaden;56137;1858215;3.02
2021-02-18;Hovedstaden;56212;1858215;3.03
2021-02-19;Hovedstaden;56257;1858215;3.03
2021-02-20;Hovedstaden;56356;1858215;3.03
2021-02-21;Hovedstaden;56461;1858215;3.04
2021-02-22;Hovedstaden;56604;1858215;3.05
2021-02-23;Hovedstaden;56758;1858215;3.05
2021-02-24;Hovedstaden;56828;1858215;3.06
2021-02-25;Hovedstaden;56861;1858215;3.06
2021-02-26;Hovedstaden;56923;1858215;3.06
2021-02-27;Hovedstaden;58020;1858215;3.12
2021-02-28;Hovedstaden;59150;1858215;3.18
2021-03-01;Hovedstaden;59373;1858215;3.20
2021-03-02;Hovedstaden;59629;1858215;3.21
2021-03-03;Hovedstaden;59671;1858215;3.21
2021-03-04;Hovedstaden;59869;1858215;3.22
2021-03-05;Hovedstaden;60136;1858215;3.24
2021-03-06;Hovedstaden;60232;1858215;3.24
2021-03-07;Hovedstaden;60550;1858215;3.26
2021-03-08;Hovedstaden;60789;1858215;3.27
2021-03-09;Hovedstaden;62232;1858215;3.35
2021-03-10;Hovedstaden;63917;1858215;3.44
2021-03-11;Hovedstaden;68286;1858215;3.67
2021-03-12;Hovedstaden;73114;1858215;3.93
2021-03-13;Hovedstaden;73202;1858215;3.94
2021-03-14;Hovedstaden;76431;1858215;4.11
2021-03-15;Hovedstaden;79181;1858215;4.26
2021-03-16;Hovedstaden;82706;1858215;4.45
2021-03-17;Hovedstaden;87114;1858215;4.69
2021-03-18;Hovedstaden;91511;1858215;4.92
2021-03-19;Hovedstaden;92678;1858215;4.99
2021-03-20;Hovedstaden;92763;1858215;4.99
2021-03-21;Hovedstaden;94841;1858215;5.10
2021-03-22;Hovedstaden;94923;1858215;5.11
2021-03-23;Hovedstaden;95031;1858215;5.11
2021-03-24;Hovedstaden;103613;1858215;5.58
2021-03-25;Hovedstaden;108134;1858215;5.82
2021-03-26;Hovedstaden;110831;1858215;5.96
2021-03-27;Hovedstaden;110873;1858215;5.97
2021-03-28;Hovedstaden;110908;1858215;5.97
2021-03-29;Hovedstaden;111470;1858215;6.00
2021-03-30;Hovedstaden;111747;1858215;6.01
2021-03-31;Hovedstaden;115534;1858215;6.22
2021-04-01;Hovedstaden;120243;1858215;6.47
2021-04-02;Hovedstaden;123966;1858215;6.67
2021-04-03;Hovedstaden;124053;1858215;6.68
2021-04-04;Hovedstaden;124095;1858215;6.68
2021-04-05;Hovedstaden;124134;1858215;6.68
2021-04-06;Hovedstaden;124329;1858215;6.69
2021-04-07;Hovedstaden;124909;1858215;6.72
2021-04-08;Hovedstaden;126577;1858215;6.81
2021-04-09;Hovedstaden;129984;1858215;7.00
2021-04-10;Hovedstaden;131283;1858215;7.07
2021-04-11;Hovedstaden;131422;1858215;7.07
2021-04-12;Hovedstaden;138299;1858215;7.44
2021-04-13;Hovedstaden;139375;1858215;7.50
2021-04-14;Hovedstaden;143931;1858215;7.75
2021-04-15;Hovedstaden;145492;1858215;7.83
2021-04-16;Hovedstaden;148517;1858215;7.99
2021-04-17;Hovedstaden;148721;1858215;8.00
2021-04-18;Hovedstaden;148901;1858215;8.01
2021-04-19;Hovedstaden;150968;1858215;8.12
2021-04-20;Hovedstaden;155980;1858215;8.39
2021-04-21;Hovedstaden;159741;1858215;8.60
2021-04-22;Hovedstaden;159883;1858215;8.60
2021-04-23;Hovedstaden;166840;1858215;8.98
2021-04-24;Hovedstaden;168827;1858215;9.09
2021-04-25;Hovedstaden;169147;1858215;9.10
2021-04-26;Hovedstaden;172307;1858215;9.27
2021-04-27;Hovedstaden;182013;1858215;9.80
2021-04-28;Hovedstaden;190205;1858215;10.2
2021-04-29;Hovedstaden;197420;1858215;10.6
2021-04-30;Hovedstaden;197638;1858215;10.6
2021-05-01;Hovedstaden;198110;1858215;10.7
2021-05-02;Hovedstaden;206706;1858215;11.1
2021-05-03;Hovedstaden;214685;1858215;11.6
2021-05-04;Hovedstaden;223332;1858215;12.0
2021-05-05;Hovedstaden;235339;1858215;12.7
2021-05-06;Hovedstaden;245368;1858215;13.2
2021-05-07;Hovedstaden;252910;1858215;13.6
2021-05-08;Hovedstaden;272607;1858215;14.7
2021-05-09;Hovedstaden;280772;1858215;15.1
2021-05-10;Hovedstaden;286337;1858215;15.4
2021-05-11;Hovedstaden;292504;1858215;15.7
2021-05-12;Hovedstaden;298097;1858215;16.0
2021-05-13;Hovedstaden;308717;1858215;16.6
2021-05-14;Hovedstaden;316505;1858215;17.0
2021-05-15;Hovedstaden;323372;1858215;17.4
2021-05-16;Hovedstaden;326833;1858215;17.6
2021-05-17;Hovedstaden;333982;1858215;18.0
2021-05-18;Hovedstaden;342922;1858215;18.5
2021-05-19;Hovedstaden;345679;1858215;18.6
2021-05-20;Hovedstaden;351585;1858215;18.9
2021-05-21;Hovedstaden;358479;1858215;19.3
2021-05-22;Hovedstaden;361481;1858215;19.5
2021-05-23;Hovedstaden;362729;1858215;19.5
2021-05-24;Hovedstaden;363722;1858215;19.6
2021-05-25;Hovedstaden;366007;1858215;19.7
2021-05-26;Hovedstaden;368816;1858215;19.8
2021-05-27;Hovedstaden;371848;1858215;20.0
2021-05-28;Hovedstaden;373498;1858215;20.1
2021-05-29;Hovedstaden;375289;1858215;20.2
2021-05-30;Hovedstaden;379470;1858215;20.4
2021-05-31;Hovedstaden;388202;1858215;20.9
2021-06-01;Hovedstaden;395083;1858215;21.3
2021-06-02;Hovedstaden;401953;1858215;21.6
2021-06-03;Hovedstaden;413243;1858215;22.2
2021-06-04;Hovedstaden;415979;1858215;22.4
2021-06-05;Hovedstaden;417172;1858215;22.5
2021-06-06;Hovedstaden;425928;1858215;22.9
2021-06-07;Hovedstaden;437812;1858215;23.6
2021-06-08;Hovedstaden;446107;1858215;24.0
2021-06-09;Hovedstaden;455391;1858215;24.5
2021-06-10;Hovedstaden;457846;1858215;24.6
2021-06-11;Hovedstaden;460341;1858215;24.8
2021-06-12;Hovedstaden;461818;1858215;24.9
2021-06-13;Hovedstaden;463726;1858215;25.0
2021-06-14;Hovedstaden;465822;1858215;25.1
2021-06-15;Hovedstaden;467406;1858215;25.2
2021-06-16;Hovedstaden;474830;1858215;25.6
2021-06-17;Hovedstaden;482163;1858215;25.9
2021-06-18;Hovedstaden;491992;1858215;26.5
2021-06-19;Hovedstaden;498857;1858215;26.8
2021-06-20;Hovedstaden;504298;1858215;27.1
